Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akarmakatve saty evaæ  BVaky_3,14.67a
prayogavÃkvaæ yal loke  BVaky_3,14.613c
prayogas tatra vidyate  BVaky_3,8.18d
prayogas tv anuni«pÃdÅ  BVaky_2.124c
prayogaæ dvandvabhÃvinÃm  BVaky_3,14.191b
prayoga÷ ÓÆraÓabdasya  BVaky_3,14.431c
prayoga÷ so 'pi caitasya  BVaky_3,14.564c
prayogÃkhyena karmaïÃ  BVaky_3,9.16d
prayogÃd abhisaædhÃnam  BVaky_2.410a
prayogÃd ekasaækhyatÃ  BVaky_3,14.600b
prayogÃrthe«u siddha÷ san  BVaky_2.183a
prayoge kasya kalpyatÃm  BVaky_3,14.463b
prayoge tantralak«aïa÷  BVaky_2.474b
prayoge bhidyate Óruti÷  BVaky_2.469d
prayoge«v eva sÃdhutvaæ  BVaky_3,14.146c
prayoge samavasthitau  BVaky_2.467b
prayogo na punar bhavet  BVaky_3,14.457b
prayogo na hi vidyate  BVaky_3,14.250d
prayogopanibandhanÃ÷  BVaky_3,9.10b
prayogo vinivartate  BVaky_2.160d
prayogo viprayogaÓ ca  BVaky_3,13.23a
prayojakam idaæ te«Ãm  BVaky_2.81c
prayojakÃs tu ye bhÃvÃ÷  BVaky_3,9.25a
prayojako 'rtha÷ Óabdasya  BVaky_2.303c
pravartayati kÃlo 'pi  BVaky_3,9.41c
pravarteraæs t­tÅyaiva  BVaky_3,14.549c
pravÃdÃ bahudhÃgatÃ  BVaky_1.8d
pravÃde«v anavasthita÷  BVaky_1.110d
pravikÃsiprabho 'lpo 'pi  BVaky_3,14.618a
pravibhaktam iva sthitam  BVaky_3,1.37d
pravibhaktaæ vivak«ayÃ  BVaky_2.130d
pravibhaktaæ svabhÃvata÷  BVaky_3,9.57b
pravibhaktuæ na Óakyate  BVaky_3,3.12d
pravibhajyÃtmanÃtmÃnaæ  BVaky_1.140a
pravibhÃgaprakalpanÃ  BVaky_2.454d
pravibhÃgas tathÃ sÆtra  BVaky_2.479c
pravibhÃge yathÃ kartÃ  BVaky_1.139a
pravibhÃgo na kaÓ cana  BVaky_1.73d
pravibhÃgo na kaÓ cana  BVaky_1.74d
pravibhÃgo 'nugamyate  BVaky_2.444b
pravibhÃgo yathÃÓruti  BVaky_2.472d
pravivaktuæ na Óakyate  BVaky_2.302d
praviveke ca darÓanÃt  BVaky_3,7.102b
praviveke na kalpate  BVaky_2.357d
prav­ttasyÃsti vÃcyatÃ  BVaky_3,3.26b
prav­ttÃnÃæ nivartanÃt  BVaky_3,7.101d
prav­ttÃnÃæ punar v­ttir  BVaky_3,14.354a
prav­ttÃ yÃ kriyÃæ prati  BVaky_3,9.77b
prav­ttim anapÃyinÅm  BVaky_3,8.37d
prav­ttimanta÷ sarve 'rthÃs  BVaky_3,14.323a
prav­ttir iti sÃmÃnyaæ  BVaky_3,14.322a
prav­ttir upapadyate  BVaky_3,14.274d
prav­ttir upalabhyate  BVaky_2.155d
prav­ttir upalabhyate  BVaky_3,1.81b
prav­ttir ubhayos tayo÷  BVaky_3,14.57d
prav­ttir eva prathamaæ  BVaky_3,7.33a
prav­ttir na virudhyate  BVaky_2.386d
prav­ttir liÇgasaækhyayo÷  BVaky_3,14.155d
prav­ttir vÃ niv­ttir vÃ  BVaky_3,14.280c
prav­ttihetuæ sarve«Ãæ  BVaky_3,3.50c
prav­tti÷ puru«asyÃsti  BVaky_3,7.117c
prav­ttÅr viÓvagÃÓrayÃ÷  BVaky_3,14.324d
prav­tter ekarÆpatvaæ  BVaky_3,13.17a
prav­ttau bhinnaÓabdÃyÃæ  BVaky_3,14.342c
prav­ttyÃ vÃvati«Âhate  BVaky_3,13.17d
praveÓa÷ prati«idhyate  BVaky_2.385d
praÓastatvena kutsyate  BVaky_3,14.5d
praÓna eva kriyÃ tatra  BVaky_2.271c
pra«ÂhÃdi«u na jÃyaiva  BVaky_3,14.84c
prasaktaæ vinivartate  BVaky_3,14.577d
prasaktÃdarÓanaæ sm­tam  BVaky_3,14.131b
prasaktÃnuprasaktas tu  BVaky_3,14.579a
prasaktÃm apakar«ati  BVaky_3,14.263d
prasakte ÓÃstram Ãrabdhaæ  BVaky_3,14.135c
prasaÇgaviniv­ttaye  BVaky_3,14.602b
prasajyaprati«edhane  BVaky_3,14.291b
prasajyaprati«edho 'yaæ  BVaky_2.84a
prasava÷ kva cid ucyate  BVaky_3,6.10d
prasiddha iva jÃyate  BVaky_2.286d
prasiddhanyÃyakaraïo  BVaky_3,14.456c
prasiddhabhedaæ yatrÃnyad  BVaky_3,14.567a
prasiddhabhedÃ vyÃpÃrÃ  BVaky_3,9.81a
prasiddham api durj¤Ãnam  BVaky_3,14.574c
prasiddham hy upalak«aïam  BVaky_3,14.607d
prasiddhaæ rajjusarpayo÷  BVaky_2.288b
prasiddhÃrthaviparyÃsa-  BVaky_2.289a
prasiddhÃs tu viÓe«eïa  BVaky_3,14.481a
prasiddhibhedÃd gauïatvaæ  BVaky_2.253c
prasiddhim ÃgatÃ yena  BVaky_1.181c
prasiddhir atidurlabhÃ  BVaky_1.32d
prasiddhir dravyaÓabdayo÷  BVaky_3,14.8d
prasiddhiæ karaïatvasya  BVaky_3,7.99c
prasiddhena h­ta÷ Óabdo  BVaky_3,14.74a
prasiddhenopamÅyate  BVaky_3,14.555d
prasiddher avivak«Ãta÷  BVaky_3,7.88c
prasiddher udvamikarÅty  BVaky_2.232a
prasiddher nyÆnatÃæ kva cit  BVaky_2.272d
prasiddhe«v eva d­Óyate  BVaky_3,14.558b
'prasiddhes te«u gauïatÃ  BVaky_2.281d
prasiddhai÷ parvatÃdibhi÷  BVaky_2.294b
prasiddho yasya gamyate  BVaky_2.265b
prasiddho yo guïÃÓraya÷  BVaky_3,14.376b
prasthÃdi tena meyÃtmÃ  BVaky_3,14.360c
prasthÃdibhya÷ Óaso vidhi÷  BVaky_3,14.128b
prasthÃdÅnÃm asÃdhutvaæ  BVaky_3,14.85c
prasthÃnaæ gamyate Óuddhe  BVaky_3,14.277c
prahÃïam iti cÃtmana÷  BVaky_3,9.11d
prÃ"n nimittÃntarodbhÆtaæ  BVaky_3,7.32a
prÃk­tasya dhvane÷ kÃla÷  BVaky_1.77c
prÃk­ta÷ sa vidhÅyate  BVaky_3,7.117d
prÃk­te 'rthe ïij ucyate  BVaky_3,7.60d
prÃk­te vyavati«Âhate  BVaky_3,7.61d
prÃk­to dhvanir i«yate  BVaky_1.78b
prÃk ca jÃtyabhisaæbandhÃt  BVaky_3,14.343a
prÃk ca sattÃbhisaæbandhÃn  BVaky_3,3.48a
prÃk ca sÃdhanasaæbandhÃt  BVaky_2.183c
prÃkprav­ttir na¤o bhavet  BVaky_2.244b
prÃk prÃsÃdÃdihetuke  BVaky_3,14.546b
prÃk samÃsÃt padÃrthÃnÃæ  BVaky_3,14.251a
prÃk samj¤inÃbhisaæbandhÃt  BVaky_1.67a
prÃg anyata÷ ÓaktilÃbhÃn  BVaky_3,7.101a
prÃg avastheti na hy etad  BVaky_3,3.79c
prÃg asattvÃbhidhÃyitvaæ  BVaky_3,14.309a
prÃg Ãk«ipyÃvati«Âhate  BVaky_3,14.292d
prÃg ÃÓrayo hi bhedÃya  BVaky_3,14.312a
prÃg evÃÇgÅk­taæ dravyam  BVaky_3,14.294c
prÃg vÃ v­tter udÃh­tam  BVaky_3,14.428d
prÃg vibhaktes tadantasya  BVaky_2.211c
prÃg viruddhakriyotpÃdÃn  BVaky_3,9.92a
prÃg v­tter jÃtivÃcitvaæ  BVaky_3,14.40c
prÃg v­tter yuktavadbhÃve  BVaky_3,14.112a
prÃg v­ttes tac ca g­hyate  BVaky_3,14.28d
prÃjÃpatyaæ mahat tejas  BVaky_1.127a
prÃjÃpatyÃ navety evam-  BVaky_3,1.58c
prÃïav­ttinibandhanÃ  BVaky_1.165d
prÃïav­ttim atikramya  BVaky_1.166c
prÃïav­ttim atikrÃnte  BVaky_1.145a
prÃïasyordhvaæ samÅraïam  BVaky_1.130b
prÃïÃpÃnÃntare nityam  BVaky_1.161c
prÃïinÃm iva sÃ cai«Ã  BVaky_1.28c
prÃïenÃpyÃyitÃ saivaæ  BVaky_1.163a
prÃïair vinÃ yathÃ dhÃrir  BVaky_3,14.71a
prÃïo varïÃn abhivyajya  BVaky_1.118c
prÃïyÃÓritÃs tu tÃ÷ prÃptau  BVaky_3,1.45c
prÃtilomyÃnulomyÃbhyÃæ  BVaky_3,7.27a
prÃdayo ye vyavasthitÃ÷  BVaky_3,14.584b
prÃdhÃnya eva tasye«Âo  BVaky_3,14.237c
prÃdhÃnyam avasÅyate  BVaky_3,1.69b
prÃdhÃnyam upajÃyate  BVaky_3,14.352b
prÃdhÃnyam upadarÓitam  BVaky_2.226d
prÃdhÃnyaæ bahudhÃ bhÃ«ye  BVaky_2.227c
prÃdhÃnyaæ vigrahÃntare  BVaky_3,14.414b
prÃdhÃnyaæ svaguïe labdhvÃ  BVaky_3,7.162a
prÃdhÃnyÃt tu kriyÃ pÆrvam  BVaky_2.431a
prÃdhÃnyÃbhihita÷ katham  BVaky_3,14.222b
prÃdhÃnyena pratÅyate  BVaky_3,8.40d
prÃdhÃnyenÃbhidhÅyate  BVaky_3,14.186b
prÃdhÃnyenÃbhidhÅyante  BVaky_3,8.41c
prÃdhÃnyenÃvati«Âhate  BVaky_2.129d
prÃdhÃnyenÃÓritÃ÷ pÆrvaæ  BVaky_3,14.260a
prÃdhÃnye 'py apare vidu÷  BVaky_3,14.201b
prÃdhÃnye sati sidhyati  BVaky_3,14.282b
prÃptakramÃ viÓe«e«u  BVaky_3,1.35a
prÃptabhede sa yatk­ta÷  BVaky_3,3.8d
prÃptam anyat pratÅyate  BVaky_3,14.290d
prÃptarÆpavibhÃgÃyÃ  BVaky_1.12a
prÃptasya yasya sÃmarthyÃn  BVaky_2.64a
prÃptaæ tatrÃtmanepadam  BVaky_3,12.24d
prÃptaæ saæbhÆya bhu¤jate  BVaky_2.390d
prÃptaæ sÃmarthyalak«aïam  BVaky_2.65b
prÃpta÷ sÃmarthyalak«aïa÷  BVaky_3,1.73d
prÃptÃbhimukhyo hy arthÃtmÃ  BVaky_3,7.163c
prÃptimÃtre 'py aniÓcite  BVaky_3,14.80b
prÃptiæ tu samavÃyÃkhyÃæ  BVaky_3,3.19a
prÃpti÷ prag­hyasaæj¤ÃyÃ  BVaky_3,14.122a
prÃpter apracitaæ puna÷  BVaky_3,7.87b
prÃpte vibhÃ«Ã kriyate  BVaky_3,12.27c
prÃptoparÃgarÆpÃ sÃ  BVaky_1.170a
prÃptyartha÷ san na bÃdhate  BVaky_2.66d
prÃptyupÃyo 'nukÃraÓ ca  BVaky_1.5a
prÃpyaæ ceti tridhÃ matam  BVaky_3,7.45b
prÃpye saæsargadarÓanam  BVaky_3,7.135b
prÃpyo vÃ sÃdhanÃÓraya÷  BVaky_3,7.79b
prÃyeïa saæk«eparucÅn  BVaky_2.481a
prÃrabhete saha kriyÃm  BVaky_3,12.19b
prÃsaÇgikam idaæ kÃryam  BVaky_2.77a
prÃsÃde madhurÃÓruti÷  BVaky_3,14.531d
prÃhur atyantabhede 'pi  BVaky_2.257c
prÃhur mahÃntam ­«abhaæ  BVaky_1.143c
prÅtiÓ cÃvikalÃ tadvat  BVaky_2.399c
preraïÃnumatibhyÃæ ca  BVaky_3,7.129c
pre«aïÃdhye«aïe kurvaæs  BVaky_3,7.125a
pre«aïÃntarasaæbandhe  BVaky_3,7.63c
pre«aïe karmatÃæ gata÷  BVaky_3,7.127b
proktÃ pratipadaæ «a«ÂhÅ  BVaky_3,7.159c
plak«aÓabdasya sÃænidhyÃn  BVaky_3,12.21c
plavanÃdikriyÃsu ka÷  BVaky_2.150b
plutasyÃÇgaviv­ddhiæ ca  BVaky_2.102a
phalajanmeti cocyate  BVaky_3,9.109d
phalaprasavarÆpe tu  BVaky_3,9.107a
phalam atra tu bhidyate  BVaky_2.83b
phalavanta÷ kriyÃbhedÃ÷  BVaky_2.453a
phalavyakti÷ prajÃyate  BVaky_3,9.17b
phalaæ tasya prayojakam  BVaky_2.431d
phalaæ phalÃpadeÓo vÃ  BVaky_3,8.31a
phalaæ bhoktÃ phalasya ca  BVaky_3,8.36d
phalÃnÃm upakurvate  BVaky_2.185d
phalenÃpi pravartitÃ÷  BVaky_3,8.41d
baddhÃvayavaviccheda÷  BVaky_3,1.98c
badhÃna dehi vety etad  BVaky_2.335c
bandhutÃbhedarÆpeïa  BVaky_3,8.49a
bandhuÓabde vyavasthitÃ  BVaky_3,8.49b
balavÃn vÃkyalak«aïÃt  BVaky_3,1.76d
bahiraÇgÃ kriyÃÓruti÷  BVaky_3,14.512b
bahir antaÓ ca vartate  BVaky_1.134b
bahir evaæ prakÃÓate  BVaky_3,6.23b
bahudhÃ tena bhidyate  BVaky_3,9.72d
bahudhÃ nyÃyadarÓinÃm  BVaky_2.2d
bahudhÃ parikalpyate  BVaky_2.137d
bahudhÃ pravibhajyate  BVaky_1.22b
bahudhaiva viveÓa tam  BVaky_1.125d
bahubhedaæ vikalpyate  BVaky_2.85b
bahubhyo jÃyate tadÃ  BVaky_3,1.97d
bahurÆpasya bhÃve«u  BVaky_3,9.72c
bahurÆpa÷ prakÃÓate  BVaky_3,3.87d
bahulagrahaïÃn nÃsti  BVaky_3,14.57c
bahuvrÅhipadÃrthasya  BVaky_2.228c
bahuvrÅhir na vidyate  BVaky_3,14.238d
bahuvrÅhir vivak«ite  BVaky_3,14.237d
bahuvrÅhis tathÃ bhavet  BVaky_3,14.241d
bahuvrÅhiæ tathaiva ca  BVaky_3,14.234d
bahuvrÅhi÷ prakalpate  BVaky_3,14.304b
bahuvrÅhes tathÃ sati  BVaky_3,14.229b
bahuvrÅhau kathaæ bhavet  BVaky_2.219d
bahuÓv api tiÇante«u  BVaky_2.447a
bahu«u syÃd a¤o vidhi÷  BVaky_3,14.593b
bahu«v arthe«u vartate  BVaky_2.221b
bahu«v ekÃbhidhÃne«u  BVaky_2.406a
bahÆnÃm abhidhÃyaka÷  BVaky_2.221d
bahÆnÃm ekarÆpatÃ  BVaky_2.111d
bahÆnÃæ cÃnavasthÃnÃd  BVaky_3,9.87a
bahÆnÃæ saæbhave 'rthÃnÃæ  BVaky_2.170c
bahÆnÃæ saæbhave 'rthÃnÃæ  BVaky_3,8.40a
bahv apek«yam atas tasyÃm  BVaky_3,14.421c
bÃdhakaæ tan nipÃtanam  BVaky_3,14.588d
bÃdhako 'vayavasvara÷  BVaky_3,14.58d
bÃdhako 'vayavasvara÷  BVaky_3,14.62d
bÃdhanÃn nopapadyate  BVaky_3,14.589d
bÃdhikÃ liÇgavÃkyayo÷  BVaky_2.73d
bÃdhitÃ vinivarteta  BVaky_3,14.551c
bÃlakair madhukrÃdaya÷  BVaky_2.368b
bÃlÃnÃm upalÃpanÃ÷  BVaky_2.238b
bÃlÃnÃæ ca tiraÓcÃæ ca  BVaky_2.117c
bÃlo 'pi pratipadyate  BVaky_1.129d
bÃhuleyasya bÃdhakam  BVaky_3,3.75b
bÃhuleya÷ prakalpate  BVaky_3,3.75d
bÃhyavastunibandhana÷  BVaky_2.132b
bÃhyaæ tatrÃbhidhÅyate  BVaky_3,14.409d
bÃhyaæ vÃ satyata÷ sthitam  BVaky_3,9.58b
bÃhyÃkÃrÃnupÃtitÃ  BVaky_3,3.57b
bÃhyÃt saæbandhino vinÃ  BVaky_3,14.543b
bÃhyÅk­tya vibhÃgas tu  BVaky_2.445c
bÃhye Çi«i ca saty api  BVaky_3,14.412b
bÃhye 'rthe na nivartate  BVaky_2.284d
bÃhyo nÃsty ÃÓrayo dvandve  BVaky_3,14.208a
bÃhyo bhedo nivartate  BVaky_3,14.116b
bindau ca samudÃye ca  BVaky_2.158c
bÅjakÃle«u saæbandhÃd  BVaky_2.185a
bÅjaæ sarvÃgamÃpÃye  BVaky_1.148c
bÅjÃd buddhir jale 'sati  BVaky_3,13.8d
buddhaya÷ pratipattÌïÃæ  BVaky_3,14.473c
buddhiprav­ttirÆpaæ ca  BVaky_3,7.6a
buddhibhedÃd abhinnasya  BVaky_1.46c
buddhir arthÃntarÃÓrayÃ  BVaky_3,1.94d
buddhirÆpaprakalpitam  BVaky_3,7.7d
buddhir ekÃ pravartate  BVaky_3,1.96d
buddhir yatrÃvati«Âhate  BVaky_2.19d
buddhiÓabdau pravartete  BVaky_3,7.110a
buddhisattÃm athÃpare  BVaky_3,8.25b
buddhisthÃd abhisaæbandhÃt  BVaky_2.186a
buddhiæ tajjÃtim anye tu  BVaky_3,8.25a
buddhi÷ sattÃntarÃÓrayÃ  BVaky_3,14.263b
buddher buddhyantaraæ prati  BVaky_3,14.396d
buddher vi«ayatÃæ gatÃn  BVaky_3,7.5b
buddher vi«ayatÃæ prÃpte  BVaky_3,14.280a
buddhau nÃnÃ vyavasthitÃ÷  BVaky_3,14.20b
buddhau rÆpaæ nirÆpyate  BVaky_3,8.7d
buddhau Óabdo 'vadhÃryate  BVaky_1.86d
buddhau sthite«u te«v evam  BVaky_3,11.10a
buddhyantaram upÃÓritÃ÷  BVaky_3,14.94b
buddhyarthÃd eva buddhyarthe  BVaky_3,3.33c
buddhyarthe yad asaæbhavi  BVaky_3,3.33b
buddhyavagrahabhedÃc ca  BVaky_3,9.69a
buddhyavasthÃnibandhanam  BVaky_3,14.624b
buddhyavasthÃnibandhana÷  BVaky_3,7.3b
buddhyavasthÃnibandhana÷  BVaky_3,7.10@b
buddhyavasthÃparigrahÃt  BVaky_3,14.569d
buddhyavasthÃvibhÃgena  BVaky_3,14.571a
buddhyÃ kalpitarÆpe«u  BVaky_3,13.7a
buddhyÃ tu parig­hyate  BVaky_3,9.113b
buddhyÃ nÃnÃtvakalpanÃ  BVaky_3,14.16b
buddhyÃ prakalpitÃbheda÷  BVaky_3,8.4c
buddhyÃ prakramyate yadÃ  BVaky_2.40b
buddhyÃ bheda÷ prakalpyate  BVaky_3,14.563d
buddhyÃvasthÃ vibhajyante  BVaky_3,14.15c
buddhyÃ samÅhitaikatvÃn  BVaky_3,7.4a
buddhyaika iva g­hyate  BVaky_3,1.96b
buddhyaikaæ bhidyate bhinnam  BVaky_3,14.15a
budhijÃnÃticitibhi÷  BVaky_3,10.3a
b­hatka iti cÃpare  BVaky_3,14.616b
b­hatka iti tatrai«a  BVaky_3,14.618c
bravÅti pacater arthaæ  BVaky_3,7.61a
brÃhmaïak«atriyÃdibhi÷  BVaky_3,14.258b
brÃhmaïak«atrivÃdava÷  BVaky_3,14.260d
brÃhmaïatvaæ yathÃpannÃ  BVaky_3,14.285a
brÃhmaïatvÃdayo bhÃvÃ÷  BVaky_3,1.44a
brÃhmaïatvÃdi sÃdhanam  BVaky_3,1.28b
brÃhmaïatvena cÃsattvÃd  BVaky_3,14.307a
brÃhmaïasyeva pÃï¬urÃ÷  BVaky_3,14.538b
brÃhmaïÃ iti nÃkhyÃta-  BVaky_2.455c
brÃhmaïÃd iva vaiÓyÃt tvam  BVaky_3,14.528a
brÃhmaïÃdisthayÃ vÃkye«v  BVaky_3,14.252a
brÃhmaïÃdhyayane tatra  BVaky_3,14.490a
brÃhmaïÃdhyayane v­ttir  BVaky_3,14.491a
brÃhmaïÃnÃæ Órutir dadhni  BVaky_2.349a
brÃhmaïÃnÃæ svatantratÃ  BVaky_3,7.116d
brÃhmaïÃyeva dÃtavyaæ  BVaky_3,14.494a
brÃhmaïÃrtho yathÃ nÃsti  BVaky_2.14a
brÃhmaïÃvayavÃn dantÃn  BVaky_3,14.540c
brÃhmaïena samo 'dhyetety  BVaky_3,14.522c
brÃhmaïeneva vij¤Ãtaæ  BVaky_3,14.527a
brÃhmaïo 'brÃhmaïas tasmÃd  BVaky_3,14.267a
brÃhmaïyÃdau yadÃ v­ttÃs  BVaky_3,14.173c
bhak«ibha¤jidivikriyÃ÷  BVaky_2.465b
bhak«yÃdivi«ayÃpattyÃ  BVaky_3,7.87c
bhajate kramarÆpatÃæ  BVaky_3,9.30d
bhajate bhedarÆpatÃm  BVaky_2.44d
bhavatau yat pacÃdinÃæ  BVaky_3,8.62a
bhavatau samavasthitam  BVaky_3,8.62d
bhavaty ayasya lak«aïam  BVaky_2.305d
bhavaty arthasya vÃcaka÷  BVaky_2.404d
bhavi«yati prak­tyarthe  BVaky_3,9.104c
bhavi«yati vicÃraïÃ  BVaky_2.488d
bhavi«yatprati«edhanam  BVaky_3,9.106d
bhavi«yadÃÓrayÃpek«e  BVaky_3,14.248c
bhavi«yadvartamÃnatÃ÷  BVaky_3,9.37b
bhavi«yaæÓ ca caturvidha÷  BVaky_3,9.38b
bhÃgaprakalpanÃÓaktiæ  BVaky_3,6.13c
bhÃgabhedaparigrahe  BVaky_3,14.189b
bhÃgabhedaprakalpanam  BVaky_1.95d
bhÃgabheda÷ prakalpate  BVaky_3,6.12b
bhÃgabhedo na kalpate  BVaky_3,6.12d
bhÃgayor iva kalpanÃ  BVaky_3,11.20d
bhÃgayo÷ pratipadyate  BVaky_3,14.209d
bhÃgavatsv api te«v eva  BVaky_1.95a
bhÃgaÓaÓ cÃvati«Âhate  BVaky_3,14.185d
bhÃgaÓas tÆpalabdhasya  BVaky_3,8.7c
bhÃgaÓa÷ pravibhajyate  BVaky_3,8.38b
bhÃgaÓo bhajate kramam  BVaky_1.52d
bhÃgaæ jÃtyantarasyaiva  BVaky_2.90c
bhÃga÷ prakÃÓita÷ kaÓ cic  BVaky_3,14.104c
bhÃga÷ Óaktyantaraæ tatra  BVaky_3,6.15c
bhÃgÃnÃm anupaÓle«Ãn  BVaky_2.29a
bhÃgÃ bahir avasthitÃ÷  BVaky_3,7.41d
bhÃgÃbhÃve 'pi vÃkyÃnÃm  BVaky_2.94c
bhÃgÃbhyÃæ vartate vinÃ  BVaky_3,14.54d
bhÃgÃvagraharÆpeïa  BVaky_1.93c
bhÃge bhedaÓ ca lak«yate  BVaky_2.93b
bhÃge bhedo 'vasÅyate  BVaky_2.94b
bhÃge«u kramadarÓanam  BVaky_2.224d
bhÃge«u kramavÃæs chidi÷  BVaky_2.224b
bhÃgair anarthakair yuktÃ  BVaky_2.12a
bhÃgair anugatÃ iva  BVaky_3,14.69b
bhÃgair iva prakÊptiÓ ca  BVaky_3,8.35c
bhÃgair iva vikalpitai÷  BVaky_3,14.75b
bhÃgair ekaæ prakÃÓitam  BVaky_2.30b
bhÃgaiÓ cÃnyai÷ p­thak p­thak  BVaky_3,6.5b
bhÃratÅ gau÷ ÓucismitÃ  BVaky_1.160d
bhÃva ity eva kathyate  BVaky_3,8.12d
bhÃva eva hi dhÃtvartha  BVaky_3,8.24c
bhÃvagarhÃbhidhÃyinÃ  BVaky_3,14.74b
bhÃvatattvad­Óa÷ Ói«ÂÃ÷  BVaky_3,13.21a
bhÃvatattvaæ tu vij¤Ãya  BVaky_1.173c
bhÃvanÃnugatÃd etad  BVaky_2.151a
bhÃvanÃnugamena vÃ  BVaky_2.146b
bhÃvanÃsamaye tv etat  BVaky_2.27a
bhÃvabhedasya yonaya÷  BVaky_1.3d
bhÃvam eva kramam prÃhur  BVaky_3,3.83c
bhÃvarÆpaprakÃÓinÅ  BVaky_3,9.50d
bhÃvaÓaktim ataÓ cainÃæ  BVaky_3,3.83a
bhÃvas tatra viÓi«yate  BVaky_3,14.129b
bhÃvasyÃtmÃ prasÆyate  BVaky_3,3.74d
bhÃvasyÃtmÃ prahÅyate  BVaky_3,3.74b
bhÃvÃtmasu prapa¤co 'yaæ  BVaky_3,1.20c
bhÃvÃd anyat pacÃdisu  BVaky_3,8.61d
bhÃvÃnÃm anumÃnena  BVaky_1.32c
bhÃvÃnÃm Ãtmabhedasya  BVaky_3,1.22c
bhÃvÃnÃæ na virudhyate  BVaky_3,14.328b
bhÃvÃnÃæ nÃsti saæbhava÷  BVaky_1.103d
bhÃvÃnÃæ prÃg abhÆtÃnÃm  BVaky_3,3.81c
bhÃvÃnÃæ varaïÃtmaka÷  BVaky_3,9.50b
bhÃvÃnÃæ sahacÃriïÃm  BVaky_3,14.471b
bhÃvÃnÃæ saiva nÃstitÃ  BVaky_3,1.38b
bhÃvÃbhÃvavyapÃÓrayam  BVaky_3,3.66d
bhÃvÃbhÃvÃv abhedena  BVaky_3,3.59c
bhÃvÃbhÃvau ghaÂÃdinÃm  BVaky_3,8.33a
bhÃvÃbhÃvau vikalpitau  BVaky_3,3.61d
bhÃvÃbhÃvau vyavasthitau  BVaky_2.283d
bhÃvÃ vÃ vyatirekina÷  BVaky_3,1.40b
bhÃvÃs tato nivartante  BVaky_3,9.39c
bhÃvÃs te«v asvaÓabde«u  BVaky_3,7.9c
bhÃvÃ÷ saæsargirÆpÃt tu  BVaky_3,6.14c
bhÃvina÷ prakramÃd yathÃ  BVaky_2.184b
bhÃvinÃæ caiva yad rÆpaæ  BVaky_3,9.40a
bhÃvino bahiraÇgasya  BVaky_3,14.140a
bhÃvino bhÆtatÃgati÷  BVaky_3,9.95b
bhÃvena pariïÃmina÷  BVaky_1.113d
bhÃve«u vyavahÃrÃ ye  BVaky_3,6.25c
bhÃve«v eva padanyÃsa÷  BVaky_3,7.109a
bhÃvo yÃvan na jÃyate  BVaky_3,8.17b
bhÃvo vÃ sarvam i«yate  BVaky_3,3.63b
bhÃvy ÃsÅd iti sÆtreïa  BVaky_3,9.93c
bhÃ«ya eva pradarÓita÷  BVaky_2.480d
bhÃ«ya evopavarïitÃ  BVaky_3,13.16d
bhÃ«yabÅjÃnusÃribhi÷  BVaky_2.486b
bhÃ«yÃïÃæ ca praïet­bhi÷  BVaky_1.23d
bhÃ«ye nodÃh­taæ kasmÃt  BVaky_3,12.24c
bhÃ«ye bhavi«yatkÃleti  BVaky_3,9.103c
bhÃ«ye yujir udÃh­ta÷  BVaky_3,14.456d
bhÃsante pratibimbavat  BVaky_1.20d
bhidyate na kriyÃÓruti÷  BVaky_3,14.536d
bhidyate na tu liÇgÃkhyo  BVaky_3,12.16c
bhidyate pratipatt­ïÃæ  BVaky_3,7.114c
bhidyante bahudhÃ puna÷  BVaky_3,7.89d
bhidyante yatra buddhaya÷  BVaky_3,14.572b
bhidyamÃnaæ tad Åpsitam  BVaky_3,7.87d
bhidyamÃnÃ gavÃdi«u  BVaky_3,1.33b
bhinnakak«yaæ pratÅyate  BVaky_3,7.70b
bhinnakÃle prakÃÓete  BVaky_2.23c
bhinnakÃle«v avasthitÃm  BVaky_3,3.50b
bhinnadarÓanam ÃÓritya  BVaky_1.75a
