Rasarnava, Patalas 1-12
Based on the ed. by Praphulla Chandra Ray
Calcutta : Asiatic Society 1908-1910
(Bibliotheca Indica, 175)


Input by Oliver Hellwig


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



akathyamapi deve÷i  Ras_1.13c
mardanaü vandanaü tasya  Ras_11.4c
mardanàjjàyate piùñã  Ras_11.41c
mardanàdgolakaü kuru  Ras_12.61d
mardanàdvaravarõini  Ras_12.30b
mardayitvàbhrake piõóaü  Ras_11.118a
mardayeññaïkaõànvitam  Ras_8.27d
mardayet khallapàùàõe  Ras_12.255c
mardayet khallapàùàõe  Ras_12.319a
mardayet gulikàkçti  Ras_12.329b
mardayettena toyena  Ras_12.245e
mardayettena toyena  Ras_12.248c
mardayettena toyena  Ras_12.304c
mardayettena badhnãyàt  Ras_4.34a
mardayettridinaü såtaü  Ras_11.188c
mardayet pàtayet punaş  Ras_10.46d
mardayet pàtayet punaş  Ras_10.49b
mardayet pàtayedbudhaş  Ras_10.44b
mardayet pàradaü pràj¤o  Ras_12.170c
mardayet saptaràtraü tu  Ras_12.126a
mardayeduccañãrasaiş  Ras_12.115b
mardayed yàvad àkçùõaü  Ras_11.164c
marditas triphalà÷igru-  Ras_10.57a
marditaü caõakàmlena  Ras_11.177c
marditaü carate devi  Ras_11.18e
marditaü vañakãkçtam  Ras_7.13d
mardyaş svedya÷ca pàradaş  Ras_11.67d
malago malaråpeõa  Ras_10.14a
malago malaråpeõa  Ras_10.14c
malaü ÷amayati kùaõàt  Ras_12.81d
malaü hanti na saü÷ayaş  Ras_7.117f
malenodararogã syàt  Ras_10.32e
mallikàyà÷ca sundari  Ras_7.113d
mahàkàlaü mahàbalam  Ras_2.97a
mahàkàlàdi vinyaset  Ras_2.96d
mahàkàlã ca ÷ambarã  Ras_5.16b
mahàgniü sahate hy eùa  Ras_4.27c
mahàjàraõamityuktaü  Ras_11.100a
mahàjàraõasaüyutàn  Ras_11.126d
mahànadã÷veta÷uktyàü  Ras_6.94a
mahànãle ca deve÷i  Ras_8.9c
mahàpà÷upatàstraü tu  Ras_3.27c
mahàpà÷upatena và  Ras_4.61b
mahàbalaparàkramaş  Ras_12.321d
mahàbalà nàgabalà  Ras_10.39a
mahàbhåtamayãü tatra  Ras_2.84a
mahàmårchàgataü såtaü  Ras_12.82a
mahàmaithunasambhavaş  Ras_1.34d
mahàratnasamanvitam  Ras_11.135b
mahàrambhe tu tanmantraü  Ras_3.6c
mahàrasànàü lohànàü  Ras_8.1a
mahàrasànuparasàn  Ras_8.51a
mahàrasà moditàstu  Ras_7.94c
mahàrasà÷coparasàş  Ras_7.90e
mahàraseùu dviguõas  Ras_8.2a
mahàràùñre 'tivi÷rutà  Ras_12.260b
mahàsamayavibhraü÷aü  Ras_3.30e
mahàsiddhiş pravartate  Ras_3.7b
mahiùasyàsthicårõena  Ras_7.112a
mahiùãkùãramadhye tu  Ras_12.221c
mahiùãkùãrasaüyutam  Ras_7.86b
mahãü samuddhçtavato  Ras_12.290a
mahauùadhyà rasena tu  Ras_12.32b
mahauùadhyà rasena saş  Ras_12.29b
mahauùadhyà rasenaiva  Ras_12.34a
màkùikasya palaü caiva  Ras_12.354c
màkùikaü gandhapàùàõaü  Ras_8.58a
màkùikaü càmlasaüyuktaü  Ras_11.19c
màkùikaü cårõitaü stanya-  Ras_7.8a
màkùikaü tiktamadhuraü  Ras_7.14c
màkùikaü daradàyasam  Ras_11.94b
màkùikaü dinam ekaü tu  Ras_7.13c
màkùikaü dviguõaü tathà  Ras_8.62b
màkùikaü nãlapuùpaü ca  Ras_6.120c
màkùikaü madhudhàtukam  Ras_7.14b
màkùikaü meùa÷çïgaü ca  Ras_6.85a
màkùikaü vimalaü tathà  Ras_7.6d
màkùikaü sattvamalpàlpaü  Ras_11.176a
màkùikaü sattvamàdàya  Ras_11.84a
màkùikeõa samanvitam  Ras_12.125d
màkùikeõa hataü tacca  Ras_8.65c
màkùiko dvividhastatra  Ras_7.5a
màkùiko vimalaş ÷aila÷  Ras_2.59a
màkùiko vimalaş ÷aila÷  Ras_7.2a
màkùãkaü karkañàsthi ca  Ras_6.102b
màghakhecarisaüyutam  Ras_12.53d
màõikye tu sure÷àni  Ras_8.10a
màtuluïgaphale nyastaü  Ras_6.27c
màtuluïgarasaplutaş  Ras_11.132b
màtuluïgarase ghçùñam  Ras_12.111c
màtuluïgarasena ca  Ras_12.319b
màtuluïgàmlapeùitaiş  Ras_12.110b
màtuluïgàmlamarditam  Ras_12.230d
màtuluïge ca nàraïge  Ras_12.375c
màtçkàsamatàü vrajet  Ras_12.11b
màtçvàhakajãvasya  Ras_6.108a
màdanaü ÷aktibãjaü ca  Ras_2.73a
mànavendraş prakurvãta  Ras_8.15a
màrayet pannagaü devi  Ras_12.93c
màrayet puñapàkena  Ras_7.149c
màrayedrasabhairavam  Ras_5.16f
màritaü saptabhiş puñaiş  Ras_8.62d
màritaü suravandite  Ras_8.78d
màritenàjaràmaraş  Ras_11.219d
màrutàtapavikùiptaü  Ras_6.50a
màrjanãü paripåjayet  Ras_3.12b
màrjanyà màrjayetsthànaü  Ras_3.9a
màrjàrapàdãsvarasa-  Ras_6.27a
màrjàro jàyate rasàt  Ras_1.50d
màlatãnãrasambhavam  Ras_9.2d
màlàmantraiş samarcayet  Ras_2.97d
màlinã hema÷akti÷ca  Ras_2.62c
màùaniùpàvacikkasam  Ras_7.93b
màùaü trimàùaü triguõaü  Ras_12.360a
màùà dvàda÷a tolaş syàt  Ras_10.35c
màùaikaü hemagolakam  Ras_12.92b
màsadvayaprayogeõa  Ras_12.270c
màsamàtraprayogeõa  Ras_12.20c
màsamàtraprayogeõa  Ras_12.250c
màsamàtraprayogeõa  Ras_12.306e
màsamàtraprayogeõa  Ras_12.307c
màsamàtraü sama÷nãyàt  Ras_12.303a
màsamàtreõa deve÷i  Ras_12.7a
màsamekaü tato mardyaü  Ras_12.299c
màsam ekaü tu bhakùayet  Ras_12.276d
màsamekaü tu bhakùayet  Ras_12.337b
màsamekaü nirantaram  Ras_12.161b
màsavedhi tu pàr÷vayoş  Ras_12.291d
màsena ÷àstrasampattiü  Ras_12.297c
màsenàyutajãvitaş  Ras_12.298d
màsenaikena deve÷i  Ras_12.302c
màhàtmyaü ca sure÷vari  Ras_1.60b
màhàtmyaü tu sure÷vara  Ras_1.32b
màhiùe navanãte ca  Ras_6.136c
milanti ca rasenà÷u  Ras_7.146a
milanti sakalàn kùaõàt  Ras_8.33d
milanti sarvadvaüdvàni  Ras_8.36c
milanti sarvalohàni  Ras_12.173c
mi÷rakaü ca vidurbudhàş  Ras_10.9b
mi÷rakaü tu vijànãyàd  Ras_10.9e
muktàcchattreõa ÷obhitàm  Ras_2.70b
muktàphalasamaprabham  Ras_6.19d
muktàphalaü tato deyaü  Ras_11.132c
muktàphalaü tu saptàhaü  Ras_6.122a
muktà÷ailamaye 'thavà  Ras_4.59d
muktvà bhådharalakùaõam  Ras_4.21d
mukhe taddhàrayennaraş  Ras_12.380d
mukhe tiryakkçte bhàõóe  Ras_4.7c
mukhena carate vyoma  Ras_11.58e
mukhenaiva caratyayam  Ras_11.57f
mukhe prakùipya sàdhakaş  Ras_12.343b
mu¤catyaïkurapattràõi  Ras_12.240e
mu¤catyeva na saü÷ayaş  Ras_7.36d
muõóãniryàsake nàgaü  Ras_11.42a
mudrayà mudrayettàü tu  Ras_12.209c
mudràü rasàïku÷ãü baddhvà  Ras_2.85a
munitoyayutaü punaş  Ras_6.32b
mumoca yattadà vãryaü  Ras_6.2c
musalolåkhalàni ca  Ras_4.3d
muhuş ÷åraõakandasthaü  Ras_7.6e
måkamåùàgataü dhamet  Ras_12.127d
måkamåùàgataü dhmàtaü  Ras_7.36a
måkamåùàgataü puñet  Ras_12.359f
måkamåùàgataü rasam  Ras_12.98b
måtraü gavyaü ca pa¤camam  Ras_5.35b
måtràmlakçùõatailakaiş  Ras_6.132b
måtre nidhàpayet strãõàü  Ras_7.33c
mårchayed bandhayet kùipraü  Ras_12.181c
mårchàïgadàha÷ca tato  Ras_11.105a
mårchà bhavati tatkùaõàt  Ras_12.195b
mårchitastu janàrdanaş  Ras_10.30b
mårchitaü taü vadanti hi  Ras_11.199d
mårchitaş ÷ivapåjàyàü  Ras_1.39c
mårchito mçtasåta÷ca  Ras_11.198a
mårchito vyàdhinà÷anaş  Ras_11.219b
mårchito harati vyàdhiü  Ras_1.19a
mårtibandhatvamiùyate  Ras_11.203b
mårtibandhasya lakùaõam  Ras_11.202d
målakandarasena ca  Ras_11.31b
målakàrdrakaci¤cà÷ca  Ras_5.30e
målakàrdrakacitràõàü  Ras_9.17a
målamantra udàhçtaş  Ras_2.52d
målaü và taõóulàmbhasà  Ras_6.92b
målaü siteùupuïkhàyà  Ras_11.39a
målaü hilamucàyàstu  Ras_11.25a
målenànena suvrate  Ras_5.7f
målenàvàhayetpriye  Ras_2.53b
måle vajralatàyàstu  Ras_6.115a
måùakàlepanaü kàryyaü  Ras_6.62c
måùàkhye veõuyantre ca  Ras_12.225a
måùàgataü bhavedyàvat  Ras_11.176c
måùàgataü ratnasamaü sthiraü ca  Ras_4.52c
måùà tu dvividhà smçtà  Ras_4.38b
måùàmadhyagataü dhmàtaü  Ras_12.197c
måùàmadhyasthite tasmin  Ras_11.140a
måùàmadhye tu saüsthitam  Ras_12.187b
måùàyantramidaü devi  Ras_4.15c
måùàyàü ca niyojayet  Ras_3.27d
måùàyàü dhmàtamagnyàbhaü  Ras_11.185c
måùàyàü puñapàcitam  Ras_11.184b
måùàyàü pårvayogena  Ras_12.99c
måùàyàü mu¤cati dhmàtaü  Ras_7.10e
måùàyàü rasayuktàyàm  Ras_4.9a
måùàlepagataü dhmàtaü  Ras_6.90e
måùàlepaü tataş kuryàt  Ras_4.18c
måùàlepaü tu kàrayet  Ras_4.47b
måùàlepaü tu kàrayet  Ras_6.88b
måùàlepaü tu kàrayet  Ras_11.89b
måùàlepena kurute  Ras_8.34c
måùà vallàkçti÷caiva  Ras_11.129a
måùàsattvaü tu jàyate  Ras_6.133f
måùàsthaü dhamayet såtaü  Ras_11.150c
måùàü prati samaü tataş  Ras_6.63b
måùikàü mçnmayãü dçóhàm  Ras_4.16d
mçtakàntapalaü tathà  Ras_12.354b
mçtagolakamàùaikaü  Ras_12.92a
mçtanàgasamanvitam  Ras_11.176b
mçtanàgena lepayet  Ras_12.94b
mçtalohàni pàcayet  Ras_11.127d
mçtalohena ra¤jayet  Ras_11.93f
mçta÷ulva÷ilàsattva-  Ras_8.59c
mçtasaüjãvanaü bhavet  Ras_12.34b
mçtasya dàpayennasyaü  Ras_12.35a
mçtasyàpi varànane  Ras_12.35d
mçtaü jalasamaü bhavet  Ras_6.121d
mçtaü tiùñhati såtakam  Ras_12.68f
mçtaü tu pa¤canicula-  Ras_6.17c
mçtaü nàgaü mçtaü vaïgaü  Ras_8.60c
mçtànàü devasaügare  Ras_12.233d
mçtàni suravandite  Ras_7.151b
mçtàhe dhåpanàyantre  Ras_8.21c
mçto jãvayati svayam  Ras_1.19b
mçttikà koùñhikàvidhau  Ras_4.31b
mçttikàguóapàùàõa-  Ras_7.28a
mçttikà caturaü÷ikà  Ras_4.37b
mçttikà màtuluïgàmlaiş  Ras_7.102a
mçttikàrasako varaş  Ras_7.29b
mçtpàtràyaşkañorakam  Ras_4.4b
mçtyudàridryanà÷anam  Ras_12.378d
mçdà vastreõa caiva hi  Ras_4.11d
mçdutvamupajàyate  Ras_6.106d
mçdudårvàmlavetasam  Ras_7.141b
mçdu vajraü vinikùipet  Ras_6.115b
mçdu saüjàyate dhruvam  Ras_6.114d
mçdu sikthakasaünibham  Ras_11.204b
mçdusvedaü tu kàrayet  Ras_4.19b
mçdbhàgàs tàra÷uddhyartham  Ras_4.43c
mçdbhyaş sattvaü prajàyate  Ras_7.95d
mçdvagninà tu niùkvàthyaü  Ras_11.36c
mçnmayàni ca yantràõi  Ras_4.3c
mçnmaye lohapàtre và  Ras_4.59a
mçlliptaü mriyate puñaiş  Ras_6.98d
meghanàdapunarnavaiş  Ras_6.11b
meghanàdarasopetaü  Ras_12.359e
meghanàdà punarnavà  Ras_10.39b
meghanàdà punarnavà  Ras_11.24b
meghanàdà punarnavà  Ras_11.32b
meghànàü tu ninàdena  Ras_12.168a
medinãyantramadhye tu  Ras_12.60c
medhàvã priyadar÷anaş  Ras_12.317b
meùa÷çïgagataü vajraü  Ras_6.98c
meùa÷çïgaü bhujaïgàsthi  Ras_6.81a
meùa÷çïgaü ÷ilàjatu  Ras_7.132b
meùa÷çïgaü sahiïgulam  Ras_6.103b
meùa÷çïgã ca kukkuñã  Ras_5.6d
meùa÷çïgã ca tatsàraiş  Ras_10.39c
meùa÷çïgãdravànvitam  Ras_6.135b
meùa÷çïgã raso 'pyeùàü  Ras_6.80a
meùa÷çïgã÷a÷avasà-  Ras_6.12c
meùa÷çïgãü ca ÷çïgãü ca  Ras_12.223:1c
meùa÷çïge nidhàtavyaü  Ras_12.161a
meùa÷çïgyamçtàyasam  Ras_11.127b
meùàhinarabarhijà  Ras_5.37b
mehàr÷aşkùayakuùñhanut  Ras_7.14d
mokùakakùàrasaüyuktaü  Ras_7.17a
mokùakùàrasya bhàgau dvau  Ras_4.43a
mokùamorañapàlà÷a-  Ras_6.134a
mokùàbhivya¤jakaü devi  Ras_11.3a
mokùe naùñe na kiücana  Ras_1.16d
modà vyàghranakhã ÷amã  Ras_5.11d
modinã vçddhadàrukaş  Ras_5.17d
mohitàş ÷ivamàyayà  Ras_1.29b
mauktikaü ca pravàlakam  Ras_6.120b
maurvãrasapariplutam  Ras_6.28d
mriyate ca rasàyane  Ras_10.32f
mriyate nàtra saüdeho  Ras_12.104a
mriyate nàtra saüdeho  Ras_12.108a
mriyate nàtra saü÷ayaş  Ras_12.106d
mriyate badhyate caiva  Ras_5.21c
mriyate måùikàmadhye  Ras_12.128a
mriyate vajram ã÷vari  Ras_6.96d
mriyate saptabhiş puñaiş  Ras_6.100d
mriyate saptabhiş puñaiş  Ras_6.107d
mriyante hãrakàstatra  Ras_6.86c
yacca kena na bhidyate  Ras_8.12b
yatnata÷càrayennabhaş  Ras_11.59b
yatnato vastragàlitam  Ras_4.10b
yatpàdau màüsalau snigdhau  Ras_2.23c
yatphalaü samyagarcanàt  Ras_1.43b
yatra kùetre sthitaü devi  Ras_6.129a
yatra tãkùõaü sure÷vari  Ras_11.158d
yatra yatra sthitaü bhuvi  Ras_6.125b
yatra ràjà nayaparo  Ras_2.38a
yatra råpaü mahàdeva  Ras_2.28c
yatra siddhir makàràdiş  Ras_3.3c
yatra sthairye rasaş prabhuş  Ras_1.20d
yatrauùadhyo mahàbalam  Ras_4.20d
yatsàkùàddràvayellohaü  Ras_6.46a
yatsurairapi durlabham  Ras_2.31b
yathà kà¤jikasaüspar÷àt  Ras_10.8:2a
yathà jàtistathotsàhaü  Ras_6.78a
yathà jànanti sàdhakàş  Ras_12.289b
yathà tãvre hutà÷ane  Ras_11.130d
yathà pårvaü tadakùayam  Ras_7.97d
yathà bhavati såtakaş  Ras_10.29b
yathà bhåyo na jãvati  Ras_11.220d
yathà rucistathà ÷ãlaü  Ras_6.78c
yathà romodgamo bhavet  Ras_6.46d
yathàlàbhaü samànayet  Ras_2.100d
yathàlàbhaü sure÷vari  Ras_8.19d
yathà varastathà varõaü  Ras_6.78e
yathàvittànusàrataş  Ras_2.127f
yathà÷akti japitvà tu  Ras_2.77a
yathà÷akti japenmantraü  Ras_2.93e
yathà ÷ãlaü tathà varam  Ras_6.78d
yathà sattvaü tathà guõàn  Ras_6.78b
yadà ca calati dhyànaü  Ras_2.118a
yadà ca ni÷calaü dhyàyet  Ras_2.117a
yadà ca ni÷calaü manaş  Ras_2.117b
yadà jãrõaü caturguõam  Ras_11.95b
yadà tadbudbudàkàraü  Ras_12.281c
yadà na rekhàpañalaü na ÷abdaş  Ras_4.52b
yadà bhavati tacchailaü  Ras_12.315c
yadà lavaõabhedi ca  Ras_11.206b
yadà vai÷vànaro bhavet  Ras_4.55b
yadi jãrõà tri÷çïkhalà  Ras_11.141b
yadi te 'ham anugràhyà  Ras_1.5c
yadi muktirniùevaõàt  Ras_1.11d
yadi muktirbhagakùobhe  Ras_1.10a
yadi vàïgàralepanam  Ras_4.47d
yaddravedra¤jayecca tam  Ras_8.87b
yadyasti karuõà mayi  Ras_1.17d
yadyahaü tava vallabhà  Ras_1.5d
yadvà màkùikakesarã  Ras_7.150d
yantrakùayavidhij¤asya  Ras_4.26c
yantratantràrthakovidaiş  Ras_4.29d
yantramåùàgnimànavit  Ras_3.33b
yantramåùàgnimànavit  Ras_4.64b
yantramåùàgnimànàni  Ras_4.1a
yantramåùàgnimànàni  Ras_4.65a
yantramekaü paraü marma  Ras_4.20c
yantrasyàdhaş karãùàgniü  Ras_4.12c
yantrahaste susaübadhya  Ras_6.63c
yantraü lohena kàrayet  Ras_4.25f
yantràd uddhçtamàtraü tu  Ras_11.62c
yantre pàtàlasaüj¤ake  Ras_12.21b
yantre vikriyate kriyà  Ras_4.25d
yantre vidyàdharàhvaye  Ras_12.41d
yantre vidyàdhare devi  Ras_12.6e
yantrauùadhimahàrasàn  Ras_2.4d
yanmukhe caiva tadgolaü  Ras_12.349e
yayà sampadyate hy eùàm  Ras_5.1c
yavakùàrantu saügçhya  Ras_6.58a
yavakùàra÷ca kà¤jikam  Ras_11.87b
yavakùàra÷ca sarjikà  Ras_5.30b
yavaci¤càranàlàmla-  Ras_6.11c
yavaci¤càrasena ca  Ras_11.23d
yavaci¤càrasena tu  Ras_11.182b
yavasiddhàrthakàstãrõe  Ras_2.50a
yavastvekaş prakãrtitaş  Ras_10.34d
yavàgau vartitaü ÷ubham  Ras_12.227b
ya÷ca sarvamayo nityaü  Ras_1.1c
yastu tadràjikàmàtraü  Ras_12.337a
yasmin sarvaü yataş sarvaü  Ras_1.1a
yasya tuùño mahàdevas  Ras_2.26a
yasya yo vidhiràmnàta  Ras_12.382a
yasya rogasya yo yogas  Ras_11.218a
yasyàş payodharau devi  Ras_2.22c
yasyaitàni na dç÷yante  Ras_11.200c
yaü na gandhakakesarã  Ras_7.150b
yaş karma kurute dçùñaü  Ras_1.56a
yaş kuryàdbhaktisaüyutaş  Ras_2.128b
yaş kuryàd rasanindakaiş  Ras_1.52b
yaş kuryàn måóhacetanaş  Ras_1.55b
yaş pàpã rasanindakaş  Ras_1.51d
yaş pibet pràtarutthàya  Ras_12.301a
yaş purà devadeve÷i  Ras_2.104a
yaş purà devadeve÷i  Ras_2.110a
yaş sarvaü sarvata÷ca yaş  Ras_1.1b
yaş svedaş patitastasmàj  Ras_12.290c
yà ca kà¤canasaünibhà  Ras_12.144b
yà j¤àtà pårvabhàrgave  Ras_3.21b
yàdç÷ã bhavitavyatà  Ras_2.35d
yàdç÷ã rasabandhakã  Ras_2.16d
yàni kàni phalàni ca  Ras_12.311b
yànti nà÷am upàdhijàş  Ras_10.49d
yà punarna prakà÷ità  Ras_1.6b
yàmadvayena tadvajraü  Ras_6.112a
yàmamuùõàmbhasà ghçùñaü  Ras_12.271c
yàvaccandràrkajãvitvam  Ras_12.335c
yàvaccårõapalaü devi  Ras_12.222c
yàvaccårõaü tato bhavet  Ras_6.37d
yàvaccårõaü tu tadbhavet  Ras_12.224b
yàvajjanmasahasraü tu  Ras_1.52c
yàvat kando na dahyate  Ras_11.122f
yàvat karma dçóhaü bhavet  Ras_11.128d
yàvat kalpàn caturda÷a  Ras_12.257d
yàvat kumbhàva÷eùitam  Ras_7.143b
yàvat janmasahasrakam  Ras_1.50b
yàvattat kçùõatàü gatam  Ras_4.32d
yàvattat cårõitaü bhavet  Ras_11.182f
yàvattat ÷lakùõatàü gatam  Ras_4.33d
yàvattadbhasmatàü gatam  Ras_6.83d
yàvat palaü tasya malaiş  Ras_12.274e
yàvat ÷eùaü vimardayet  Ras_11.63d
yàvadekàda÷aguõaü  Ras_11.131c
yàvaddinàni vahnistho  Ras_11.5a
yàvadbãjaü drutaü bhavet  Ras_11.195b
yàvad bhråmadhyam ã÷ànam  Ras_2.111c
yàvanna jàryate såtaş  Ras_11.3c
yàvanna baddhamekaü tu  Ras_12.78a
yàvanna ÷aktipàtastu  Ras_1.23a
yàvanna harabãjaü tu  Ras_1.28a
yàsyàmaş ÷ivamandiram  Ras_1.29d
yàş sthità divyakhecarã  Ras_3.18b
yuktaü lohamanenaiva  Ras_12.162:1c
ye guõàş pàrade proktàs  Ras_7.65c
ye tatra patità bhåmau  Ras_7.4a
ye naràş kumbhakuddàla-  Ras_2.9a
ye mçtà devasaügare  Ras_12.234d
yoganidràmupàgataş  Ras_7.3b
yogavàhi rasàyanam  Ras_7.14f
yoga÷aktikrameõa tu  Ras_11.216b
yoginãùañkasaüyuktaü  Ras_3.11a
yoge naùñe kuto gatiş  Ras_1.16b
yojanadvitaye punaş  Ras_12.286d
yojanànàü ÷ataü gatvà  Ras_12.247a
yojanànàü ÷ataü vrajet  Ras_11.143b
yojayet pàdayogataş  Ras_12.351b
yojyaü rasarasàyane  Ras_6.53d
yojyaü vajràbhrakaü priye  Ras_6.8b
yojyàs te nidhisàdhane  Ras_2.9d
yo dadàti hutà÷anam  Ras_11.6b
yonicakraü samekhalam  Ras_2.77d
yonã yasyà bhagaş samaş  Ras_2.23b
yo bàhyàbhyantare ÷veto  Ras_10.8:1a
yo bhakùayet tribhirvarùaiş  Ras_12.362c
yo vetti sa gururmataş  Ras_2.6d
yo '÷nàti mçtasåtakam  Ras_1.22d
yoùàmçùñasya vedhakam  Ras_8.67d
yoùidraktaü gavàü måtraü  Ras_12.211c
yo hi jànàti pàrvati  Ras_8.15b
yauvanastha÷caturguõam  Ras_11.77b
yauvanastho raso devi  Ras_11.79c
raktaka¤cukikandaü tu  Ras_12.99a
raktakandaş pra÷asyate  Ras_12.166d
raktake÷àn gatàlasàn  Ras_2.11b
raktakùàrayutaü dhmàtaü  Ras_12.324a
raktacandanasaüyuktaü  Ras_12.172c
raktacitrakacårõena  Ras_12.138a
raktacitrakabhallàta-  Ras_12.140a
raktacitrakamuddharet  Ras_12.137f
raktacitrakasaüyukto  Ras_12.142a
raktacitrakasaüyutam  Ras_12.141b
raktatvaü raktakà¤janàt  Ras_10.13b
raktapatàkàsaüyuktaü  Ras_2.45a
raktapattraü mçdåttamam  Ras_7.105d
raktapãtagaõasya ca  Ras_8.82b
raktapãtà÷ca ÷uklà÷ca  Ras_8.8c
raktapuùpaiş sadà påjyaü  Ras_6.53a
raktamàlyànulepanaş  Ras_12.137b
raktamàlyànulepanaiş  Ras_6.53b
raktamçtsindhubhåkhagaiş  Ras_4.48d
raktavargakçtàlepà  Ras_4.44c
raktavargagaõena ca  Ras_10.27d
raktavargapariplutà  Ras_4.44b
raktavargapraliptayà  Ras_4.46d
raktavargarasakvàtha-  Ras_7.83c
raktavargastu deve÷i  Ras_5.39c
raktavargeõa bhàvitaş  Ras_7.45b
raktavargeõa sammi÷rà  Ras_4.44a
raktavargair muhuş puñaiş  Ras_8.46d
raktavarõaü mahàbhàge  Ras_6.43c
raktavarõaü su÷obhanam  Ras_12.123d
raktavarõaü su÷obhanam  Ras_12.167b
raktavyoma ÷ataplutam  Ras_11.55b
rakta÷àlyodanena tu  Ras_12.137d
raktasindhådbhavàlarka-  Ras_11.178c
raktasnuhã rakta÷çïgã  Ras_5.9a
raktasnuhã somalatà  Ras_5.17a
raktasnehaniùiktaü tad  Ras_8.57a
raktaü kçùõaü sure÷vari  Ras_7.105b
raktaü pãtaü ca hemàrthe  Ras_6.9a
raktaü pãtaü tathà kçùõam  Ras_12.219a
raktaü pãtaü sitaü kçùõaü  Ras_12.151a
raktaü bhåme÷ca saügamàt  Ras_6.2f
raktaü raktena ra¤jayet  Ras_11.9d
raktaş kçùõo rasàyane  Ras_12.133b
raktàni ÷ikhipittaü ca  Ras_11.135a
raktàbhaü pãtavarõaü ca  Ras_7.100a
raktàmbaradharo bhåtvà  Ras_12.137a
raktà ÷ilà tu gomàüse  Ras_7.78a
raktikà nãlacitrakaş  Ras_5.9b
rakùayetpraõavaü tathà  Ras_3.30d
rakùàrthaü sthàpitaü tatra  Ras_12.204a
rakùàü kçtvà di÷àü balim  Ras_12.292b
rakùitavyaü prayatnena  Ras_11.103a
rajanãcårõasaüyutam  Ras_11.164b
rajanãtumburåõi ca  Ras_7.113b
rajanãdvayamadhyataş  Ras_12.328d
rajanãsitasarùapaiş  Ras_10.47b
rajanãü caiva kuùñhaü ca  Ras_11.136a
rajasa÷càtibàhulyàt  Ras_7.61a
rajasà prathamena ca  Ras_11.22d
rajasvalàyàş kusumena bhàvitam  Ras_7.31b
rajoluïgàmlabhàvitam  Ras_11.44b
ra¤janaü ca tato devi  Ras_11.212a
ra¤janaü rasaràjasya  Ras_8.44c
ra¤janaü sàraõaü tailaü  Ras_2.5c
ra¤jane rasaràjasya  Ras_8.53c
ra¤jitaü sacaràcaram  Ras_1.30d
ra¤jitàni paraü ÷çõu  Ras_8.41b
ra¤jito rasabhairavaş  Ras_11.209d
raõe ràjakule dyåte  Ras_12.349c
ratnabandhamataş param  Ras_11.211d
ratnaü muktàphalaü viduş  Ras_8.10d
ratnàdiguõabhåùitam  Ras_12.345b
ratnàdiguõabhåùitam  Ras_12.346d
ratnàdi÷ivagà yathà  Ras_12.347f
ratnànàü ca sure÷vara  Ras_8.1b
ratnànàü dràvaõaü vakùye  Ras_7.137a
ratnàni tena liptàni  Ras_7.144a
ratnàbharaõabhåùaõàm  Ras_2.69b
rambhàphale ùañsahasraü  Ras_12.376a
ravikùãra÷ataplutam  Ras_9.3b
ravighçùñaü tu taü devi  Ras_12.45c
ra÷minà mçdunà dravet  Ras_11.207b
rasakarma ca kãdç÷am  Ras_10.1b
rasakarmaõi yogyatve  Ras_6.1c
rasakarmaõi saücaret  Ras_2.103b
rasakarma samàcaret  Ras_9.19b
rasakarmàõi kàrayet  Ras_2.26d
rasakarmopakàrakam  Ras_3.1d
rasakalkena lepayet  Ras_12.92f
rasakasya ca bhàgàüs trãn  Ras_11.183a
rasakaü càùñakaü guõam  Ras_11.110d
rasakaü cårõayitvà tu  Ras_7.33a
rasakaü dviguõaü dattvà  Ras_8.46a
rasakaü vàpitaü ÷a÷vac-  Ras_8.58e
rasakaü saptavàrataş  Ras_12.50:1b
rasakaü samabhàgikam  Ras_8.70b
rasakàbhraü kàntatàmre  Ras_8.65a
