Skandapurana (Adhyayas 1 - 31.14; to be continued)
Based on the edition by Rob Adriaensen, Hans T. Bakker and Harunaga Isaacson,
Groningen : Egbert Forsten 1998-
(Groningen Oriental Studies)


Input by R. Adriaensen, H.T. Bakker and H. Isaacson


The transliteration emulates the conventions of Nagari script.
Therefore, many word boundaries are not marked by blanks.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarotkiæ mahÃdeva  SkP_26.2c
prÃpte trailokyasaæk«aye  SkP_28.43d
prÃpya yaj¤aphalaæ mahat  SkP_8.22b
prÃpya yo yok«yate dvija÷  SkP_29.118b
prÃpsyase paramaæ mahat  SkP_29.116d
prÃyaÓcittaæ caradhvaæ va÷  SkP_5.36e
prÃya÷ so«ïajalÃÓaya÷  SkP_13.120b
prÃrthitaæ samprasÅda na÷  SkP_11.37d
prÃleyacÆrïavar«ibhyÃæ  SkP_13.93c
prÃleyadhÃrÃ÷ ÓaÓipÃdagaurÃ  SkP_13.98c
prÃleyapaÂalacchannai÷  SkP_13.96a
prÃleyÃdre÷ samantata÷  SkP_13.121d
prÃvartata nadÅ puïyÃ  SkP_22.28c
prÃvartata mahÃnadÅ  SkP_22.16f
prÃvartayata ÓobhanÃm  SkP_26.34b
prÃsÃdaæ yastu me devi  SkP_27.12a
priyaÇgÆcÆtasaækulam  SkP_29.6b
priyaÇgÆÓcÆtataravaÓ  SkP_13.106a
priyatvaæ ca kathaæ gata÷  SkP_30.2b
priyatvaæ caiva sarvatra  SkP_26.30c
priyaputrÃvekaputrau  SkP_12.35c
priyavÃganasÆyaka÷  SkP_20.38b
priyaÓcÃsya bhavi«yasi  SkP_6.12d
priya÷ saæmata eva ca  SkP_22.33d
priyÃ eva bhavi«yanti  SkP_29.227c
priyÃÓca sarvalokasya  SkP_29.221c
priye«u mÃnonnatamÃnasÃnÃæ  SkP_13.77a
priyo gauravayuktaÓca  SkP_24.10c
priyo 'granÃyakaÓcaiva  SkP_24.8c
priyo yu«mÃkameva ca  SkP_25.28d
prÅïÃti ca pitÌnsarvÃn  SkP_27.33c
prÅtiyuktÃ gataklamÃ  SkP_15.12d
prÅto no diÓa ÓakvarÅm  SkP_3.18f
prÅyamÃïa umÃpati÷  SkP_29.174d
prÅyamÃïastrilocana÷  SkP_20.25b
prÅyamÃïo mahÃtapÃ÷  SkP_27.6b
pretÃdhipataye nama÷  SkP_29.108d
premïÃ sp­ÓantÅ kÃnteva  SkP_13.90c
preritaæ devadevena  SkP_4.14c
pre«ito gaïapo rudra÷  SkP_4.15c
prokta÷ saævignacetasÃ  SkP_29.25b
proktÃ girivarÃtmajÃ  SkP_29.146b
proktÃ tyaktÃpi vÃ puna÷  SkP_10.29d
procyÃgacchadyathÃgatam  SkP_21.5f
prodbhÃsayansarvadiÓo vivasvÃn  SkP_13.10b
prodbhinnacÆtÃÇkurakarïapÆra÷  SkP_13.100b
provÃca bhuvaneÓvara÷  SkP_5.64b
provÃca vacanaæ vyÃsa  SkP_12.60c
provÃca vacanaæ Óubham  SkP_1.21d
provÃca varada÷ svayam  SkP_4.5f
provÃca vimanÃ tadÃ  SkP_26.50b
provÃca sa gaïeÓvara÷  SkP_26.48b
provÃca himavatputrÅæ  SkP_15.13c
provÃcedaæ munÅnsarvÃn  SkP_1.13c
plÃvayantau gire÷ ÓilÃ÷  SkP_13.92b
phalasaæyogadÃya ca  SkP_14.22d
phalaæ phalavatÃæ Óre«ÂhÃ  SkP_9.21e
phalaæ phalaÓatÃrcitÃ  SkP_28.1d
phalaæ yattadavÃpsyati  SkP_7.29f
phalena samayojayat  SkP_7.35d
phalaiÓca vividhÃkÃrair  SkP_28.12e
phullÃtimuktakalatÃg­halÅnasiddhaæ  SkP_30.38a
phullÃbje«u bhramaravilasitam  SkP_30.42d
phullÃÓokalatÃstatra  SkP_13.108a
phullÃsu ÓÃkhÃsu nilÅnapak«Ã÷  SkP_13.104b
phullotpalÃgarusahasravitÃnayuktais  SkP_30.33a
phenaæ mÆrdhni samÃpatat  SkP_29.9d
bakulÃÓca nitambe«u  SkP_13.125a
baddhvendraæ saha devaiÓca  SkP_24.4a
babhÆva puru«a÷ prabhu÷  SkP_29.65d
babhÆva sahasÃ vibhu÷  SkP_13.29d
babhau kaïÂhÃvasaktayÃ  SkP_22.9b
balavÃnmatisampanna÷  SkP_2.29c
balavÃæstanmayaæ jagat  SkP_4.33d
balasyÃdhipatitvaæ ca  SkP_4.8c
balaæ ca vÅryaæ sthiratÃæ ca saæyuge  SkP_25.52d
balaæ tejaÓca yogaæ ca  SkP_13.38e
balaæ dadÃni te pÆrvaæ  SkP_31.6a
balaæ paurÃïamastu te  SkP_29.131d
balaæ vÃyostathÃnye«Ãæ  SkP_13.38c
balÃkÃbhiÓca ÓobhitÃ  SkP_13.75d
balisaæyamanaæ caiva  SkP_2.16a
balÅyaÓcÃpi sarvata÷  SkP_4.28b
bahava÷ ÓataÓo 'bhyetya  SkP_29.63c
bahukusumarajobhirutkarÃÇgÃ  SkP_13.99a
bahubhi÷ kusumotkarai÷  SkP_13.121b
bahurÆpÃÓca tÃ bhÆtvÃ  SkP_29.235c
bahurÆpo 'ntakÃntak­t  SkP_28.67d
bahuve«adharaÓcaiva  SkP_23.26a
bahÆnÃæ caiva tadbhujÃm  SkP_17.9b
bahÆni vividhÃkÃrÃïy  SkP_8.5c
bahÆni vividhÃni ca  SkP_29.227b
bahÆndÃsyati rÃjÃ ca  SkP_26.46a
bahÆnyabdÃni dhÃrayÃ  SkP_6.6b
bahvarthÃæ ÓrutisaæmitÃm  SkP_3.1d
bÃlakaæ cÃrurÆpiïam  SkP_12.37b
bÃlakaæ hyekaputrakam  SkP_12.40b
bÃlaÓcÃyaæ vimucyatÃm  SkP_12.56d
bÃlasyÃrtasya ÓailajÃ  SkP_12.30b
bÃlaæ cemaæ Óucismite  SkP_12.53b
bÃlaæ d­«ÂvÃ mahÃvratÃ  SkP_12.39d
bÃlaæ mu¤ca mamÃgrata÷  SkP_12.50d
bÃlÃnubhÃvÃcaraïaæ hi Óambho÷  SkP_12.63b
bÃlo 'pi sarasastÅre  SkP_12.58a
bÃhumutk«ipya v­trahÃ  SkP_13.33b
bÃhuæ cÃlayituæ na ca  SkP_13.34d
bÃhorvedÃÇkurÃya ca  SkP_14.6b
bibhartsyati ÓiraÓca te  SkP_5.64f
bibhracchaÇkhendupÃï¬arÃ÷  SkP_23.17d
bibhratsamÃgÃtpurata÷ surÃïÃm  SkP_13.9f
bibhratsphaÂÃnÃæ jvalanÃrkatejÃ÷  SkP_13.19b
bilvapattrasahasre tu  SkP_28.35a
bilvarÆpaÓca viÓruta÷  SkP_23.58d
bilvasya ca bukasya ca  SkP_28.31d
bilvÃrjunakadambaiÓca  SkP_29.6c
bÅjÃtmanÃ na bhavati  SkP_16.10c
bÅjÃtmÃ ca tathodbhÆta÷  SkP_16.10a
bukapu«pasahasrasya  SkP_28.36a
bukapu«pe tadekasmin  SkP_28.35c
buddhiliÇgÃya vai nama÷  SkP_15.23b
buddhvÃ sÃ prak­tisthitam  SkP_29.68b
budhyamÃnÃya buddhÃya  SkP_21.39a
budhyasvÃstÅti k­tsnaÓa÷  SkP_29.88d
bubudhe devadeveÓam  SkP_13.39e
bubodha devÅ buddhvÃ ca  SkP_29.135c
b­hatskandha÷ pinÃkadh­k  SkP_23.12d
b­haduk«yai namo nama÷  SkP_29.206b
bravÅti nÃsti te putro  SkP_26.50e
bravÅmi tvÃæ mahÃbhÃge  SkP_29.143a
bravÅmi yatkuru tathÃ  SkP_12.47c
brahmak­tprak­te÷ sra«ÂÃ  SkP_13.42c
brahmacÃriïya eva ca  SkP_11.31b
brahmacÃrÅ niyamavÃ¤  SkP_9.27a
brahmacÃrÅ ÓucirbhÆtvÃ  SkP_28.39a
brahma caivÃk«ayaæ deva  SkP_15.29c
brahmaïaÓca Óirohartre  SkP_21.31c
brahmaïaÓcÃgamastatra  SkP_2.6a
brahmaïaÓcÃpi saæg­hya  SkP_29.24c
brahmaïaÓcaiva saævÃdaæ  SkP_5.21c
brahmaïa÷ pa¤camaæ Óira÷  SkP_5.43d
brahmaïa÷ pataye nama÷  SkP_3.13d
brahmaïa÷ pataye nama÷  SkP_20.10d
brahmaïa÷ parameÓvara÷  SkP_4.5d
brahmaïa÷ putrasattama÷  SkP_1.27b
brahmaïa÷ «aÂkulÅyÃste  SkP_4.24a
brahmaïa÷ sutamagrajam  SkP_1.17b
brahmaïÃ kalpitaæ puram  SkP_13.63b
brahmaïÃ devasattama÷  SkP_9.17b
brahmaïÃ liÇgamuttamam  SkP_29.42b
brahmaïÃ vihito nÆnaæ  SkP_12.42c
brahmaïÃ sa tato vi«ïu÷  SkP_29.25a
brahmaïo ­«ibhiÓca ha  SkP_11.3d
brahmaïo gurave caiva  SkP_21.33c
brahmaïo janakÃya ca  SkP_21.33d
brahmaïo 'tha varaæ labdhvÃ  SkP_29.48c
brahmaïo 'numate tadÃ  SkP_18.39d
brahmaïo 'pi tata÷ putrÃ  SkP_4.21a
brahmaïo mÃnameva ca  SkP_5.7d
brahmaïo munipuægava÷  SkP_1.23b
brahmaïo lokavartmani  SkP_1.3d
brahmaïo vacanÃdyasyÃæ  SkP_10.7c
brahmaïyatvaæ samÃhÃtmyaæ  SkP_1.14c
brahmaïyathaivaæ stuvati  SkP_9.11a
brahmaïyÃyÃjitÃya ca  SkP_14.14d
brahmaïyÃyÃtha ÓuddhÃya  SkP_21.44a
brahmaïyo 'tha mama priya÷  SkP_31.12b
brahmaïyo dhÃrmikaÓca ha  SkP_30.4d
brahmatejomayÅæ ÓubhÃm  SkP_19.11d
brahmatvamatha vi«ïutvam  SkP_21.16a
brahmatvamapi cakratu÷  SkP_25.8f
brahmatvenÃthavÃ puna÷  SkP_21.50b
brahmadattavaraÓcaiva  SkP_7.17c
brahma dhyeyaæ tadak«ayam  SkP_13.41d
brahmaliÇgÃya vai nama÷  SkP_15.20d
brahmalokavibhÆ«aïÃ  SkP_5.18d
brahmalokaæ gami«yati  SkP_12.25f
brahmalokaæ ca gacchati  SkP_29.93d
brahmalokaæ tathaiva ca  SkP_27.40b
brahmalokaæ samÃsÃdya  SkP_7.1a
brahmalokÃdihÃgatÃ  SkP_5.18b
brahmalokÃnusÃriïÅ  SkP_8.1b
brahmaloke 'tipÃvanam  SkP_7.11d
brahmaloke nivatsyati  SkP_9.27f
brahmasattre purÃ sÃdho  SkP_1.8c
brahmasÆnuratha vyÃsaæ  SkP_1.21a
brahmaæ ca yo vidadhe putramagre  SkP_3.9a
brahmaæstava jagadvibho  SkP_13.130f
brahmÃ ­«aya eva ca  SkP_28.22b
brahmÃ ca ­«ayaÓcaiva  SkP_24.34e
brahmÃ cakre tadÃ ce«Âiæ  SkP_4.11c
brahmÃ j¤ÃtvÃtibhÃsvarÃm  SkP_10.2b
brahmÃïamagrajaæ putraæ  SkP_3.28c
brahmÃïaæ kupitÃnanam  SkP_29.26b
brahmÃïaæ chÃdayanniva  SkP_4.17d
brahmÃïaæ devi varadam  SkP_9.20c
brahmÃïaæ praïataæ tathÃ  SkP_3.19d
brahmÃ taæ pratya«edhayat  SkP_10.9b
brahmÃ tÃmÃha susvaram  SkP_12.1b
brahmÃdayo vijÃnanti  SkP_30.51c
brahmÃ dÅptena tejasÃ  SkP_5.22b
brahmÃ devar«ibhi÷ sÃrdhaæ  SkP_30.62a
brahmÃdyÃ nemire tÆrïaæ  SkP_13.55c
brahmÃdyai÷ sevyate mama  SkP_29.74b
brahmÃ paramasaævigno  SkP_13.39c
brahmÃ mama pitÃ svayam  SkP_13.127d
brahmÃ mÃmabravÅttata÷  SkP_29.13b
brahmÃrkavaiÓvÃnaraÓakracandrair  SkP_29.89a
brahmÃ lokapitÃmaha÷  SkP_5.55b
brahmÃ lokapitÃmaha÷  SkP_5.65d
brahmÃ lokapitÃmaha÷  SkP_13.58b
brahmÃ lokapitÃmaha÷  SkP_13.131b
brahmÃ lokapitÃmaha÷  SkP_25.8b
brahmÃ vacanamabravÅt  SkP_9.13d
brahmÃ vacanamabravÅt  SkP_11.35f
brahmÃ vedamabhÃ«ata  SkP_5.35b
brahmÃ vyaj¤Ãpayadvibhum  SkP_13.129b
brahmÃ vyÃsa gire÷ sutÃm  SkP_12.2b
brahmÃ Óakrastathaiva ca  SkP_24.59d
brahmÃ Óarveïa dhÅmatÃ  SkP_3.6b
brahmi«Âhaæ ÓaktinÃmÃnaæ  SkP_16.2e
brÃhmaïaæ brÃhmaïapriyÃ  SkP_12.7d
brÃhmaïa÷ k«atriyo 'tha viÂ  SkP_28.19b
brÃhmaïa÷ sa m­to yÃti  SkP_25.58e
brÃhmaïÃ¤chrÃvayÅta vÃ  SkP_19.26b
brÃhmaïÃnÃæ samÅpata÷  SkP_5.67b
brÃhmaïÃnÃæ sahasrÃïÃæ  SkP_26.45a
brÃhmaïÃnbhÆmidaivatÃn  SkP_12.12b
brÃhmaïÃæstarpayecchuci÷  SkP_28.40d
bruvÃïaæ ÓuddhayÃ girÃ  SkP_20.67b
brÆta kiæ karavÃïi va÷  SkP_25.35d
brÆta tatk­tameveha  SkP_8.18c
brÆta yaccÃpi kiæcidvo  SkP_29.222a
brÆhi kiæ te jaganmÃta÷  SkP_11.37c
brÆhi kiæ te dadÃni te  SkP_15.17d
brÆhi kiæ vÃ dadÃni te  SkP_21.16d
brÆhi kiæ vÃ priyaæ te 'dya  SkP_18.19c
brÆhi cÃnyÃnapi varÃn  SkP_15.34e
brÆhi tanme Óucismite  SkP_26.12d
brÆhi tu«Âo 'smi te Óaila  SkP_11.20c
brÆhi yatte manogatam  SkP_20.22d
brÆhi yatte manogatam  SkP_21.13d
brÆhi yatte manogatam  SkP_29.100d
brÆhi viÓravasa÷ suta  SkP_29.167d
bhaktastvÃæ ca viÓe«ata÷  SkP_29.138d
bhaktasyÃsya tapasvina÷  SkP_29.138b
bhaktÃnÃæ bhayahÃriïe  SkP_9.2b
bhaktÃnugrahamÅpsitam  SkP_29.181b
bhaktÃnugrahalipsayÃ  SkP_29.125d
bhaktÃ ye phalamuddiÓya  SkP_27.4c
bhaktiprÅtyÃ tadÃ vibhu÷  SkP_15.15b
bhaktimadbhirdvijottamai÷  SkP_29.72d
bhaktiÓca tvayi ÓÃÓvatÅ  SkP_29.168b
bhakto mama varÃrohe  SkP_31.2a
bhaktyÃ ca mama bhÃvata÷  SkP_29.73b
bhaktyÃ ca mama bhÃvata÷  SkP_30.55d
bhaktyÃ paramayÃpi ca  SkP_29.114b
bhaktyÃ paramayÃ yutam  SkP_22.1b
bhaktyÃ paramayÃ yutam  SkP_29.99b
bhaktyÃ paramayÃ yuta÷  SkP_29.28d
bhaktyÃ munivarasya ha  SkP_15.13d
bhak«ayanti sma mahi«aæ  SkP_7.23a
bhak«ayÃmÃsa saærabdho  SkP_16.15c
bhak«ayitvÃ viÓuddhyarthaæ  SkP_17.27a
bhak«itaæ rak«asÃ Óucim  SkP_18.25b
bhak«ita÷ saha sodarai÷  SkP_18.32b
bhak«yabhojyaiÓca vividhai÷  SkP_28.15a
bhak«yamÃïa÷ pipÅlikai÷  SkP_30.17b
bhaganayananipÃtÅ daityadarpÃpahÃrÅ  SkP_29.239a
bhaganetranipÃtÃya  SkP_14.10a
bhagavatyamitÃtmani  SkP_12.28b
bhagavantamanuvratÃ  SkP_18.10d
bhagavantÃv­«Å satyau  SkP_20.49a
bhagavandevatÃrighna  SkP_24.2a
bhagavandevatÃrighna  SkP_27.3a
bhagavandevadeveÓa  SkP_26.10c
bhagavandevadeveÓa  SkP_29.121a
bhagavannandhakÃreïa  SkP_4.26a
bhagavannasvatantrÃsmi  SkP_12.8a
bhagavannÃvamanyÃmi  SkP_12.12a
bhagavannaiva me du÷khaæ  SkP_5.62a
bhagavanpiÇgala÷ kena  SkP_30.1a
bhagavanputramicchÃmi  SkP_11.21a
bhagavanbhaktimagryÃæ tu  SkP_31.8c
bhagavanyadi tu«Âo 'si  SkP_20.24a
bhagavanyadi tu«Âo 'si  SkP_25.15a
bhagavanviditaæ sarvaæ  SkP_15.35a
bhagavaæstvÃæ ca paÓyeyaæ  SkP_29.168c
bhagavÃnabhyavinyasat  SkP_24.42d
bhagavÃnidamabravÅt  SkP_29.180f
bhagavÃngov­«adhvaja÷  SkP_12.14b
bhagavÃngov­«adhvaja÷  SkP_24.35b
bhagavÃndevadeveÓa÷  SkP_23.1a
bhagavÃnpratyuvÃca ha  SkP_21.9b
bhagavÃnvadatÃæ vara÷  SkP_7.5b
bhagavÃnvarado 'smÅti  SkP_29.151c
bhagavÃnviÓvarÆpadh­k  SkP_9.18d
bhagavÃnsarvalokapa÷  SkP_7.1b
bhagavÃnsahasÃbhyetya  SkP_29.99c
bhagavÃnsaænyaveÓayat  SkP_24.40d
bhagavÃnhimavacch­Çge  SkP_26.3a
bhago nÃma tato deva  SkP_13.35a
bhajante sarvato 'bhyetya  SkP_29.78c
bhadradohamiti khyÃtaæ  SkP_29.21c
bhadreÓvara tathaiva ca  SkP_29.83d
bhayÃnnopasasÃra tam  SkP_20.29d
bhartrÃ krÅ¬asi saægatÃ  SkP_26.7f
bhavatyÃ svalpamantaÓa÷  SkP_12.49b
bhavadbhyÃmanyathÃ k­ta÷  SkP_5.36d
bhava na÷ priyak­tsadÃ  SkP_25.38d
bhava nÃrya iti prÃha  SkP_29.230e
bhava no bhaktavatsala  SkP_9.10d
bhavantaæ tapasÃæ yoniæ  SkP_19.12c
bhavantu gaïanÃyakÃ÷  SkP_25.51f
bhavantu puru«Ã vaÓÃ÷  SkP_29.224d
bhava bhÆteÓvara prabho  SkP_25.34d
bhava somo hi na÷ prabho  SkP_14.24d
bhavasyÃmitatejasa÷  SkP_14.1b
bhava÷ koÂiÓatÃv­ta÷  SkP_23.47d
bhavÃnmantÃnumantÃ ca  SkP_25.29a
bhavÃnyai ca namo nama÷  SkP_29.208d
bhavÃnrÃjÃ kutastrÃtÃ  SkP_8.13a
bhavÃæstu var«eïaikena  SkP_20.60a
bhavitÃ mÃ tapa÷ k­thÃ÷  SkP_12.1f
bhavitÃ viprapÆjita÷  SkP_12.13b
bhaviteti Óucismite  SkP_25.26b
bhavi«yati gaïÃdhyak«o  SkP_25.20c
bhavi«yati ca te mama  SkP_29.124d
bhavi«yati na saædeha÷  SkP_7.27c
bhavi«yati na saæÓaya÷  SkP_8.18d
bhavi«yati na saæÓaya÷  SkP_9.23d
bhavi«yati na saæÓaya÷  SkP_22.12f
bhavi«yati na saæÓaya÷  SkP_26.25f
bhavi«yati mamÃj¤ayÃ  SkP_4.6d
bhavi«yati sahasradhÃ  SkP_12.61d
bhavi«yati sutastava  SkP_20.33d
bhavi«yati supÆjitam  SkP_25.22b
bhavi«yatyaparÃdhÅÓa  SkP_26.25c
bhavi«yatyaridu÷saham  SkP_29.171d
bhavi«yatha mamÃj¤ayÃ  SkP_29.221d
bhavi«yanti sadÃ ratÃ÷  SkP_29.233f
bhavi«yasi gaïÃdhyak«o  SkP_31.10c
bhavi«yasi d­¬haæ priya÷  SkP_12.24d
bhavi«yasi dvijaÓre«Âha  SkP_29.116e
bhavi«yasi na saæÓaya÷  SkP_7.10d
bhavi«yasi na saæÓaya÷  SkP_29.149b
bhavi«yasi saridvarÃ  SkP_22.18f
bhavi«yaæ devasattama  SkP_15.35b
bhavi«yaæ nÃnyathÃ kuryÃd  SkP_15.36a
bhavecca sarvÃmararÃjatulyas  SkP_19.27c
bhavedgaïastasya kumÃratulya÷  SkP_12.63d
bhaveddattasya yatphalam  SkP_28.33b
bhasmakak«Ãvalambanam  SkP_23.20d
bhasmadigdhÃÇga eva ca  SkP_23.25b
bhasmapraharaïaæ caiva  SkP_23.23c
bhasmaÓÃyÅ bhasmadigdho  SkP_29.98c
bhasmaÓÃyÅ yatavrata÷  SkP_28.66d
bhasmasomodbhavaÓcaiva  SkP_2.23a
bhasmÃbhi«ekamÃnantyaæ  SkP_27.27c
bhasmÃbhyaÇgasitaprabhÃ÷  SkP_29.62b
bhÃgaæ ca tava yaj¤e«u  SkP_10.31a
bhÃgaæ yacchanti me tata÷  SkP_10.34d
bhÃgÃnapa÷ sp­Óanti sma  SkP_10.36c
bhÃgÃndattvÃ tathÃnyebhyo  SkP_10.34a
bhÃgÅrathÅmihÃsÃdya  SkP_29.93a
bhÃgÅrathÅæ same«yanti  SkP_29.80e
bhÃratÃkhyÃnasad­Óaæ  SkP_1.11a
bhÃrabhÆtÅti vikhyÃto  SkP_23.19a
bhÃvana÷ sarvabhÆtÃnÃæ  SkP_25.34a
bhÃvanÃya bhavÃya ca  SkP_28.55b
bhÃvayantÅ tadÅritam  SkP_12.17b
bhÃvaliÇgÃya vai nama÷  SkP_15.24d
bhÃvaÓuddhena cetasÃ  SkP_13.51d
bhÃvaæ ca rudranihitaæ  SkP_12.17c
bhÃvaæ divyamatarkitam  SkP_3.25b
bhÃvaæ Óuddhaæ samÃsthita÷  SkP_20.65b
bhÃvÃnugatacetase  SkP_29.111d
bhÃvÃÓca sarve te devam  SkP_3.23e
bhÃvena parameïa ha  SkP_5.54b
bhÃ«antya iva rejire  SkP_13.109d
bhÃsayantau mahÃmaïÅ  SkP_13.67b
bhÃskaragraharaÓmaye  SkP_29.190d
bhÃskarÃkÃravarcasam  SkP_17.20b
bhÃskarÃkÃravarcasam  SkP_29.173d
bhÃsvatsphaÂikabhittÅbhir  SkP_13.65c
bhik«ÃmuccÃraya¤chubhÃm  SkP_6.4d
bhik«ÃrthamagamaddvijÃ÷  SkP_6.3b
bhittvÃ ÓÆlena saækruddhÃ  SkP_7.20c
bhittvÃ sambhavabandhajÃlagahanaæ vindanti mok«aæ param  SkP_29.91d
bhinne dehe na saæÓaya÷  SkP_27.22d
bhÅta÷ ÓÃpÃcca vimanÃ  SkP_12.11c
bhuktvÃ ca suciraæ n­pa÷  SkP_30.65b
bhujagÃbaddhamekhalam  SkP_8.32d
bhujagÃbaddhamekhalam  SkP_23.22d
bhujagÃbaddhamekhala÷  SkP_23.7d
bhujagÃbaddhamau¤jiÓca  SkP_23.9a
bhujagaireva kaÇkaïai÷  SkP_23.9b
bhujaægÃnÃæ ca sarve«Ãæ  SkP_20.37c
bhu¤jÃno 'tha pibanvÃpi  SkP_30.6c
bhuvanasya tathaiva ca  SkP_5.29b
bhuvanÃmiti vikhyÃtÃæ  SkP_21.1c
bhuvaneÓa mahÃdyute  SkP_26.10f
bhÆtagrÃmacikitsÃæ ca  SkP_20.37a
bhÆtabhavyÃya ÓarvÃya  SkP_5.52c
bhÆtalaæ samupÃÓrita÷  SkP_5.38b
bhÆtaliÇgÃya vai nama÷  SkP_15.23d
bhÆtasaæmohanaæ hyetat  SkP_1.26c
bhÆtÃdhipataye nama÷  SkP_29.155d
bhÆtÃnÃæ guïakartre ca  SkP_3.18a
bhÆtÃnÃæ tava ca prabho  SkP_3.27b
bhÆtÃnÃæ dayitaÓcaiva  SkP_28.11c
bhÆtÃnÃæ pataye nama÷  SkP_24.51b
bhÆtÃnÃæ yuvayoÓca ha  SkP_5.32d
bhÆtÃni prak­tiÓcaiva  SkP_24.32c
bhÆtÃya bhÆtanÃthÃya  SkP_21.46c
bhÆtÃ÷ koÂisahasreïa  SkP_23.56a
bhÆto vÃ rÃk«aso 'pi vÃ  SkP_26.54b
bhÆtvÃ pa¤caÓikha÷ ÓiÓu÷  SkP_13.29b
bhÆtvÃ lohitamÃÓveva  SkP_4.16c
bhÆmiga÷ sambabhÆva ha  SkP_5.38f
bhÆya eva tapa÷ kartum  SkP_12.59c
bhÆyaÓcÃdharmakÃryebhyas  SkP_5.63a
bhÆya÷ pa¤caguïaæ tathÃ  SkP_27.26d
bhÆya÷ putrastavÃvyaya÷  SkP_15.37d
bhÆyo 'nyena ha sattreïa  SkP_8.3a
bhÆyo 'pi tava tejasÃ  SkP_21.14b
bhÆrloke vatsyase nityaæ  SkP_10.30c
bhÆrloke hi dh­te lokÃ÷  SkP_10.33c
bh­kuÂÅbhÆ«itÃnana÷  SkP_23.6b
bh­kuÂÅsaæhatÃnana÷  SkP_23.16d
bh­gavo 'ÇgirasaÓcaiva  SkP_4.25a
bh­gau tasmiæÓca ya÷ prÃïÃæs  SkP_25.22c
bh­ÇgÃvalÅÓabalitÃmrakadambapu«pam  SkP_30.38d
bh­ÓamevÃnvakÅryata  SkP_18.3f
bh­Óaæ bÃle ÓubhÃnane  SkP_12.47b
bherÅjharjharasaænÃdair  SkP_23.67a
bherÅÓaÇkham­daÇgaiÓca  SkP_23.66a
bhaik«Ãya pracacÃra ha  SkP_6.2d
bhaik«yaæ bhaik«yamiti procya  SkP_7.1c
bhairaveÓvaramÅÓÃnaæ  SkP_29.84c
bhojanaæ niÓi saæsk­tam  SkP_17.7d
bhojanaæ rÃk«asocitam  SkP_17.23b
bho bho viÓravasa÷ putra  SkP_29.129a
bho bho sabrahmakÃ devÃ÷  SkP_8.29a
bhramarÃvalisevitÃm  SkP_24.18d
bhramarÃvalisevitÃ÷  SkP_13.124d
bhrÃt­bhi÷ sahitaæ dvija  SkP_17.26d
bhrÃmayantÅ ÓubhÃnanÃ  SkP_29.230d
bhrÃmyatastasya dÃmnastu  SkP_29.231a
maÇgalÃnÃæ ca maÇgalam  SkP_28.72d
ma¤jarÅbhiÓcakÃÓire  SkP_13.106d
ma¬¬ukairveïuvÅïÃbhir  SkP_23.67c
maïipradÅptojjvalakuï¬alaÓca  SkP_13.11a
maïiratnÃvabhÃsitam  SkP_24.13d
maï¬apaæ viÓvatomukham  SkP_24.14d
maï¬alasthaæ mahÃdevam  SkP_5.45c
maï¬ÆkÃk«a nikumbho 'haæ  SkP_26.28a
maï¬ÆkÃk«Ãya rÆpaæ ca  SkP_26.27c
mataye sm­taye nama÷  SkP_29.189b
matiæ dadhre tapoyonir  SkP_29.137c
mattadvirephÃrdhavida«Âapatrai÷  SkP_13.110d
mattÃlivrÃtagÅtaÓrutisukhajananairbhÃsitÃntaæ manoj¤ai÷  SkP_30.34b
matto daï¬aæ tvamarhasi  SkP_26.56b
matprasÃdÃccari«yatha  SkP_9.29d
matprasÃdÃdavÃpsyati  SkP_9.28d
matprasÃdÃdavÃpsyati  SkP_30.64b
matprasÃdÃdgami«yanti  SkP_30.66e
matprasÃdÃddhi vedastvaæ  SkP_5.36a
matprasÃdÃdbhavi«yati  SkP_29.150d
matprasÃdÃnna saæÓaya÷  SkP_28.64f
matsÅgarbhasamutpannÃæ  SkP_19.11a
matsaukhyaæ prÃpnute param  SkP_28.19d
