Padmagupta (alias Parimala):
Navasahasankacarita

Based on the edition by Vamanasastri Islampurakara,
Bombay : Govt. Central Book Depot
(Bombay Sanskrit Series, 53)

Input by Somadeva Vasudeva, 2001

PADA-INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________






Padmagupta (alias Parimala):
NavasÃhasÃÇkacarita



akaÇkaïam akeyÆram  Pnc_11.90a
pustakalpita ivÃbhavat k«aïam  Pnc_8.27d
puæ÷kokilakulollÃpa-  Pnc_11.13 nc
pÆganÃgalatÃdalÃn  Pnc_11.10d
pÆtÃm avabh­tais tanum  Pnc_11.78b
pÆraprav­ddhÃrïavapÅ¬itÃni  Pnc_17.30d
pÆrïapratij¤am uragÃdhipatiæ vidhehi  Pnc_18.40d
pÆrïam indum iva siæhikÃsuta÷  Pnc_8.50d
pÆrïendukÃnti sahasÃ nig­hÅtaÓatrur  Pnc_18.53c
pÆrïendubimbÃd api sundarÃïi  Pnc_1.6a
pÆrvopakÃriïi jane 'nupak­tya kiæ cid  Pnc_13.66c
pÆ«Ã darÓa ivendunÃ  Pnc_16.61d
p­thag asmi deva na hi te paricchadÃt  Pnc_10.50c
p­thivÅbh­ta÷ prathitavikrameïa ye  Pnc_10.13a
p­thivÅæ durvilak«atÃm  Pnc_2.44d
p­thivÅæ yatra sa÷ Óe«anÃgarÃja÷  Pnc_5.11b
p­thupratÃpa÷ savitÃ yathaiva  Pnc_9.24a
p­thur jaÂÃjÆÂa ivÃndhakadvi«a÷  Pnc_13.37d
p­thuhÃratÃrataralÃæÓupallava÷  Pnc_15.24d
p­thvÅtalÃgamanahetum ajÃnateva  Pnc_13.65b
p­thvÅ do«ïi niveÓitÃ  Pnc_11.98d
p­«atachadmanÃ d­Óa÷  Pnc_16.26d
p­«Âa÷ sa vismayasamutsukamÃnasena  Pnc_18.42b
petur amarasarita÷ puline  Pnc_15.66c
petur netraparamparÃ÷  Pnc_6.32d
peÓaloktinipuïasya pak«iïas  Pnc_8.78a
paurastrÅparidevanÃ  Pnc_16.115b
pauraiÓ ciram ad­Óyata  Pnc_16.68d
paulastyabhujasampradÃ  Pnc_11.58d
PaulomÅramaïasyeva  Pnc_11.84a
prakaÂaæ dadhaj jhaÂiti rÃgam  Pnc_15.48a
prakÃÓanÃyÃtra vinirmiteva  Pnc_1.57d
prakÃÓayanta÷ karaïaprapanncaæ  Pnc_17.11a
prakÃÓayantÅ p­thivÅpatiæ prati  Pnc_7.70b
prakÃÓitÃÓaæ parita÷ prajÃnÃæ  Pnc_1.79a
prak­ti÷ kila yasya te parÅtÃ  Pnc_5.34a
pracchannaÓaraÓÃsanalocanÃya  Pnc_18.16b
PrajÃpater adbhutaÓilpakarmaïi  Pnc_7.7b
prajÃpuïyair mahodayam  Pnc_11.87b
praïanÃma mahÅbhuje  Pnc_16.7b
praïayanihitapÃdayÃvakÃÇkaæ  Pnc_3.10c
praïayÃrpitalocanÃ sanÃmany  Pnc_5.44c
praïayibhyo dadau d­ÓÃ  Pnc_11.96b
praïayena naiva sa÷ samarpayi«yati  Pnc_10.30b
praïayoktibhir munir atha prasedivÃn  Pnc_10.47a
praïÃmam asmai saÓ cakÃra sÃdaram  Pnc_13.12d
praïÃmalagnÃs tava pÃdapÃæsava÷  Pnc_13.16b
pratÃpajvalanÃv iva  Pnc_16.73d
pratikriyÃæ tatra na kartum asmy alam  Pnc_13.61b
pratik«aïaæ yÃ galitÃæÓukÃnÃm  Pnc_1.30a
pratipaccandra iva uditas tvam eva  Pnc_5.4d
pratipadam atidÅrghahÃrabhÃrÃt  Pnc_3.12a
pratiprahÃraæ radaja÷ k­«Ãnu÷  Pnc_17.54b
pratibaddharÆk«amalinaikaveïaya÷  Pnc_10.18b
pratibimbagarbham abhikÃrpitaæ papau  Pnc_15.56d
pratibhÃti kiæ cana mamaiva tatra te  Pnc_10.36c
pratibhÃti dadhan phaïÃkalÃpe  Pnc_5.11a
pratibhÃnti puras te 'pi  Pnc_11.63a
pratimandriram evam eva yasyÃm  Pnc_5.18c
pratimam upÃntacare nidhÃya cak«u÷  Pnc_3.19b
pratimÃgatendukarajÃla-  Pnc_15.55a
pratimendur iva ambhasi  Pnc_6.36d
pratilatam ÃyatamauktikaprabhÃsu  Pnc_3.58b
prativaktuæ pracakrame  Pnc_16.104d
pratyagradÃvÃnalalÅ¬hakoÂi-  Pnc_17.4c
pratyabhÃ«ata sÃvaj¤aæ  Pnc_16.92c
pratyuktakarïÃrjunayor jayaÓrÅ÷  Pnc_17.67b
pratyudyayÃv adhipati÷ phaïinÃm anargha-  Pnc_18.1c
pratyuptakalpatarupallavam e«a pÃïim  Pnc_18.13c
pratyuptamuktÃphaladanturÃïi  Pnc_14.72c
pratyuptaratnam abhita÷ pramadÃvakÅrïaæ  Pnc_18.29a
prathamaæ madhuny adharapallave tata÷  Pnc_15.62d
prathamaæ hi maï¬alam akhaï¬aÓÃktibhir  Pnc_10.8a
pradÅpaÓobhÃæ kabarÅæ niÓÃmukhe  Pnc_7.14b
pradhÃvadaÓvÅyakhurÃhatÃnÃm  Pnc_17.17a
pradhÃvamÃnena mayÃntarÃntarÃ  Pnc_13.47a
prapannÃ vidhurÃæ daÓÃm  Pnc_16.48b
prapedire pÆrvasurojjhitÃni  Pnc_17.14c
prapede kusumÃÓle«a-  Pnc_16.64c
prabodhe yadanaÇgÃgne÷  Pnc_6.14c
prabhayÃ mÃæ na tathety asÆyayeva  Pnc_5.9b
prabhavanti tatra tava pÃdapÃæsava÷  Pnc_10.40b
prabhÃÇkuraprÃÓitam andhakÃram  Pnc_14.10d
prabhÃmaï¬alaparyasta-  Pnc_11.23a
prabhuÓÃktir udyamaparatvam arpita-  Pnc_10.25a
prabhus tava nayaj¤o 'pi  Pnc_16.98a
pramadevÃrdranakhÃÇkarekhayÃ  Pnc_12.49d
pramanÃ÷ kelinagendrakandaram  Pnc_12.66d
pramÃïÅkriyatÃæ vaca÷  Pnc_16.91d
pramuditamunikanyakÃmuktanÅvÃralÃjÃ¤jali÷  Pnc_13.72b
pram­«ÂakÃntÃkucapatralekhe  Pnc_17.56c
pram­«ÂabÃ«pÃ sumukhÅ nakhÃbhyÃæ  Pnc_14.56c
pram­«tam­gayÃreïu  Pnc_2.75a
pramodam Ãpteyam ito vilokite  Pnc_7.62c
pramodavistaritayÃ d­ÓÃ n­pa÷  Pnc_7.72d
pramododyÃnam idaæ nimÅlati  Pnc_12.42d
prayÃïatÆryadhvanir e«a kiæ te  Pnc_14.9a
prayÃti sÃsÆyam iyaæ kathaæcana  Pnc_4.20c
pralayÃmbudharadhvÃna-  Pnc_16.52c
pravartitÃtivistÅrïa-  Pnc_11.72a
pravÃlatÃmrÃÇgulir ÃyatÃk«yÃ÷  Pnc_14.48b
pravÃlalÅlÃstaraïe ni«aïïÃ  Pnc_10.66c
praviveÓa tayÃsamaæ kila  Pnc_12.66c
prav­ttapatiÓokÃrta-  Pnc_16.115a
praÓasti parito viÓvam  Pnc_11.99a
praÓÃntacintÃsantÃne  Pnc_11.74a
praÓÃntaye vighnatamaÓchaÂÃnÃæ  Pnc_1.3c
praÓnair anena vihito na tavopacÃra÷  Pnc_4.62b
prasaktam ÃÓcaryam iyaæ vanasthalÅ  Pnc_4.25d
prasabham abhajyata pÃrthivasya nidrÃ  Pnc_12.80d
prasabham upÃh­tam Ãtmano yaÓobhi÷  Pnc_3.14d
prasabhaæ vihitÃs tvayÃ yad ete  Pnc_5.60c
prasaram idaæ jagade ramÃÇgadena  Pnc_3.26d
prasareyaæ bhÃratÅ ullasati kasya bhÃratÅ  Pnc_10.42b
prasavollÃsavasantavÃsareïa  Pnc_5.58b
prasÃdam asmÃkam araïyadurlabhair  Pnc_4.17a
prasÃdam Ãptena cirÃd vilÅne  Pnc_9.63a
prasÃdayan dantamarÅcibhir diÓa÷  Pnc_13.31b
prasÃdavat tadvadanaæ vilokya  Pnc_1.39b
prasÃdah­dyÃlaÇkÃrais  Pnc_2.93a
prasÃdeneva bhÃratÅ  Pnc_6.112b
prasÃdhitÃ yena ca bÃlya eva  Pnc_1.66a
prasuptajÆÂÃhimukhÃnilo«maïÃ  Pnc_4.49c
prasÆnam apy atra na jÃtu vÅrudhÃæ  Pnc_13.55a
prasÆnam iva mÃdhavÅ  Pnc_6.43d
pras­taæ saæprati sarvatas tama÷  Pnc_12.41d
pras­tÃ iva nirgatya  Pnc_11.32c
pras­teva vilocanodare  Pnc_12.58a
pras­tair girikandarodarÃt  Pnc_12.43a
prastitau raviniÓÃkarÃv iva  Pnc_8.43d
prasthÃnamaÇgalavidhir mas­ïaæ pratasthe  Pnc_13.69d
prasthÃnalÃjÃ¤jalayas tavaite  Pnc_14.12c
prasthÃnaÓaæsÅ sahasÃ  Pnc_16.52a
prasthitas tad anu sodyamaæ pura÷  Pnc_8.60a
prasthitenÃmbikÃpate÷  Pnc_11.98b
praharan kelim­ge k­tavyÃlÅka÷  Pnc_5.53d
prahitanijÃyudhacitrapu«pamudra÷  Pnc_3.60d
prÃkÃravapracchalata÷ ÓarÅram  Pnc_1.19a
prÃgbhÃrasÃgarasamuttaraïaikapota÷  Pnc_18.12b
prÃ¤jale÷ Óaæsitas tayÃ  Pnc_11.110b
prÃpa pu«kariïÅtÅram  Pnc_2.72c
prÃpa mekalasutÃ samÃnatÃm  Pnc_8.44c
prÃpa ratnavatÅæ purÅm  Pnc_16.66d
prÃpi ratiramaïavilÃsatulÃ  Pnc_15.10c
prÃpur atip­thud­ÓÃæ sahasÃ  Pnc_15.63c
prÃptasthitir vikaÂakÃ¤canavi«Âare«u  Pnc_18.26b
prÃpta÷ paryutsuko bhavÃn  Pnc_6.107b
prÃptÃvakÃÓa÷ kÃmo 'pi  Pnc_6.83c
prÃpto m­ïÃlahÃro 'pi  Pnc_16.41c
prÃyo vastv anyathÃpadi  Pnc_16.41b
prÃrthanÅyapriyasparÓÃæ  Pnc_6.79c
prÃlambamÃlÃm avalagnamadhyÃ  Pnc_9.20b
prÃlambimuktÃphalajÃlakÃni  Pnc_1.21b
prÃlambocchaladacchakÃntinikarasmerÃm avÃpat purÅm  Pnc_17.76d
prÃv­¬vilÃsasmitam udvahantÅ  Pnc_14.50a
prÃv­¬vilÃsÃlÃsyÃnÃm  Pnc_11.55c
prÃæÓu vaæÓalatayÃ sa÷ sÃnuga÷  Pnc_8.59b
priyakÅrtayo jayapavitritÃÓayÃs  Pnc_10.12a
priyapÃïipaÇkajadh­te«u  Pnc_15.47a
priyayÃ cÃnasÆyayÃ  Pnc_11.36b
priyayÃ sÃÓrur ayaæ vihaÇgama÷  Pnc_12.24d
priyalocanÃny aramayan m­gÅd­Óa÷  Pnc_15.34d
priyasoma÷ sadÃyukta÷  Pnc_11.36a
priyaæ na÷ sa ayam ÃyÃti  Pnc_6.102a
priyaævadatvena tavÃmunÃ ca  Pnc_9.6b
priyÃ iyam ÃrÆ¬haguïÃ suvaæÓabhÆr  Pnc_4.32a
priyÃ yayÃce praïipatya mÃlatÅ  Pnc_13.34 >d
priyÃrpita÷ kÃntanipÅtamukta-  Pnc_14.44a
priyÃvataæsÅk­tacandralekhÃ  Pnc_14.50c
premarasam­du«u dÅrghad­ÓÃæ  Pnc_15.61c
preyasÅ tava h­tÃntikÃd iti  Pnc_8.26b
preyÃn vipa¤cÅraïitaæ  Pnc_6.88c
pre«ita÷ prabhuïÃviÓat  Pnc_16.67b
pronmÅlitorunayaneva purÅ babhÆva  Pnc_18.63d
plavaÇgaÓÃve 'dhigate vimÃnam  Pnc_14.51b
phaïÃratnÃæÓusÆcaya÷  Pnc_16.63d
phaïÃvalÅ«v ÃpatitoragÃïÃm  Pnc_17.15a
phaïikanyÃsu muhÆrtaviklavÃsu  Pnc_5.35d
phaïikanyocitÃ patnÅ  Pnc_16.109c
phaïikÃntÃrdhavilokitÃni vÅïÃ÷  Pnc_5.13b
phaïinÃm anamramaïitoraïÃæ purÅm  Pnc_10.49d
phaïinÃæ bhartur upo¬havismayÃ sÃ  Pnc_5.64b
phaïino 'ruïakÃntibhi÷ Óirasthair  Pnc_5.8c
phaïirÃjasutÃkathÃn  Pnc_11.12d
phaïirÃjasutÃkarïaæ  Pnc_16.17a
phaïirÃjasutÃm e«a  Pnc_16.87a
phaïirÃjendranagarÅæ  Pnc_16.51c
phaïirÃjendrasutÃvilÃsinÅæ tÃm  Pnc_5.59b
phaïirÃjendrasutÃæ vibodhayehi  Pnc_5.57d
phaïilokak­tyam idam eva cintyatÃm  Pnc_10.24d
phaïilokakaumudi mukhaæ smarÃmi te  Pnc_10.56d
phaïilokabhÆmim atidurgamÃm imÃm  Pnc_10.54c
phaïisainyam Ãjibhuvi te bhavi«yati  Pnc_10.34d
phaïÅndraduhitu÷ k­te  Pnc_16.13d
phaïÅndraparyaÇkaÓayena ÓÃrÇgiïÃ  Pnc_13.44d
phaïÅndrabaddhajÆÂasya  Pnc_2.3c
phaïÅÓvareïopak­ta÷ prapa¤ca÷  Pnc_9.48d
phanÅndrakanyÃmanasÅva pÃrthiva÷  Pnc_7.33d
phanÅndrakanyÃ ÓaÓineva rohiïÅ  Pnc_4.37b
phanÅndrakanyÃsavidhaæ narÃdhipa÷  Pnc_7.23d
phalakalulitÃcchavÃsa÷  Pnc_15.23b
phalam adhikam ato 'pi na÷ kadÃcit  Pnc_3.30c
phalamÆlasamitkuÓam  Pnc_11.64b
phalaæ pÃÂÃlayÃtrayÃ  Pnc_16.81d
phalaæ ÓirÅ«eïa cirÃd avÃptam  Pnc_14.64a
phalÃÓayÃ bÃla ivÃ¤janÅsuta÷  Pnc_13.19d
phalita÷ sÃdhu mamÃhitaÓramo 'pi  Pnc_5.41b
phalena saæyogam upeyivadbhi÷  Pnc_17.50d
pheïa÷ patir ivÃrïasÃm  Pnc_2.11d
phenapaÂalam asitÃbjad­Óa÷  Pnc_15.23c
phenÃdhyÃsitapaÇkajÃ  Pnc_6.100d
bakulo mukulastani  Pnc_6.75d
baÂava÷ khaï¬ayanty atra  Pnc_11.20c
bata «a«ÂÃæÓabhujo vasundharÃyÃ÷  Pnc_5.51d
baddhapratiÓrunti nitÃntabhÅmaÓ  Pnc_17.7c
baddhÃ¤jalir jhaÂiti pannagarÃjasaæsat  Pnc_18.27b
baddhÃbhyasÆyÃ÷ stanamaï¬ale«u  Pnc_14.67d
baddhÃspadÃ÷ saudhaÓikhÃsu yasyÃæ  Pnc_1.53c
bandig­hÃn ni÷ÓvasatÃ  Pnc_2.6c
bandi«v anÅyata phaïÅndrapurodhasÃ ca  Pnc_18.46b
bandÅk­tau sahaivobhau  Pnc_16.75c
bandhujÅvakumudachavÅ mukhe  Pnc_8.69a
bandhÆkapÃÂalaruci÷ kanakÃcalasya  Pnc_18.57d
bandhe kacÃnÃ navamallikÃsyÃ÷  Pnc_14.46c
babandha yasyÃæ padam indrakalpa÷  Pnc_1.17c
babhÆva tasminn avanÅpurandara÷  Pnc_4.43d
babhÆva mÆle maïitoraïasya  Pnc_17.5d
balÃc ceto hari«yati  Pnc_6.93d
balÃtkÃragarutmatÃ  Pnc_2.97d
balÃt kautukakandalÅ  Pnc_6.19d
balÃt pari«vaÇgam anaÇgavikriyÃ  Pnc_7.22d
balÃd apÃÇgapras­te vilocane  Pnc_7.39d
balÃd guïÃropaïakautukaæ te  Pnc_9.31d
balÃd viveÓa sÃ bÃlÃ  Pnc_6.9c
balÃni vidyÃdharapannagÃnÃm  Pnc_17.30b
balÃni vidyÃdharapannagÃnÃm  Pnc_17.46d
bahalanavakuÇkumÃruïam  Pnc_15.30b
bahiraÇgo nirasyate  Pnc_6.37d
bahunavayÃ ÓaÓalak«maïas tvi«Ã ca  Pnc_3.55d
bahunÃ kiæ cakorÃk«i  Pnc_6.85a
bahubhir iva grathitaæ m­ïÃlasÆtrai÷  Pnc_3.58d
bÃïanÃmÃÇkasÆcite  Pnc_6.1b
bÃïamayÆrayo÷  Pnc_2.18d
bÃïena vÃsavaripor navasÃhasÃÇka÷  Pnc_17.69b
bÃlakundaviÂapaæ tam aik«ata  Pnc_8.51d
bÃlakuvalayad­ÓÃæ viÓade  Pnc_15.49c
bÃlacÆtaviÂapÃvalambini  Pnc_8.73d
bÃlapravÃlÃÇkurapÃÂalasya  Pnc_10.67a
bÃlam Ãtapam iva vyalokata  Pnc_8.60d
bÃlam iva madanakalpataror  Pnc_15.39c
bÃla÷ kastÆrikÃm­ga÷  Pnc_11.25d
bÃlÃtapachuritaharmyaviÂaÇkavarti-  Pnc_18.58a
bÃlÃ mÃïikyamukure  Pnc_16.36c
bÃlÃ vyaghaÂayat kÃ cit  Pnc_16.54c
bÃlendukiraïacchaÂÃ  Pnc_6.8d
bÃlendulekhÃk­tibhi÷ p­«atkai÷  Pnc_17.28b
bÃleyam abhyasyati kandukasya  Pnc_14.49d
bÃ«pasrÃvimukhendunÃ  Pnc_11.89b
bÃ«podabindÆtkarapu«pamok«a÷  Pnc_1.75d
bibharti bimbÃdharamudrayÃ mukhaæ  Pnc_7.18c
bibharti mÃyÆram ivÃtapattram  Pnc_1.47d
bibharti yasyÃm api vakrimÃïam  Pnc_1.46c
bibharti lÅlÃm aÓiva÷ Óivasya  Pnc_9.55d
bibhar«i kasyedam anena pÃïinÃ  Pnc_4.55c
bibheda pulakodgama÷  Pnc_6.37b
bibhyatÅ kanakabhaÇgapiÇgale  Pnc_8.7b
bibhratÅva kuruvindakuï¬ale  Pnc_8.69b
bibhrato vikaÂadaæ«Âram Ãnanaæ  Pnc_8.52a
bimbau«Âhe eva rÃgas te  Pnc_6.60a
bisalatikÃm iva tÃrahÃralekhÃm  Pnc_3.7d
b­haddarÅpu¤jitaratnarÃÓibhi÷  Pnc_13.42b
brahmÃï¬amaï¬apastambha÷  Pnc_11.49a
brÆte mÃlyavatÅ ca kim  Pnc_16.16b
brÆma÷ kiyan naya kathaæ cana kÃlam alpam  Pnc_10.69a
bhaktinamrasya sÃ tata÷  Pnc_11.106b
bhaktiæ hi gÃæ kÃmaduhÃm uÓanti  Pnc_9.65d
bhaktyÃthavÃsyaiva mama prabandhe  Pnc_1.11a
bhagnÃsthi puru«etarÃn  Pnc_11.25b
bhaÇgapiÇgalayÃ d­ÓÃ  Pnc_2.64b
bhaÂad­«Âe yaÓobhaÂe  Pnc_16.92b
bhaÂÃ raïaprÃÇgaïaraÇgamadhye  Pnc_17.11d
bhaÂÃ viv­tyÃsya puro babhÆvu÷  Pnc_17.42b
bhaÂÃstrapÆrïai÷ parito gajÃnÃæ  Pnc_17.18a
bhaÂÃ÷ sakopaæ bhujadarpabhÃjo  Pnc_17.1c
bhadraitad vraja ratnacÆ¬anibi¬apremÃrdram asmadvacas  Pnc_10.70a
bhayaÇkarÃbhÆt taruïÃrkabimba-  Pnc_17.18c
bhareïa bhÆme÷ sphuÂam Ã namantyÃ÷  Pnc_1.68a
bhartu÷ samid arundhatÅ  Pnc_11.66d
bhavata÷ kuto 'pi n­pa yÃvad Ãgamaæ  Pnc_10.31a
bhavata÷ saævadatÅva sÃyakÃnÃm  Pnc_5.46d
bhavatÃtra vÃga¬avadhÆjana÷ k­to  Pnc_10.15c
bhavatÃ yatnavatÃpi kiæ na labhya÷?  Pnc_5.53b
bhavatÃ yadoccalita e«a dak«iïaÓ  Pnc_10.28a
bhavatÃ samaæ kathaya ko viruddhyate  Pnc_10.21d
bhavati ÓyÃmamukhÅ mitodari  Pnc_12.26d
bhavati svaphaïÃmaïipradÅpe  Pnc_5.15c
bhavatÅm ihÃnusaratÃ tanÆdari  Pnc_10.59b
bhavaty anÃrÆ¬havikÃsavibhramÃ  Pnc_7.21c
bhavatsakhÅyaæ pratibhÃsate mama  Pnc_7.77b
bhavadiÇgitavedinaiva p­«ÂÃ  Pnc_5.5a
bhavadvidhaæ ratnam avÃpyate 'tra yat  Pnc_7.48d
bhavanti bhÃrÃnamitÃÇgake«u  Pnc_14.67c
bhavÃd­Óa÷ ÓvÃpadadÆ«ite 'nyathÃ  Pnc_4.59c
bhavÃd­ÓÃm ekapade viyogo  Pnc_9.23c
bhavÃd­ÓÅnÃæ mahatÃæ nadÅnÃm  Pnc_9.30a
bhavi«yati ÓaÓiprabhÃ  Pnc_11.117b
bhavet satÃæ saÇgatam utsavÃya  Pnc_9.3d
bhasmÃÇgarÃgaÓucaye vikacopavÅta-  Pnc_18.22c
bhÃjanaæ tasya tasyÃham  Pnc_16.96c
bhÃti sma kaïÂhÃbharaïa-  Pnc_2.10a
bhÃti sma Óantanur iva tridivasravantyÃ  Pnc_18.48c
bhÃty agravedisphaÂikÃæÓujÃlair  Pnc_1.35c
bhÃnuneva padavÅ payomucÃm  Pnc_8.45d
bhÃnumÃn iva mayÆkham aæÓu«u  Pnc_8.35d
bhÃnti sma vidyÃdharapuÇgavÃnÃæ  Pnc_17.13c
bhÃratÅva mas­ïaæ mahÃkave÷  Pnc_8.14d
bhÃrÃnamadbhogiphaïÃsthitÃyÃ÷  Pnc_14.82a
bhÃle«u bhÅmÃ bh­kuÂÅr vahanto  Pnc_17.3a
bhÃsa÷ samagrÃ api yatra te te  Pnc_1.86b
bhÃsvato nabhasa÷ Óriyam  Pnc_2.90d
bhÃsvÃn grahÃïÃm iva bhÆpatÅnÃm  Pnc_1.58c
bhinatti tÃæ saæprati sindhurÃja÷  Pnc_1.8d
bhinatty aÇgam anaÇgo 'syÃ÷  Pnc_16.35c
bhindanti vidyÃdharakÃminÅnÃæ  Pnc_14.20c
bhinnakhelalolayorasi  Pnc_8.70b
bhinnÃ¤janaÓyÃmaghanodgatÃnÃæ  Pnc_1.24c
bhinne 'ntarÃle pavamÃnanunnas  Pnc_17.41c
bhinne Óe«a ivÃcyuta÷  Pnc_2.87d
bhÅtayÃ bhujagarÃjakanyayÃ  Pnc_8.30b
bhÅrÆnivaiko vimukhÅcakÃra  Pnc_17.28d
bhujagendrapratimaæ tam a¤jasÃ sa  Pnc_5.35b
bhujaÇgapatikanyakÃ  Pnc_16.15b
bhujaÇgamendreïa ca meruïÃ ca  Pnc_9.7c
bhujaÇgavaæÓÃrïavakaumudÅyam  Pnc_9.38a
bhujaparighayor anto bÃlÃ prave«Âum iye«a sÃ  Pnc_7.82b
bhujaæ pratÃpaÓ ca vasundharÃ ca  Pnc_1.64b
bhuja÷ sadÃ rak«aïadÅk«ita÷ k«iter  Pnc_13.9c
bhujÃ nipetu÷ samam Åk«aïena  Pnc_17.20c
bhujÃæsasampÅ¬itakuï¬alo n­pa÷  Pnc_13.1d
bhujena citrÃÇgadaratnaÓobhinÃ  Pnc_4.30a
bhujo bhuvanabhartus te  Pnc_11.116c
bhujau bibhrÃïam ujjvÃla-  Pnc_16.73c
bhuvanatalÃbhayadÃnadÅk«itena  Pnc_3.53d
bhuvanatrayaprathitasÃhase tvayi  Pnc_10.33b
bhuvanam alaÇkurute ÓaÓiprabheti  Pnc_3.68d
bhuvanaæ padmasaraÓ ca dantibhi÷  Pnc_12.43d
bhuvanÃbhayadÃyinÃm amÅ«Ãæ  Pnc_5.46c
bhuvane rÃhubhayÃd ivendulekhÃ  Pnc_5.22d
bhuvane vÃ phaïÃbh­tÃm  Pnc_2.49d
bhuvam abhajan bahumuktameghavartmÃ  Pnc_3.31b
bhuvi devena samo 'sti pÃrthivo 'nya÷  Pnc_5.73b
bhuvo bhuja ivoddh­ta÷  Pnc_11.51d
bhuvo yasya ca kÃntÃyÃ  Pnc_11.56c
bhÆdattasmarasÃmrÃjyaæ  Pnc_11.29a
bhÆpatÃv anuraktÃyÃs  Pnc_6.80a
bhÆpatÃv apacitiæ vidhÃya sÃ  Pnc_8.79b
bhÆpati÷ sa nitarÃm abhÆd vaÓo  Pnc_8.3c
bhÆpate÷ ÓaÓimukhÅ sakhÅyutÃ  Pnc_8.16c
bhÆmim atyantadurgamÃm  Pnc_16.11b
bhÆmis tvayÃ bhÆÓaÓalÃ¤chanena  Pnc_9.2d
bhÆr iyaæ yajvanÃ yena  Pnc_11.73c
bh­kuÂÅm uvÃha mukhena mÃlavendra÷  Pnc_16.120d
bh­Çgatvi«aÓ cÃsilatÃ÷ kare«u  Pnc_17.3b
bh­ÇgaÓreïir ivÃÓoke  Pnc_6.101c
bh­ÇgÅbhir iva mÃlatÅ  Pnc_6.116b
bh­tya÷ svapÃdarajasÃm ayam agrayÃyÅ  Pnc_13.67b
bh­Óam yathÃ pu«pamayÅ vibhÆ«Ã  Pnc_14.75c
bh­Óam lalajje nibh­taæ jahÃsa ca  Pnc_7.77d
bheje kuvalayasya ya÷  Pnc_11.81b
bhramati sma bh­Çgakulam utsukotsukam  Pnc_15.51d
bhramaddvirephÃvalilolad­«Âir  Pnc_14.43a
bhramam ajanayan netrotkÅrïÃ iti pratibimbitÃ÷  Pnc_14.87c
bhramarÅvÃravindasya  Pnc_6.34c
bhramarai÷ pu«karavÃsaveÓmasu  Pnc_12.63d
bhra«ÂÃgniveÓabhramam Ãdadhanti  Pnc_17.65b
bhra«ÂÃ÷ k«itau dÃ¬imabÅjamohÃd  Pnc_14.45c
bhrÆlekhayÃku¤citayollasantyÃ  Pnc_1.76b
MakaradhvajasÃmrÃjya-  Pnc_6.4c
makarandasugandhibhi÷  Pnc_11.60b
makarandÃrdraraja÷sugandhi«u  Pnc_12.63b
makarÃÇkacÃpalatayeva bÃlayÃ  Pnc_15.17d
magnÃæ dvi«advÃrinidhÃv agÃdhe  Pnc_1.60b
maghavadibhasya vilÃsakarïaÓaÇkham  Pnc_3.17d
ma¤jarÅjaÂilaÆbhau  Pnc_16.73b
maïikÃ¤cidÃma ca kareïa kÃmina÷  Pnc_15.65d
maïikÃntiluptatimire rasÃtale  Pnc_10.59a
maïikuï¬alakÃntisaÇkarÃt  Pnc_12.38c
maïidarpaïe«u dad­Óu÷ purandhraya÷  Pnc_15.47d
maïidhvajÃgrocchalitair mayÆkhai÷  Pnc_1.49b
maïinÃ ruddham iveritaæ hriyÃ  Pnc_12.17b
maïinÆpureïa m­galocanÃ rucim  Pnc_15.45d
maïinÆpurai÷ sapadi maunam Ãdade  Pnc_15.9d
maïiparyaÇkagatasya tasya sÃ  Pnc_12.1b
maïipragrÅvakodgÅrïa-  Pnc_16.2a
maïiprabhodgÅrïamahendracÃpÃ  Pnc_14.32d
maïiprasÆnastabakapratÃnaæ  Pnc_17.68c
maïibandhe gatÃgatam  Pnc_16.40b
maïibhir bÃlam ivÃtapaæ vahanti  Pnc_5.8d
maïiÓuktaya÷ priyatame ca d­«Âaya÷  Pnc_15.66d
maïiÓukti«u k«aïam upo¬ha-  Pnc_15.51a
