Angirasasmrti
Based on the ed. by A.N. Krishna Aiyangar: âõgirasasmçti,
Madras : Adyar Library 1953 (Adyar Library Series, 84)



Input by Oliver Hellwig



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akalpà pariùadyatra  Ang_2,6.2a
pårvadharmaü vinikùipya  Ang_1.208a
pårvameva tadà tadà  Ang_1.1011d
pårvameva dine kuryàd  Ang_1.648c
pårvavacca tilodakam  Ang_1.856d
pårvavacca vidhànataþ  Ang_1.813b
pårvavattu samàcaret  Ang_1.211d
pårvavaddoùa÷àntaye  Ang_1.1072d
pårvavçtte 'tha vij¤àte  Ang_1.355c
pårvasmin haviùi kvacit  Ang_1.71d
pårvaü kçtvà tataþ param  Ang_1.1037d
pårvaü kçtvà tataþ punaþ  Ang_1.1040d
pårvaü tajjanakasya ca  Ang_1.353d
pårvaü teùàü prakartavyaü  Ang_1.1078c
pårvaü naimittikaü kàryaü  Ang_1.1032c
pårvaü pa¤cada÷eti vai  Ang_1.657d
pårvaü pa÷càttu và tathà  Ang_1.1074b
pårvaü yàmatrayaü naraiþ  Ang_1.282d
pårvaü såryodayasya vai  Ang_1.719b
pårvàhõa eva kurvãta  Ang_1.687a
pårvoktenaiva mantreõa  Ang_1.790c
pçthaktvena kçte yadi  Ang_1.663d
pçthaktvena mahàbhàgais  Ang_1.151c
pçthaktvena samaùñitaþ  Ang_1.530b
pçthak pàkàttasyaü bhuktir  Ang_1.74a
pçthakpàtre nidhàya ca  Ang_1.242d
pçthakpàtre niyujya ca  Ang_1.240d
pçthagagnau sthàpite 'tha  Ang_1.79a
pçthagekàda÷e 'hani  Ang_1.980d
pçthagekàda÷e 'hani  Ang_1.993d
pçthivã teti kiücana  Ang_1.828d
pçthivã teti tatsarvam  Ang_1.824c
pçthukànàü tu kevalam  Ang_1.284b
pçùñvà gatvà vicàrya ca  Ang_1.213d
pçùñvà tatsaü÷ayastyàjya  Ang_1.349c
peyaü caiva payo dadhi  Ang_2,8.16b
paitçkaü karma vidyate  Ang_1.491b
paitçkaü tatsuta÷caret  Ang_1.723b
paitçkaü nikhilaü bhavet  Ang_1.1109d
paitçkaü maraõaü yatra  Ang_1.985a
paitçkodde÷ato 'pi và  Ang_1.232d
pautre naptari santatau  Ang_1.451d
paunaþpunyagate sakçt  Ang_1.286b
paunaþpunyena kevalam  Ang_1.571b
paurõamàsa÷ca dàr÷ikaþ  Ang_1.30b
paurõamàsaü ca dar÷aü ca  Ang_1.30c
paurvàparyavi÷eùavit  Ang_1.358b
'pyasya màtàmahàþ smçtàþ  Ang_1.393b
'pyuttarottaradurbalàþ  Ang_1.457b
prakartavyaü prayatnena  Ang_1.174c
prakartavyaü vidhànataþ  Ang_1.734b
prakartavyà vi÷eùeõa  Ang_1.1082c
prakàràntarataþ kila  Ang_1.983d
prakurvan svajanaistiùñhed  Ang_1.1012c
prakçtitvaü tadãritam  Ang_1.627d
prakçti÷ceti vai jaguþ  Ang_1.618b
prakçti÷ràddhamàtra÷ca  Ang_1.627a
prakçte paitçke kila  Ang_1.806b
pragçhyà¤jalinà bhaktyà  Ang_1.870a
pracetà atra covàca  Ang_1.986a
prajapeyuþ kecanàtra  Ang_1.800a
prajàpatibhyo hyabhimànasånuþ  Ang_1.426a
praj¤ànairapi vidvadbhiþ  Ang_2,1.9c
praõavàtta samàrambho  Ang_2,12.7c
praõipatya vidhànataþ  Ang_1.897b
pratadviùõumantramirà-  Ang_1.839a
pratikalpaikapañhitaü  Ang_1.810a
pratigçhõàti ÷ådrataþ  Ang_2,8.1b
pratigçhõãta vai dvijaþ  Ang_2,8.11d
pratigçhya tatastataþ  Ang_1.334d
pratigçhya pradàtavyaü  Ang_2,8.6c
pratigràhyàõi nitya÷aþ  Ang_2,8.18d
pratinityaü ca bàóavàþ  Ang_1.697d
pratinityaü pa¤cagavyaü  Ang_1.200a
pratinityaü pçthak pçthak  Ang_1.698b
pratipårùaü pçthak pçthak  Ang_1.698d
pratimàsajabhedena  Ang_1.505a
pratimàsadinaü hçùñam  Ang_2,9.8a
pratimàsaü tadà dar÷aü  Ang_1.883a
pratimàsaü pçthak pçthak  Ang_1.880d
pratimàsaü prakartavya-  Ang_1.612c
prativargaü na cedviprà  Ang_1.699a
prativarùaü ca càndrataþ  Ang_1.635b
prativarùaü prayatnena  Ang_1.137a
prativarùaü prayatnena  Ang_1.614a
pratisaüvatsaraü dvijaþ  Ang_1.732d
pratisaüvatsaraü pa÷càt  Ang_1.1067a
pratisaüvatsaraü vàpi  Ang_2,9.8c
pratisaüvatsaraü siddhi-  Ang_1.113a
pratãhàrã valãmukhaþ  Ang_1.516b
pratyakùeõainamãkùya te  Ang_1.565b
pratyabdadharmà nikhilàþ  Ang_1.717c
pratyabdamapi pitrostan  Ang_1.34c
pratyabdamàgataü pratyà-  Ang_1.1033a
pratyabdamàsastanmàsa-  Ang_1.34a
pratyabdasya pare 'hnyeva  Ang_1.973c
pratyabdaü ÷ràddhamàtraü syàt  Ang_1.726c
pratyabdàdikakarma vai  Ang_1.1078d
pratyabde tu vi÷eùataþ  Ang_1.1028b
pratyabde yadi tattadà  Ang_1.1032d
pratyavàyaikarahitaü  Ang_1.904c
pratyavàyaika÷ånyàya  Ang_1.1069c
pratyàvçttau tu yo dvijaþ  Ang_2,10.17b
pratyàsattiprabhedataþ  Ang_1.1043b
prathamasya kçtà kriyà  Ang_1.438d
prathamà dharmapatnã ca  Ang_1.458a
prathamàbde na kartavyaü  Ang_1.878c
prathamodvàhakasyaiva  Ang_1.217c
prathito pràõataraõo  Ang_1.525c
prathito bhava sarveùàü  Ang_1.598a
pradakùiõanamaskàraiþ  Ang_1.862c
pradadetpurataþ sthitaþ  Ang_1.840b
pradadyàtpàrvaõe sarvaü  Ang_1.784c
pradadyàdarbhakebhyo vai  Ang_1.248a
pradadyàdviùñaraü tathà  Ang_1.787d
pradårãkçtya tajj¤àtãn  Ang_1.310a
pradeyamudakaü param  Ang_1.1081b
pradeyaü syàtprayatnena  Ang_1.742c
pradveùàgaþpradåùitam  Ang_1.147b
pradhànakamihocyate  Ang_1.826d
pradhànametaddhoma÷ca  Ang_1.825c
pradhànàïge ca tatsmçtam  Ang_1.667b
pranaùñapitçka÷cettu  Ang_1.719c
pranaùñaþ prabhaveddoùas  Ang_1.945c
prapañhedatra vidhinà  Ang_1.816c
prapàlayedvi÷eùeõa  Ang_1.225c
prapitàmahapårvaü syàt  Ang_1.670a
prapitàmahamukhyakaiþ  Ang_1.1001d
prapitàmahameva vai  Ang_1.1005d
prapitàmahamevaü ca  Ang_1.1105a
prapitàmahà÷ca kathità  Ang_1.674c
prapitàmahà÷ca pitaras  Ang_1.892c
prapitàmahebhya÷ca tadvat  Ang_1.890c
prapåjyàþ paramàþ param  Ang_1.229d
prabråyàtpakùato yacca  Ang_2,6.12a
prabhavatyeva sumahan  Ang_1.693c
prabhavecchràddhavàrakam  Ang_1.26d
prabhavetkila kevalam  Ang_1.355b
prabhavetpatitaþ sadyaþ  Ang_1.179a
prabhavetsadya evaivaü  Ang_1.902c
prabhavediti vai manuþ  Ang_1.420b
prabhavedeva durghañaþ  Ang_1.1004b
prabhaveddhi vi÷eùeõa  Ang_1.22a
prabhavenna tathàcaret  Ang_1.231b
prabhavennàtra saü÷ayaþ  Ang_1.57d
prabhåtaidhodakagràmaþ  Ang_1.1112a
prabhçtyetà rajasvalàþ  Ang_1.930d
pramàõaü vidhimàditaþ  Ang_2,1.2b
pramàõàbhihitaü yattu  Ang_2,1.4a
pramàõàrthaü hi dàtçbhiþ  Ang_2,7.3b
pramàõenaiva kartavyaü  Ang_2,2.3c
pramàdàkaraõe kçtsne  Ang_1.14a
pramàdena hyupanayet  Ang_1.382a
prayacchenmadhyamaü piõóaü  Ang_1.869a
prayatnenàtibhaktitaþ  Ang_1.238b
prayama÷ràddhamevocuþ  Ang_1.1107a
prayàsàdhikyataþ phalam  Ang_1.693b
prayoktavya÷caturùvapi  Ang_1.671d
prayoktavyaþ ÷ràddhadine  Ang_1.789c
pralapaüstadduruktàni  Ang_1.365c
pravakùyàmyatra taü punaþ  Ang_1.1045b
pravadàmi vinirõayam  Ang_1.288d
pravadàmi samudbhåtas  Ang_1.417c
pravadettena manunà  Ang_1.899a
pravaraþ kathitaþ sadbhis  Ang_1.404a
pravartante yatastasmàt  Ang_1.497c
pravahatsalilottamà  Ang_1.941b
pravàcyà ÷ràddhakarmaõi  Ang_1.830b
pravàhanàdikarmàõi  Ang_1.81a
praviùñaparakàyena  Ang_1.224a
praviùñaparakàyo yaþ  Ang_1.69c
praviùñaparavarùmàõaü  Ang_1.225a
pravçttànàü tu vakùyàmi  Ang_2,5.10c
pra÷asya svasti cetyuktvà  Ang_2,8.3c
prasaügàttatsvaråpasya  Ang_1.937c
prasaügàdidamãritam  Ang_1.679b
praharettu nipàtayet  Ang_2,10.1b
prahasan vàkyamabravãt  Ang_1.572b
pràk pa÷càdapi ùoóa÷a  Ang_1.647d
pràgvipràõàü visarjanàt  Ang_1.1023d
pràïmukhã maunamà÷rità  Ang_1.870b
pràcãnàvãtikaü na tu  Ang_1.1075b
pràcãnàvãtinaiva vai  Ang_1.811b
pràjàpatyatrayaü caret  Ang_1.68b
pràjàpatyaprapårvakam  Ang_1.57b
pràjàpatyena ÷udhyati  Ang_1.58b
pràõatyàgàkhyakarmaõaþ  Ang_1.188d
pràõavçttiü caratyalam  Ang_1.329b
pràõàdipa¤cabhirmantrair  Ang_1.971c
pràõànàyamya mantrataþ  Ang_1.268b
pràõàyetyàdikà paràþ  Ang_1.829d
pràõinàü pràõavçttyarthaü  Ang_2,10.14c
pràõiloke tatastattu  Ang_1.711a
pràtaþsàyaü na parvasu  Ang_1.257d
pràtaþ snàtvà samàrambhaü  Ang_2,12.2c
pràptaye karmañhatvasya  Ang_1.1070c
pràpte naimittike yadi  Ang_1.106b
pràpto yo svajanairapi  Ang_1.1063d
pràpnuvantu bhavanta÷ca  Ang_1.792a
pràpya de÷aü ca kàlaü ca  Ang_2,3.8a
pràpya vaivasvataü yamam  Ang_1.739d
pràbalyaü pratipàditam  Ang_1.42b
pràmàõiko hi tadbhinno  Ang_1.847a
pràya÷citàni ye dvijàþ  Ang_2,7.1b
pràya÷cittakramasya ca  Ang_2,1.2d
pràya÷cittakramasya ca  Ang_2,5.3b
pràya÷cittakriyàhetor  Ang_1.11a
pràya÷cittapraõetàraþ  Ang_2,4.4a
pràya÷cittamanuttamam  Ang_2,5.10d
pràya÷cittamiti smçtam  Ang_2,4.1d
pràya÷cittamiti smçtam  Ang_2,4.2d
pràya÷cittamidaü param  Ang_1.195d
pràya÷cittavidhiü ÷ubham  Ang_2,12.1b
pràya÷cittasamaü cittaü  Ang_2,4.2a
pràya÷cittasya ye klãba-  Ang_2,10.21c
pràya÷cittaü kathaü bhavet  Ang_2,9.15d
pràya÷cittaü kathaü bhavet  Ang_2,10.7b
pràya÷cittaü catuùpàdaü  Ang_2,1.3a
pràya÷cittaü tata÷caret  Ang_1.214b
pràya÷cittaü tata÷caret  Ang_1.216d
pràya÷cittaü dç÷yate naü  Ang_1.9a
pràya÷cittaü na dàtavyaü  Ang_2,7.5c
pràya÷cittaü na mçgyeta  Ang_2,10.17c
pràya÷cittaü na vidyate  Ang_2,10.6d
pràya÷cittaü na vidyate  Ang_2,10.10d
pràya÷cittaü na vidyate  Ang_2,10.14d
pràya÷cittaü pradàtavyaü  Ang_2,5.13c
pràya÷cittaü mahattaram  Ang_1.9d
pràya÷cittaü vidhãyate  Ang_2,10.1d
pràya÷cittaü vidhãyate  Ang_2,12.8b
pràya÷cittaü vinirdi÷et  Ang_2,3.8d
pràya÷cittaü samàgataiþ  Ang_2,6.15b
pràya÷cittaü samàdi÷ya  Ang_2,5.9c
pràya÷cittàya kevalam  Ang_1.13b
pràya÷cittàya kevalam  Ang_1.20d
pràya÷citte yadà cãrõe  Ang_2,6.9a
pràya÷citte samutpanne  Ang_2,2.6a
pràyo nàma tapaþ proktaü  Ang_2,4.1a
pràrabhet pàtakã bhavet  Ang_1.164d
pràrthanãyaü vi÷eùeõa  Ang_1.567c
prà÷ayecca na ÷abdayet  Ang_1.247b
prà÷nàti haviùo 'lpakaþ  Ang_1.739b
priyavastupracàraõaiþ  Ang_1.1020d
prãõitàþ pitarastena  Ang_1.861a
prãyantàü pitaraþ pa÷càt  Ang_1.892a
pretakarmaõi tàþ paràþ  Ang_1.585b
pretakàryaspar÷amàtraü  Ang_1.466a
pretakçtyaü prakurvãta  Ang_1.145c
pretatvàcca na nirmuktaþ  Ang_1.463a
pretatvàttu vimuktena  Ang_1.995c
pretanirvàpaõaü proktam  Ang_1.141c
pretaparpañabhåtapàþ  Ang_1.536d
pretaloke hyadhomukhaþ  Ang_1.464b
preta÷ràddhàdikaü tathà  Ang_1.690b
preta÷ràddhàni kçtsna÷aþ  Ang_1.683b
preta÷ràddheùu sarvatra  Ang_1.684a
pretàhutistu kartavyà  Ang_1.951a
preraka÷ca nirodhakaþ  Ang_1.99d
preùitastena vai vçtaþ  Ang_1.134b
proktapakùeùu yena và  Ang_1.704d
proktavàkyaü tu tatparam  Ang_1.370b
proktyai tatkarma sàdhu vai  Ang_1.845b
proktvà svãyai÷ca kevalam  Ang_1.1017d
prokùaõaü pariùecanam  Ang_1.239d
procuþ kila maharùayaþ  Ang_1.1030b
procyate sumahàn paraþ  Ang_1.292b
procyate 'sau yataþ prasåþ  Ang_1.1053d
provàca kila sarve÷o  Ang_1.488c
provàcaivaü na cetarat  Ang_1.484b
plakùaràjanyasaübhåto  Ang_1.522c
phaõiràjena và na tu  Ang_1.502d
phalapuùpajalàkùatàn  Ang_1.1024b
phalapradà hi sarito  Ang_1.915c
phalabãjasamutpatti-  Ang_1.601a
phalavaddànameva ca  Ang_1.320d
phala÷rãrmadhuragrãvo  Ang_1.514c
phalaü te pràpnuyuþ param  Ang_1.575d
phalaü dçùñvà tu yo naraþ  Ang_1.551b
phalàni piõyàkamatho  Ang_2,8.18a
phalaiþ ÷alàñubhirvàpi  Ang_1.501a
phalguü kubjaü tathà càndhaü  Ang_1.753c
badhiraü bhràntamulbaõam  Ang_1.753d
badhvà tu tiùñhetpara÷uü pragçhya  Ang_2,10.9d
bandhuràjàdibhirjanaiþ  Ang_1.362b
babhåburiti naþ ÷rutam  Ang_1.558b
babhåyuþ kila vai ciram  Ang_1.185d
babhåvàdhika eva vai  Ang_1.532b
balaü samyaïniveditam  Ang_2,6.1d
bahiùkçta÷ca saütyaktas  Ang_1.1064a
bahumàtçka eva saþ  Ang_1.392b
bahuvipratiraskàra-  Ang_1.147a
bahuvipràmataü tu yat  Ang_1.146b
bàdhitairdhàvamànairvà  Ang_1.633c
bàlanigrahatadgràha-  Ang_1.1026c
bàlaputro bçhadrathaþ  Ang_1.515d
bàlavçddhàïganàdayaþ  Ang_2,10.21d
bàlavçddhàturàdiùu  Ang_1.594b
bàlye dvàda÷avàrùikàt  Ang_1.1052b
bàhudà bahulà balà  Ang_1.925b
bàhumàtrapramàõataþ  Ang_2,10.2b
bàhyaü yaccàpi parùadaþ  Ang_2,6.12b
bindumàdhavavi÷ve÷a-  Ang_1.538a
bibhran karõe ÷uciryatan  Ang_1.56d
buddhipårvamabuddhitaþ  Ang_1.501d
buddhipårvaü tathaiva ca  Ang_1.947b
buddhimàn kàlade÷akau  Ang_1.411b
buddhimàn dharmavitkiü tu  Ang_1.358a
bçddhabàlàturànvinà  Ang_1.283b
bçhatã tri÷atasamà  Ang_1.532c
bçhattoyà sravajjalà  Ang_1.933b
bçhatyàdestu vo na tu  Ang_1.579d
boddhàra÷caiva pàpmanàm  Ang_2,2.5b
brahmakùatravi÷àmapi  Ang_2,9.3b
brahmacaryà÷ramàdårdhvam  Ang_2,5.6a
brahmacàrã vi÷eùataþ  Ang_2,8.19b
brahmacàrã ÷unà daùñas  Ang_2,9.11a
brahmaõaþ panasaü ÷ritàþ  Ang_1.503d
brahmabhåtasya tasyàsya  Ang_1.114a
brahmayaj¤àdikaü tathà  Ang_1.94d
brahmalokamavàpyeha  Ang_1.548a
brahmalokàdayo lokàþ  Ang_1.317a
brahmavàdimataü bhåyas tv  Ang_1.992c
brahmavidbhirmahàbhàgair  Ang_1.42c
brahmavidveùiõaü caiva  Ang_1.747c
brahmasvaharaõonmukham  Ang_1.747d
brahmahatyàvrataü caret  Ang_1.67d
brahmahà svarõahàrã ca  Ang_2,7.8a
brahmecàrã yati÷càpi  Ang_2,9.9a
bràhmaõatvasya målake  Ang_1.64d
bràhmaõatvaü vidhãyate  Ang_2,4.9d
bràhmaõastatra kàraõam  Ang_2,12.9d
bràhmaõastu vamedyadi  Ang_1.950d
bràhmaõasya mahàtmanaþ  Ang_1.614b
bràhmaõasya mukhe hutam  Ang_2,12.13d
bràhmaõaü tu vi÷eùataþ  Ang_2,7.2b
bràhmaõaü pariùicya vai  Ang_1.824b
bràhmaõaü ÷ràddhakarmaõi  Ang_1.772b
bràhmaõà eva ca kùetraü  Ang_2,12.10a
bràhmaõà eva daivatam  Ang_2,12.10b
bràhmaõànàü prasàdena  Ang_1.190c
bràhmaõànàü prasàdena  Ang_2,5.14c
bràhmaõànàü prasàdena  Ang_2,12.10c
bràhmaõànàü bhaviùyati  Ang_1.44d
bràhmaõànàü sapiõóeùu  Ang_1.304c
bràhmaõã tu ÷unà daùñà  Ang_2,9.15a
bràhmaõe dagdhakilbiùe  Ang_2,6.9b
bràhmaõe devatàþ sarvàþ  Ang_2,12.14c
bràhmaõebhyaþ pradàpayet  Ang_1.554b
bràhmaõe vamanaü yadi  Ang_1.957b
bràhmaõe svàgatãkçte  Ang_1.779b
bràhmaõairbahmavàdibhiþ  Ang_1.1085d
bràhmaõo 'dya vi÷iùyate  Ang_2,12.12d
bràhmaõo bràhmaõasya tu  Ang_2,9.1d
bràhmaõo bràhmaõànàü tu  Ang_2,5.8a
bràhmaõo mukhaniþsrutam  Ang_1.952d
bràhmaõyamapi tadvatsyàt  Ang_2,4.10c
bràhmaõyasåcanàyaivaü  Ang_1.63a
bràhmaõyaü tasya naùñaü syàt  Ang_1.66a
bruvantu ca bhavanto vai  Ang_1.891a
bråhi dharmàna÷eùànnaü  Ang_1.1c
bhaktadatvena tatprade  Ang_1.131d
bhaktyà 'bhaktyàthavà punaþ  Ang_1.543d
bhakùakaü santataü taràm  Ang_1.763b
bhakùaõe samupasthite  Ang_1.239b
bhakùayantãü na kathayet  Ang_2,11.8c
bhakùyàdãni phalànyapi  Ang_1.1087d
bhakùyàstilamayàþ kàryàs  Ang_1.1098a
bhagavantaü pitàmaham  Ang_1.588b
bhagavàn bhåtabhàvanaþ  Ang_1.487d
bhagavànmanurabravãt  Ang_2,10.16d
bhagãrathapràrthanayà  Ang_1.907a
bhayapatvena bhayape  Ang_1.132a
bhayàdabhyuttaretka÷cid  Ang_2,7.4a
bhayàrtaü bràhmaõaü kvacit  Ang_2,7.4b
bharaõyaü munivanditaþ  Ang_1.526d
bharaõyàü gayapa¤cakam  Ang_1.706d
bhartàramanugacchati  Ang_1.984b
bhartàramanugacchantã  Ang_1.989a
bharturekàda÷e 'hani  Ang_1.991b
bhartuþ piturvà yadvàkyaü  Ang_1.373c
bhartuþ pitràdibhiþ kuryàd  Ang_1.978c
bhartçvàkyaü puroditam  Ang_1.372d
bhartrà patnyàstathaiva ca  Ang_1.978d
bhartrà saha pramãtàyàþ  Ang_1.986c
bhartrà sahaiva ÷uddhiþ syàt  Ang_1.984c
bhartrà sàkaü hçdà tayà  Ang_1.391d
bharmaõeyaü yataþ sàdhyà  Ang_1.454a
bharmaõo yàni nàmàni  Ang_1.452c
bhavato mçgakarkañau  Ang_1.641b
bhavatyapi ca santatam  Ang_1.669d
bhavatyapi tathà tyakta-  Ang_1.1063a
bhavatyeva na sandehas  Ang_1.905a
bhavatyeva hi tatpa÷càt  Ang_1.1008a
bhavanti kathayà svarge  Ang_1.1019c
bhavanti kila nànyathà  Ang_1.333b
bhavanti na tathà pàpaü  Ang_2,6.3c
bhavantyapi na saüdehas  Ang_1.417a
bhavantyeveti sà ÷rutiþ  Ang_1.542d
bhavànãvacasà yataþ  Ang_1.591b
bhaviùyati na saü÷ayaþ  Ang_1.364b
bhaviùyatkàryahetave  Ang_1.387d
bhaviùyatkàlakçtyakam  Ang_1.361d
bhavetkilànyathà taddhi  Ang_1.845c
bhavettasmàttathà ' 'caret  Ang_1.1071b
bhavetsåtakamçtvijàm  Ang_1.22d
bhavedapi pratyavàyã  Ang_1.257a
bhavedeva tadà sadyo  Ang_1.103c
bhavedeva na sandehaþ  Ang_1.822a
bhavedeva na sandehaþ  Ang_1.844c
bhavedeva na saüdehas  Ang_1.473c
bhavedeva na saüdehaþ  Ang_1.313a
bhavedeva na saü÷ayaþ  Ang_1.604d
bhavedevaü na cànyathà  Ang_1.1095b
bhaveyureva tasmàttu  Ang_1.718a
bhaveyurduþkhità ghoraü  Ang_1.881c
bhaveyurnàtra saü÷ayaþ  Ang_1.1084d
bhaveyurhi pavitràõi  Ang_1.171c
bhaveyustatkùaõànnanu  Ang_1.432b
bhaveyustà rajasvalàþ  Ang_1.920d
bhaveyuþ kila te bhåya  Ang_1.528c
bhaveyuþ påjanàrthàya  Ang_1.864c
bhavorvàro 'tivardhitaþ  Ang_1.600b
bhasmàntaü såtakaü smçtam  Ang_1.139b
bhàga÷aþ prabravãmi te  Ang_2,6.6d
bhàgãrathã phalgunã ca  Ang_1.539a
bhàgyavàn panasã naraþ  Ang_1.555b
bhànuvàre bhaumavàre  Ang_1.765c
bhàvayanti tadà taü vai  Ang_1.1090c
bhàvayantã mahàrudraü  Ang_1.872a
bhàùaõaü duùña÷ikùaõam  Ang_1.1027d
bhàùiõaü tucchabhàùakam  Ang_1.757d
bhinnakàye na cettataþ  Ang_1.226d
bhinnagotraparigrahaþ  Ang_1.179d
bhinnadaivatake punaþ  Ang_1.1032b
bhinnabhinnàþ prakartavyàþ  Ang_1.698a
bhissayà tàni càcaret  Ang_1.278b
bhissayaiva na cànyathà  Ang_1.276d
bhuktistyàjyà vicakùaõaiþ  Ang_1.291d
bhuktvà càndràyaõaü caret  Ang_1.960d
bhuktvà càndràyaõaü caret  Ang_2,9.7d
bhuïakte và saüspç÷eta và  Ang_2,8.19d
bhuïkte ÷ådrànnameva ca  Ang_2,8.2b
bhu¤jànaþ ÷ràddhakarmaõi  Ang_1.954b
bhu¤jàno vardhayet pàpaü  Ang_2,2.2c
bhu¤jãyàttena tçptitaþ  Ang_1.1086b
bhuvane ye daridrataþ  Ang_1.574b
bhåtale bràhmaõàþ santaþ  Ang_1.534a
bhåtale yatra kutracit  Ang_1.544b
bhåtale yena kenacit  Ang_1.623b
bhåmiü samanulipya ca  Ang_1.958d
bhåmyantarbhåtale tathà  Ang_1.1015d
bhåyaþ samyak prakurvãta  Ang_1.276c
bhårbhuvaþsuvaràpårva-  Ang_1.794c
bhårbhuvaþsvastrayolokàs  Ang_2,3.2a
bhçtyànàü tu vi÷eùataþ  Ang_2,8.6b
bhedena kila tatra vai  Ang_1.694d
bhaikùyacaryà vidhãyate  Ang_2,9.10d
bhoktà eva na saü÷ayaþ  Ang_2,8.3d
bhoktþõàü ÷àstravartmanaþ  Ang_1.849b
bhoktþõàü samatàü yàti  Ang_2,8.1c
bhoktþnanyànnivedayet  Ang_1.741b
bhoginã kà¤canàhvayà  Ang_1.452b
bhoginyeva parà smçtà  Ang_1.453d
bhojanasya niråpaõam  Ang_1.288b
bhojanaü naiva kartavyaü  Ang_1.283a
bhojanaü vihitaü tadà  Ang_1.967d
bhojanàtpiõóadànataþ  Ang_1.631b
bhojanànte ca saüpannaü  Ang_1.840a
bhojaneneti ca trayam  Ang_1.963b
bhojanenaiva nànyathà  Ang_1.968d
bhojane samupakrànte  Ang_1.831c
bhojayecca na doùakçt  Ang_1.959d
bhojyànyetàni nitya÷aþ  Ang_2,8.17b
bhonane chardito yadi  Ang_1.969b
bhraùñakriyà prakartavyà  Ang_1.1060c
bhraùñatyaktapitàpi và  Ang_1.1046b
bhraùñànàmapi tucchànàü  Ang_1.138a
bhràtà vyavahito yadi  Ang_1.407d
bhràtuþ putro bhavennyånaþ  Ang_1.405a
bhràtçjeùu vivàho na  Ang_1.359a
bhràtçjo vàkyataþ pitror  Ang_1.126a
bhràtçjo và tathàvidhaþ  Ang_1.420d
bhràtçputreùu tiùñhatsu  Ang_1.360a
bhràtre bhaginyai putràya  Ang_1.688c
bhràtþõàmagrajanmanàm  Ang_1.725b
bhràntacitte calàtmani  Ang_1.108b
bhråõahatyàmavàpnutaþ  Ang_1.372b
bhråõahatyàmavàpnuyàt  Ang_1.322d
makare viü÷atiþ smçtàþ  Ang_1.646b
makùikàmålato yadi  Ang_1.173d
maïgalasnànameva ca  Ang_1.668d
maïgalàni tathà punaþ  Ang_1.669b
maõikàrasvarõakàra-  Ang_1.750c
maõimàlo bçhannàlo  Ang_1.519c
maõóalaü påjayitvàdau  Ang_1.778c
maõóalàtpa÷cime bhàge  Ang_1.779a
maõóalànarcanaü bhavet  Ang_1.1080d
matpuraþ proktavànasi  Ang_1.576b
matyà 'matyàthavà 'tãvaü  Ang_1.543c
madgotraü vardhatàü deva  Ang_1.885c
madyapànàdinà bhraùñaþ  Ang_1.1059c
madhutrayamathàpi và  Ang_1.837d
madhuvàtàdikaü mukter  Ang_1.1076c
madhåkaiþ sumanoramaiþ  Ang_1.546b
madhyacchinnà yadà cåóà  Ang_1.58a
madhyabhàgaprapãóitam  Ang_1.280d
madhyameùu ca madhyamà  Ang_2,4.7b
madhyàhne na tu saügave  Ang_1.283d
madhyàhne saügave vàpi  Ang_1.253c
madhye ÷àkuñakàdãni  Ang_1.529a
manavastu caturda÷a  Ang_1.610b
manasàpi na kurvãta  Ang_1.97a
manasà pårvameva vai  Ang_1.580d
manunà coditaü purà  Ang_2,8.4d
manuùyàõàü tu kiü punaþ  Ang_1.227d
manuþ kàtyàyano 'ïgiràþ  Ang_1.490b
mantrakumbhasahasrakaiþ  Ang_1.1066b
mantrapåtaü tu yacchràddham  Ang_1.737a
mantrametaü ÷rutãritam  Ang_1.809d
mantraü paramamuttamam  Ang_1.898d
mantràn japtvà krameõaivaü  Ang_1.859c
mantràn sarvànpare sutàþ  Ang_1.461b
mantràbhàve tu sarvatra  Ang_1.7c
mantrà vàcyà÷ca bhaktitaþ  Ang_1.831b
