GRETIL CUMULATIVE PADA INDEX
OF METRIC DHARMA TEXTS AND TEXT PORTIONS

presently including the Smrtis of:

- Aïgiras (Ang_)
- Bçhaspati (reconstructed): Vyavahàrakàõóa (Brh_1.)
- Kàtyàyana (K_)
- Manu (Mn_)
- Nàrada (Nar_)
- Parà÷ara (Par_)
- Viùõu [metric portions] (Vi_)
- Yàj¤avalkya (Yj_)
- Yama, version with 78 verses (YS78v_)
- Yama, version with 99 verses (YS99v_)
- Yama, version with 185 verses in 5 adhyàyas (YS182v_)
- Yama, South Indian recension (YSS_)



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akatra prativàsinaş (?)  K_892b
pràpnuyàt sàhasaü pårvaü  K_660c
pràpnuyàt sàhasaü pårvaü  K_713c
pràpnuyàt sàhasaü pårvaü  K_807c
pràpnuyàd uttamarõikaş  Mn_8.48b
pràpnuyàd uttamaü vadhaş  K_791d
pràpnuyàd dvi÷ataü damam  K_729d
pràpnuyàn nànyathaiva tu  K_016d
pràpnuyàn madhyamaü damaü  YSS_2.45d
pràpnuyur nànuvarõitàş  K_467d
pràpnuyur vividhaü vadham  K_956d
pràpnuvanti duràtmàno  Mn_11.48[47M]c
pràpnuvantu bhavanta÷ca  Ang_1.792a
pràpnuvanty utsçtãş punaş  Mn_5.40d
pràpnoti paramaü gatim  Mn_6.96d
pràpnoti paramàü gatim  Mn_4.14d
pràpnoti paramàü gatim  Mn_8.420d
pràpnoti paramàü gatim  Mn_12.116d
pràpnoti puruùànçtam  Mn_9.71d
pràpnoti pratipåjitaş  Mn_4.234[235M]d
pràpnoti susamàhitaş  Yj_3.327d
pràpnoty àmaraõàntikam  K_922d
pràpyate pårvasàhasaü  YSS_2.59b
pràpyate hy amçtaü tataş  Mn_12.85d
pràpyate hy àtmani tathà  Yj_3.142c
pràpya de÷aü ca kàlaü ca  Ang_2,3.8a
pràpya vaivasvataü yamam  Ang_1.739d
pràpya svàmã samàpnuyàt  Nar_7.2b
pràpyaitat kçtakçtyo hi  Mn_12.93c
pràbalyaü pratipàditam  Ang_1.42b
pràbravãd çùibhiş pçùño  YS99v_1c
pràmàõiko hi tadbhinno  Ang_1.847a
pràya÷o 'dharmam alpa÷aş  Mn_12.20b
pràya÷citàni ye dvijàş  Ang_2,7.1b
pràya÷cittakramasya ca  Ang_2,1.2d
pràya÷cittakramasya ca  Ang_2,5.3b
pràya÷cittakriyàhetor  Ang_1.11a
pràya÷cittapraõetàraş  Ang_2,4.4a
pràya÷cittam akurvatàm  Mn_9.236b
pràya÷cittam akurvatàm  K_484b
pràya÷cittam akurvàõàş  Yj_3.221a
pràya÷cittam akurvàõo  Mn_2.221c
pràya÷cittamanuttamam  Ang_2,5.10d
pràya÷cittam abhojanam  Mn_11.203[202M]d
pràya÷cittam ahoràtraü  Par_6.12c
pràya÷cittamiti smçtam  Ang_2,4.1d
pràya÷cittamiti smçtam  Ang_2,4.2d
pràya÷cittamidaü param  Ang_1.195d
pràya÷cittam upakramya  YS182v_2.7a
pràya÷cittam vinirdi÷et  Par_8.28b
pràya÷cittavidhàv atra  Nar_12.76c
pràya÷cittavidhiü tathà  Mn_1.116d
pràya÷cittavidhiü ÷ubham  Mn_10.131d
pràya÷cittavidhiü ÷ubham  Ang_2,12.1b
pràya÷cittavyatikramaş  Nar_18.3b
pràya÷cittasamaü cittaü  Ang_2,4.2a
pràya÷cittasya ye klãba-  Ang_2,10.21c
pràya÷cittaü kathaü tatra  YS99v_48c
pràya÷cittaü kathaü tàsàü  YS78v_56c
pràya÷cittaü kathaü teùàü  Par_11.16c
pràya÷cittaü kathaü bhavet  Par_6.48d
pràya÷cittaü kathaü bhavet  Par_8.1d
pràya÷cittaü kathaü bhavet  Par_9.35b
pràya÷cittaü kathaü bhavet  Par_11.25d
pràya÷cittaü kathaü bhavet  YS182v_3.8d
pràya÷cittaü kathaü bhavet  YS182v_3.62d
pràya÷cittaü kathaü bhavet  YS182v_3.64d
pràya÷cittaü kathaü bhavet  YS78v_18d
pràya÷cittaü kathaü bhavet  YS78v_46d
pràya÷cittaü kathaü bhavet  Ang_2,9.15d
pràya÷cittaü kathaü bhavet  Ang_2,10.7b
pràya÷cittaü ca kçtvà vai  YS99v_63a
pràya÷cittaü catuùpàdaü  Ang_2,1.3a
pràya÷cittaü ca daõóaü ca  K_472c
pràya÷cittaü ca dàtavyaü  YS182v_5.6c
pràya÷cittaü ca neùyate  YSS_1.21d
pràya÷cittaü ca yat smçtam  YS182v_4.13b
pràya÷cittaü cared bhràta  YS182v_3.1c
pràya÷cittaü cared bhràtà  YS78v_15c
pràya÷cittaü cared bhràtà  YSS_1.20c
pràya÷cittaü cared vipraş  Par_11.8c
pràya÷cittaü cared vipro  Par_10.38c
pràya÷cittaü cà ''nulomye  YS182v_4.48c
pràya÷cittaü cikãrùanti  Mn_11.192[191M]a
pràya÷cittaü tata÷caret  Ang_1.214b
pràya÷cittaü tata÷caret  Ang_1.216d
pràya÷cittaü tataş kuryur  YS99v_21c
pràya÷cittaü tathà pràptaü  YS182v_3.11c
pràya÷cittaü tadà deyam  YS182v_4.28c
pràya÷cittaü tadà proktaü  Par_9.2c
pràya÷cittaü tu kurvàõàş  Mn_9.240a
pràya÷cittaü tu tenoktaü  Par_9.52a
pràya÷cittaü tu bandhubhiş  YS182v_4.31d
pràya÷cittaü dadàti yaş  Par_8.6b
pràya÷cittaü dadàti yaş  YS182v_4.29b
pràya÷cittaü dinatrayam  Par_12.58(57)d
pràya÷cittaü dine dine  YS182v_4.49d
pràya÷cittaü dç÷yate naü  Ang_1.9a
pràya÷cittaü dvijottamaş  Mn_11.129[128M]b
pràya÷cittaü na tasyàş syàt  Par_4.20c
pràya÷cittaü na dàtavyaü  Ang_2,7.5c
pràya÷cittaü na mçgyeta  Ang_2,10.17c
pràya÷cittaü na vidyate  Par_9.12d
pràya÷cittaü na vidyate  Par_9.34d
pràya÷cittaü na vidyate  Par_9.39d
pràya÷cittaü na vidyate  Par_9.40d
pràya÷cittaü na vidyate  Par_9.42d
pràya÷cittaü na vidyate  Par_9.43d
pràya÷cittaü na vidyate  Par_9.45d
pràya÷cittaü na vidyate  Par_10.32d
pràya÷cittaü na vidyate  YS182v_3.2d
pràya÷cittaü na vidyate  YS78v_16d
pràya÷cittaü na vidyate  YS99v_47d
pràya÷cittaü na vidyate  YS99v_50d
pràya÷cittaü na vidyate  YS99v_51d
pràya÷cittaü na vidyate  YSS_1.12d
pràya÷cittaü na vidyate  Ang_2,10.6d
pràya÷cittaü na vidyate  Ang_2,10.10d
pràya÷cittaü na vidyate  Ang_2,10.14d
pràya÷cittaü na vidyàte  Par_9.44d
pràya÷cittaü na sevate  YS182v_2.8b
pràya÷cittaü nibodhata  Mn_11.247[246M]d
pràya÷cittaü niùevate  YSS_1.17b
pràya÷cittaü pçthak pçthak  YS182v_4.11d
pràya÷cittaü prakalpayet  Mn_11.209[208M]d
pràya÷cittaü prakalpayet  YS182v_1.1d
pràya÷cittaü prakalpyaü syàd  Yj_3.293c
pràya÷cittaü pradàtavyaü  Ang_2,5.13c
pràya÷cittaü prayacchanti  Par_8.20a
pràya÷cittaü pravartate  YS182v_4.43d
pràya÷cittaü bhavet tatra  YS182v_4.2c
pràya÷cittaü bhavet puüsaş  Par_11.44a
pràya÷cittaü manãùibhiş  YS182v_4.27b
pràya÷cittaü manãùibhiş  YSS_1.13d
pràya÷cittaü mahattaram  Ang_1.9d
pràya÷cittaü yathà tathà  YS182v_4.7b
pràya÷cittaü yathàvidhi  Mn_11.247[246M]b
pràya÷cittaü yathà vidhi  YS182v_4.41b
pràya÷cittaü vadanti ye  YS99v_59b
pràya÷cittaü vidur budhàş  Mn_11.45[44M]b
pràya÷cittaü vidur budhàş  YSS_1.12b
pràya÷cittaü vidhãyate  Par_1.34d
pràya÷cittaü vidhãyate  YS182v_4.23d
pràya÷cittaü vidhãyate  YS182v_4.30b
pràya÷cittaü vidhãyate  Ang_2,10.1d
pràya÷cittaü vidhãyate  Ang_2,12.8b
pràya÷cittaü vinirdi÷et  Par_9.22d
pràya÷cittaü vinirdi÷et  Par_9.28d
pràya÷cittaü vinirdi÷et  Par_9.41d
pràya÷cittaü vinirdi÷et  Par_9.46d
pràya÷cittaü vinirdi÷et  Par_9.54b
pràya÷cittaü vinirdi÷et  Par_12.66(65)b
pràya÷cittaü vinirdi÷et  YS99v_40d
pràya÷cittaü vinirdi÷et  YS99v_56d
pràya÷cittaü vinirdi÷et  Ang_2,3.8d
pràya÷cittaü vi÷uddhaye  Mn_11.53[52M]b
pràya÷cittaü vi÷uddhaye  Yj_3.220b
pràya÷cittaü vi÷odhanam  Nar_12.76d
pràya÷cittaü vi÷odhanaü  YSS_2.4d
pràya÷cittaü vyàkhyàsyàmaş  YS182v_1.1b
pràya÷cittaü sadà dadyàd  Par_8.30a
pràya÷cittaü samaü smçtam  YS182v_4.8d
pràya÷cittaü samàgataiş  Ang_2,6.15b
pràya÷cittaü samàcaret  YS78v_68d
pràya÷cittaü samàdi÷ya  Ang_2,5.9c
pràya÷cittàd vi÷udhyati  YS182v_4.5b
pràya÷città naràdhamàş  Yj_3.225d
pràya÷cittàbhidhàyakam  YS78v_1b
pràya÷cittàya kevalam  Ang_1.13b
pràya÷cittàya kevalam  Ang_1.20d
pràya÷cittàrtham àdçtaş  Mn_11.225[224M]d
pràya÷cittàrddham arhanti  YS78v_17c
pràya÷cittàrdham arhati  Par_9.32d
pràya÷cittàrdham arhanti  YS182v_3.3c
pràya÷cittàrdham arhanti  YSS_1.19c
pràya÷cittã tadàrhati  YS182v_4.42b
pràya÷cittã bhavec ca saş  YS182v_4.12d
pràya÷cittã bhavet tadà  YS182v_4.40d
pràya÷cittã bhavet påtas  YS182v_4.29c
pràya÷cittã bhavet påtaş  Par_8.6c
pràya÷cittã bhaven naraş  YS182v_4.4d
pràya÷cittãyatàü pràpya  Mn_11.47[46M]a
pràya÷cittãyatàü pràpya  YSS_2.1a
pràya÷cittãyate naraş  Mn_11.44[43M]d
pràya÷citte kçte janaiş  K_255b
pràya÷citte 'kçte dvijaş  Mn_11.47[46M]d
pràya÷citte tata÷ cãrõe  Par_8.41a
pràya÷citte tata÷ cãrõe  Par_10.4a
pràya÷citte tata÷ cãrõe  Par_10.22a
pràya÷citte tata÷ cãrõe  YS99v_61a
pràya÷citte tu carite  Mn_11.186[185M]a
pràya÷cittena ÷uddhyati  YS78v_13b
pràya÷cittena ÷udhyati  YS182v_4.9d
pràya÷citte yadà cãrõe  Ang_2,6.9a
pràya÷citte 'vyavasite  YSS_1.16a
pràya÷citte samutpanne  Ang_2,2.6a
pràya÷citte hy upakrànte  YS78v_12a
pràya÷cittair adåùitam  Yj_1.316b
pràya÷cittair apaity eno  Yj_3.226a
pràya÷cittaiş pçthagvidhaiş  Mn_11.46[45M]d
pràya÷citttaü na vidyate  Par_9.19d
pràyo dàsãsutàş kuryur  K_720c
pràyo nàma tapaş proktaü  Ang_2,4.1a
pràrabdhe kàryani÷caye  K_206d
pràrabhet pàtakã bhavet  Ang_1.164d
pràrthanãyaü tathaiva tat  K_630b
pràrthanãyaü vi÷eùeõa  Ang_1.567c
prà÷anaü tu dvijottamaş  Yj_3.306d
prà÷ayecca na ÷abdayet  Ang_1.247b
prà÷ayed apsu và kùipet  Mn_3.260[250M]d
prà÷itaü pitçtarpaõam  Mn_3.74[64M]d
prà÷nàti haviùo 'lpakaş  Ang_1.739b
prà÷ya måtrapurãùàõi  Mn_11.154[153M]c
pràsyed àtmànam agnau và  Mn_11.73[72M]c
pràha putravatãr manuş  Mn_9.183d
pràhur vai÷eùikaü dhanam  Nar_1.49b
pràhuş pàvanam àtmanaş  Nar_1.191b
priyapra÷nottareõa ca  Par_1.44b
priyavastupracàraõaiş  Ang_1.1020d
priya÷va÷uramàtulàn  Mn_3.119[109M]b
priyaü ca nànçtaü bråyàd  Mn_4.138c
priyàpriyaviparyayaş  Yj_3.64b
priyà bhavanti lokasya  Mn_8.42c
priyeùu sveùu sukçtam  Mn_6.79a
priyo vivàhya÷ ca tathà  Yj_1.110c
prãõayanti manuùyàõàü  Yj_1.269c
prãõàti devàn àjyena  Yj_1.42c
prãõitàş pitarastena  Ang_1.861a
prãtàtmà munibhàùitam  Yj_3.334b
prãtàtmà ÷råyatàm iti  Mn_1.60d
prãtàtmà saptaviü÷atim  Mn_9.129d
prãtà néõàü pitàmahàş  Yj_1.270d
prãtidattaü tad ucyate  K_897d
prãtidattaü na vardheta  K_505a
prãtim utpàdayed gçhã  Par_1.44d
prãtyà caiva yad anyataş  K_904b
prãtyà coktaü mayeti yat  K_775b
prãtyà dattaü tu yat kiücit  K_897a
prãtyà nisçùñam api cet  K_908c
prãtyopanihitasya ca  Mn_8.196b
prãyantàü pitaraş pa÷càt  Ang_1.892a
prekùakàş prakarà÷ ca ye  K_956b
prekùàsamàjaü gacched và  Mn_9.84c
pretakarmaõi tàş paràş  Ang_1.585b
pretakàryaspar÷amàtraü  Ang_1.466a
pretakàrye ca yatkçtam  K_543b
pretakçtyaü prakurvãta  Ang_1.145c
pretakçtyaiva laukikã  Mn_3.127[117M]d
pretatvàcca na nirmuktaş  Ang_1.463a
pretatvàttu vimuktena  Ang_1.995c
pretadhåmaü nadãtaram  Yj_1.139b
pretaniryàpaka÷ caiva  Mn_3.166[156M]c
pretanirvàpaõaü proktam  Ang_1.141c
pretaparpañabhåtapàş  Ang_1.536d
pretapàtraü prasecayet  Yj_1.253d
pretaloke hyadhomukhaş  Ang_1.464b
preta÷uddhiü nibodhata  Mn_5.100[99M]d
preta÷uddhiü pravakùyàmi  Mn_5.57a
preta÷ràddhàdikaü tathà  Ang_1.690b
preta÷ràddhàni kçtsna÷aş  Ang_1.683b
preta÷ràddheùu sarvatra  Ang_1.684a
pretasammàrjanaü malaü  YSS_2.41a
pretasaüspar÷inàm api  Yj_3.14b
pretas tair adyate 'va÷aş  Mn_5.33d
pretasya vyavahàriõaş  Nar_1.80b
pretahàraiş samaü tatra  Mn_5.65[64M]c
pretàgnihotrasaüskàraş  Par_5.14c
pretànàm udakakriyà  Yj_3.4b
pretàyànnaü dinatrayam  Yj_3.16d
pretàhutistu kartavyà  Ang_1.951a
pretãbhåtaü tu yaş ÷ådraü  Par_3.45a
pretãbhåtaü dvijottamam  Par_3.41b
prete caivaü vidhãyate  K_533d
prete tu bhoktari dhanaü  Nar_1.77c
prete ràjani sajyotir  Mn_5.82[81M]a
preteùu tu na tatputraş  Nar_1.12c
preto bhuïkte yato 'va÷aş  Yj_3.11b
pretya karmaphalodayam  Mn_11.231[230M]b
pretya cànuttamaü sukham  Mn_2.9d
pretya cànuttamaü sukham  Mn_8.343d
pretya cànuttamàü gatim  Yj_1.87d
pretya ceha ca nandati  Nar_20.46d
pretya ceha ca na÷yati  Mn_8.111d
pretya ceha ca ÷à÷vatam  Mn_2.146d
pretya ceha ca ÷à÷vatam  Mn_6.80d
pretya ceha hitàhitàn  Mn_3.20b
pretya janmani janmani  Mn_5.38d
pretya duùkçtinàü nçõàm  Mn_12.16b
pretya viprasya garhitaş  Mn_10.109d
pretya ÷reyo 'bhikàïkùiõaş  Mn_4.91d
pretya svargaü sama÷nute  Mn_11.6d
pretya svargàc ca hãyate  Mn_8.75d
pretyàntyastrãniùeviõaş  Mn_12.59d
pretyàpràj¤atayà naraş  Mn_4.167d
pretyeha ca sukhàsukham  Mn_12.19d
pretyeha ca sukhodarkàn  Mn_9.25c
pretyeha cedç÷à viprà  Mn_4.199[200M]a
preyàd abhyàgato vaõik  Nar_3.14b
preraka÷ca nirodhakaş  Ang_1.99d
preraõaü manaso gatiş  Yj_3.175b
prerayan kåpavàpãùu  Par_9.36a
prerayet sàyakatrayam  Nar_20.25d
preùayec ca tata÷ càràn  Yj_1.332a
preùayen mantrisaügataş  Yj_1.328d
preùitastena vai vçtaş  Ang_1.134b
preùitaş puruùo và 'pi  YS182v_4.13a
preùyatàü yànti ÷atruùu  Mn_12.70d
preùyàn vàrdhuùikàü÷ caiva  Mn_8.102c
preùyàn vàrdhuùikàü÷ caiva  K_423c
preùyo gràmasya ràj¤a÷ ca  Mn_3.153[143M]a
preùyo bhràtrà ca sodaraş  Mn_8.299b
praiùyàsu caikabhaktàsu  Mn_8.363c
proktapakùeùu yena và  Ang_1.704d
proktavàkyaü tu tatparam  Ang_1.370b
proktas tu dvir niùaõõànàü  Nar_11.30a
proktà deyam çõaü tvayà  K_547b
proktàn daõóàn manãùibhiş  Mn_8.122b
prokte sàdhyaü na sidhyati  K_396d
proktyai tatkarma sàdhu vai  Ang_1.845b
proktvà svãyai÷ca kevalam  Ang_1.1017d
prokùaõaü pariùecanam  Ang_1.239d
prokùaõaü saühatànàü ca  Mn_5.115[114M]c
prokùaõaü saühatànàü ca  Yj_1.184c
prokùaõàc chuddhitàm iyuş  Par_7.30d
prokùaõàc chuddhir iùyate  Par_7.28d
prokùaõàt tçõakàùñhaü ca  Mn_5.122[121M]a
prokùayitvà ÷ucir bhavet  YS78v_50d
prokùitaü bhakùayen màüsaü  Mn_5.27a
prokùite dvijakàmyayà  Yj_1.179b
procuş kila maharùayaş  Ang_1.1030b
procyate sumahàn paraş  Ang_1.292b
procyate 'sau yataş prasåş  Ang_1.1053d
protsàdya va÷am ànayet  Mn_9.261d
protsàhakas saüpratighàtaka÷ ca  YSS_1.42b
provàca kila sarve÷o  Ang_1.488c
provàcaivaü na cetarat  Ang_1.484b
proùitasya tu yo bhàgo  K_845:2a
proùitasyàmatenàpi  K_545a
proùitasvàmikà nàrã  K_489a
proùitànàü tathaiva ca  K_845:1d
proùite kàla÷eùaş syàt  Yj_3.21c
proùite tatsutaş sarvaü  K_538c
proùite tv avidhàyaiva  Mn_9.75c
proùite và kuñumbini  Yj_2.45d
proùito dharmakàryàrthaü  Mn_9.76a
plakùaràjanyasaübhåto  Ang_1.522c
plavate ÷ubhakarmaõaş  YS99v_90b
plavaügamanaràmaràş  Mn_7.72d
phaõiràjena và na tu  Ang_1.502d
phalakàüsasamudbhave  Yj_3.87b
phalake ca vinirdi÷et  Yj_3.87d
phalake và samàhitaş  Nar_5.11d
phaladànàü tu vçkùàõàü  Mn_11.142[141M]a
phalanty anuyugaü loke  Mn_1.84c
phalapuùpajalàkùatàn  Ang_1.1024b
phalapuùpànnarasaja-  Yj_3.275a
phalapuùpodbhavànàü ca  Mn_11.143[142M]c
phalapradà hi sarito  Ang_1.915c
phalabãjasamutpatti-  Ang_1.601a
phalabhug yasya tat kùetraü  Nar_12.56c
phalabhogyo na na÷yati  Yj_2.58d
phalam asti na veti và  Yj_3.152b
phalam utpàdayet tu yaş  K_859b
phalamålaü tu markañaş  Mn_12.67b
phalamålànilà÷anàş  Mn_11.236[235M]b
phalamålà÷anair medhyair  Mn_5.54a
phalamåle tathauùadhãş  Mn_10.87d
phalamålodakàdãnàü  Nar_14.3a
phalavaddànameva ca  Ang_1.320d
phalavçùkair alaükçtam  Par_1.6b
phala÷rãrmadhuragrãvo  Ang_1.514c
phalahetor upàyena  Nar_3.02a
phalaü katakavçkùasya  Mn_6.67a
phalaü ku÷alabuddhayaş  Yj_1.350d
phalaü kùetraü prayacchati  Mn_7.208Md
phalaü te pràpnuyuş param  Ang_1.575d
phalaü tv anabhisaüdhàya  Mn_9.52a
phalaü dànasya paurtikam  Mn_3.168[168M]d
phalaü dçùñvà tu yo naraş  Ang_1.551b
phalaü puùpaü ca sàmànyaü  K_760c
phalànàü badareïgude  Nar_1.61b
phalàni piõyàkamatho  Ang_2,8.18a
phalaidhaşkusumasteyam  Mn_11.70[69M]c
phalaiş ÷alàñubhirvàpi  Ang_1.501a
phalopalakùaumasoma-  Yj_3.36a
phalopà÷rayavarjitam  Nar_M2.11b
phalguü kubjaü tathà càndhaü  Ang_1.753c
phàlakaiñàvikasya ca  K_510d
phàlàhatam api kùetraü  Yj_2.158a
phàlgunaü vàtha caitraü và  Mn_7.182[183M]c
phenaprakhyaş kathaü nà÷aü  Yj_3.10c
bakavac cintayed arthàn  Mn_7.106[107M]a
bakavçttãü÷ ca varjayet  Yj_1.130d
bakavratacaro dvijaş  Mn_4.196[197M]d
bakaü caiva balàkàü ca  Mn_5.14a
bakaü barhiõam eva ca  Mn_11.135[134M]b
bako bhavati hçtvàgniü  Mn_12.66a
baddha evàbhidç÷yate  Mn_9.308b
baddhasya nigaóasya ca  Mn_4.210[211M]d
baddhaü ya÷ ca pramu¤cati  Yj_2.243b
baddhà syàd gaur mçtà yadi  Par_9.6d
baddhvàpi tiùñhet para÷uü gçhãtvà  Par_9.33d
baddhvà và vàsasà kùipraü  Yj_3.291c
badhiraü bhràntamulbaõam  Ang_1.753d
badhnãyàd ambhaso màrgaü  K_809c
badhyate yàs tu vàhayan  Mn_3.68[58M]d
badhyate vàruõair bhç÷am  Mn_8.82b
badhyo daõóya÷ ca dharmataş  Mn_8.58b
badhvà tu tiùñhetpara÷uü pragçhya  Ang_2,10.9d
bandigograhaõe tathà  Par_3.29b
bandigràhàüs tathà vàji-  Yj_2.273a
bandigràheõa yà bhuktà  Par_10.24a
bandigràhe bhayàrtà và  Par_10.16c
bandhanachedanàni ca  Mn_12.75d
bandhanàni ca kàùñhàni  Mn_12.78c
bandhanàni ca sarvàõi  Mn_9.288a
bandhane rodhane caiva  YS99v_45a
bandhane rodhane 'pi và  Par_9.46b
bandhapà÷asuguptàïgo  Par_9.32a
bandhayen nigaóena tu  K_118d
bandhànvàhitayàcitam  K_592b
bandhudattaü tathà ÷ulkam  Yj_2.144a
bandhudattaü tu bandhånàm  K_918c
bandhunàpahçtaü dravyaü  K_888a
bandhupriyaviyogàü÷ ca  Mn_12.79a
bandhubhir datta eva ca  YS182v_5.18b
bandhubhir và vi÷odhayet  K_818d
bandhubhir hitabuddhibhiş  YS99v_87d
bandhubhi÷ ca striyaş påjyà  Yj_1.82c
bandhubhiş pitçmàtçtaş  YSS_1.38d
bandhubhiş sà niyoktavyà  Nar_12.96c
bandhubhyaş pitçmàtçtàş  Nar_12.7b
bandhubhyàü pitçmàtçtaş  YSS_1.31b
bandhumadhye vrataü tàsàü  Par_9.58a
bandhuràjàdibhirjanaiş  Ang_1.362b
bandhusàkùyabhilekhitaiş  Yj_2.149b
bandhånàm apy abhàve tu  K_865a
bandhånàm avibhaktànàü  K_888c
bandhyaş syàt tannivartanàt  Nar_11.15d
babhåburiti naş ÷rutam  Ang_1.558b
babhåyuş kila vai ciram  Ang_1.185d
babhåvàdhika eva vai  Ang_1.532b
babhåvur hi puroóà÷à  Mn_5.23a
babhruõo dãkùitasya ca  Mn_4.130d
barhiùmatsu pçthakpçthak  Mn_3.208[198M]b
balabhçto hi sàhasã  YSS_2.73b
balam årjaü ca yacchati  Mn_2.55b
balavaty uttaràkriyà  Yj_2.23b
balavaty uttarà kriyà  YS182v_5.24b
balavaty uttarottarà  Nar_1.85b
balavà¤ jàyate vàyuş  Mn_1.76c
balavàn indriyagràmo  Mn_2.215c
balavàn vyavahàrataş  Yj_2.21b
balasya svàmina÷ caiva  Mn_7.167[168M]a
balaü nirõejakasya ca  Mn_4.219[220M]b
balaü samyaïniveditam  Ang_2,6.1d
balaü saüjàyate ràj¤aş  Mn_8.172c
balàkàñiññibhau vàpi  Par_6.3a
balàkàbakaviùkiràn  Yj_1.173b
balàkà ÷akunir dadhi  Mn_12.63d
balàtkàrakçtaü ca yat  Nar_1.117b
balàt kàrayitavyo 'sau  K_657c
balàdakàmaü yatràdhim  K_527a
balàd uddharate bilàt  Par_4.33b
balàd gçhãto baddha÷ ca  YS182v_5.18a
balàd dattaü balàd bhuktaü  Mn_8.168a
balàddàsãkçta÷ caurair  Yj_2.182a
balàd dàsã kçtà ye ca  YS182v_5.5c
balàd yac càpi lekhitam  Mn_8.168b
balàd vàsayitavyaş syàd  Nar_5.17c
balànàü dar÷anaü kçtvà  Yj_1.329c
balàn naiva pradàpayet  K_888b
balàbalena caitena  K_181a
balàvaùñabdhaü yàcitam  Nar_1.79b
balikarmasvadhàhoma-  Yj_1.102a
balino yamakiükaràş  Nar_1.198d
balim àkà÷a utkùipet  Mn_3.90[80M]b
balir eùa prakalpitaş  Nar_3.12d
baliùaóbhàgahàriõam  Mn_8.308b
baliü gçhõàti pàrthivaş  Mn_9.254b
baliü bhikùàü ca ÷aktitaş  Mn_6.7b
baliü sarvàtmabhåtaye  Mn_3.91[81M]b
baliş sa tasya vihitaş  Nar_18.45c
balãvardasya caiva hi  YS182v_4.2b
balãvardaü na yojayet  Par_2.3b
balãvarde 'pi ca tathà  YS182v_4.8c
balãvardo mçto 'pi và  YS182v_4.4b
balodbhåteùu kàryeùu  K_229c
balopadhikçtàd çte  Yj_2.89d
balopàdhivinirvçttàn  Yj_2.31a
bastiü snàyuü ca rocanàm  Mn_8.234b
bahava÷ cet tu sadç÷àş  Mn_9.184c
bahava÷ cet pratibhuvo  Nar_1.106a
bahavaş syur yadi svàü÷air  Yj_2.55a
bahavo 'vinayàn naùñà  Mn_7.40a
bahirabhyantarà÷ritàş  Nar_19.4b
bahir utsarjanaü dvijaş  Mn_4.96b
bahir etat trikaü dvijaş  Mn_2.79b
bahirgràmaprati÷rayau  Mn_10.36d
bahirgràmàc ca yad bhavet  K_367b
bahir gràmàt prati÷rayaş  Mn_10.51b
bahirdvàre bubhukùitaş  Nar_1.184b
bahir màlyaü na dhàrayet  Mn_4.72b
bahirvàsakçtàni ca  K_437b
bahirvàsiùu bàhyà÷ ca  Nar_1.135c
bahi÷ ced bhàùyate dharmàn  Mn_8.164c
bahi÷ ced bhra÷yate dharmàn  Nar_M2.15c
bahiùkçta÷ca saütyaktas  Ang_1.1064a
bahiş kuryur bahi÷caràş  Nar_14.25d
bahiş÷atrukçtàüs tathà  Yj_2.31d
bahukalyàõam ãpsubhiş  Mn_3.55d
bahutvaü parigçhõãyàt  Mn_8.73a
bahudeyaü ca no 'stv iti  Mn_3.259[249M]d
bahu deyaü ca no 'stv iti  Yj_1.246d
bahupuùpaphalopagàş  Mn_1.46d
bahupratij¤aü yat kàryaü  K_137a
bahubhir vàpi vàsayet  Nar_6.21b
bahubhi÷ ca kulãnair và  K_408e
bahumàtçka eva saş  Ang_1.392b
bahuvipratiraskàra-  Ang_1.147a
bahuvipràmataü tu yat  Ang_1.146b
bahånàü tu gçhãtànàü  K_750a
bahånàü dhànyavàsasàm  Mn_5.118[117M]b
