Brahma-Purana, Adhyayas 1 - 246

Input by Peter Schreiner and Renate Soehnen-Thieme
for the Tuebingen Purana Project
For further details see www.indologie.unizh.ch/text/text.html

PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot kiü mahàdeva  BrP_38.21c
bakulaiþ saptaparõai÷ ca  BrP_1.5c
bakulaiþ saraladrumaiþ  BrP_42.15b
badarãpàñanaü tathà  BrP_25.54b
badarãm àdide÷àtha  BrP_219.22c
badarãm à÷ramaü puõyaü  BrP_210.33c
badarãvanam àsãnaü  BrP_25.37c
badarã÷ailam eva ca  BrP_25.13d
badarã suprabhaü tathà  BrP_25.17b
badarãhradam anyac ca  BrP_25.81a
badaraiþ sakara¤jakaiþ  BrP_43.54b
badaryàü yat phalaü proktaü  BrP_65.86a
baddha àste mahàmate  BrP_171.28b
baddhamaunàs tato balam  BrP_189.13b
baddhas tiùñhati satvaram  BrP_90.11b
baddhaü nàgaü kà÷yapena  BrP_90.12a
baddhaü pitaram àtmanaþ  BrP_171.45b
baddhaü bàõena nàradaþ  BrP_206.10d
baddhaü rasàtalasthaü taü  BrP_129.27c
baddhaþ pràpnoti vedanàm  BrP_217.81b
baddhà pà÷air mahàmate  BrP_80.38d
baddhàþ ÷çïkhalayà kecit  BrP_215.27c
baddho mayà saügare vàhanena  BrP_129.33a
baddho mucyeta bandhanàt  BrP_246.31b
baddho 'smi dàridryamayai÷ ca bandhair  BrP_117.9a
baddhvà karùanti nirbhayàþ  BrP_215.5b
baddhvà caiva hi mantravit  BrP_58.52d
baddhvà tat kàlapà÷ai÷ ca  BrP_214.71a
baddhvà tat kàlapà÷ai÷ ca  BrP_214*.71a
baddhvàtha tvarayànvitàþ  BrP_78.31b
baddhvà vimokùaõaü ÷atror  BrP_129.28c
baddhvà hastisamàyuktaü  BrP_129.15a
badhyante chinnasaü÷ayàþ  BrP_224.5d
badhyante bandhanaiþ kair và  BrP_224.2c
bandigràhakçtà÷ ca ye  BrP_215.91b
bandhaky api pativratà  BrP_92.28b
bandhanàni adho yayuþ  BrP_32.85d
bandhanàni balànvitaþ  BrP_239.14b
bandhanã pàpakàriõã  BrP_139.14b
bandhaü na gacchanty anaghà  BrP_239.16c
bandhubhi÷ càtimànitaþ  BrP_131.56d
bandhånàü kriyatàü hitam  BrP_187.25d
babandha nçpatiü tadà  BrP_171.23b
babandha yadunandanam  BrP_206.9d
babandhur yudhi nirjitam  BrP_208.5d
babha¤ja dantàn kupito  BrP_201.24c
babhàra vinaye sthitaþ  BrP_8.1d
babhàùe vacanaü tàbhyàü  BrP_50.29c
babhåva kupite bale  BrP_201.26d
babhåva gajagàminã  BrP_200.12d
babhåva ca yadoþ kulam  BrP_197.7d
babhåva jyàtalasvanaþ  BrP_13.187d
babhåva tatra gacchantyo  BrP_212.73c
babhåva tatra corva÷yàþ  BrP_228.151c
babhåva tatra daityebhyo  BrP_109.40a
babhåva tasya nçpater  BrP_48.9c
babhåva tasya nçpateþ  BrP_43.24c
babhåvatur ubhàv api  BrP_184.31d
babhåvatuþ ka÷yapasya  BrP_166.2a
babhåva tair vyàptam idaü samastam  BrP_129.71d
babhåva dãrghatapaso  BrP_13.65a
babhåva nçpatiþ purà  BrP_13.29d
babhåva nçpatiþ ÷rãmàn  BrP_43.1c
babhåva bhuvi vi÷rutà  BrP_228.8b
babhåva bhåya÷ ca yathà  BrP_1.19c
babhåva munisattama  BrP_72.14d
babhåva munisattamàþ  BrP_32.109b
babhåva munisattamàþ  BrP_178.9b
babhåva munisattamàþ  BrP_182.19b
babhåva munisattamàþ  BrP_185.24d
babhåva mçgayà÷ãlaþ  BrP_10.22c
babhåva mçgayà÷ãlaþ  BrP_13.89a
babhåva rukmakavacaþ  BrP_15.9c
babhåva vadatàü varàþ  BrP_4.46b
babhåva vàridhàràbhir  BrP_184.58a
babhåva sa mahàgiriþ  BrP_36.92b
babhåva sa mahàdyutiþ  BrP_8.67d
babhåva sa yadà tamaþ  BrP_122.20b
babhåva sahasà vibhuþ  BrP_36.28d
babhåva siddho 'pi yayau  BrP_228.108a
babhåva sukule ràjà  BrP_228.148c
babhåva sumahàn mithaþ  BrP_123.10d
babhåva sumahàvãryo  BrP_176.16a
babhåva smçtimàn va÷ã  BrP_228.91b
babhåvàkùiptam àkulam  BrP_32.83d
babhåvàtha prajàkùayaþ  BrP_2.35d
babhåvàdbhutadar÷anam  BrP_50.24d
babhåvàbhijitaþ kila  BrP_15.48b
babhåvàmitrakarùiõaþ  BrP_13.197d
babhåvur jàmbavatyà÷ ca  BrP_205.2c
babhåvur devagandharvàþ  BrP_178.12c
babhåvur dvijasattamàþ  BrP_3.121d
babhåvur dhàrmikàþ sarve  BrP_7.58a
babhåvu÷ ca tathàrõavàþ  BrP_32.84b
babhåvus tu yadoþ putràþ  BrP_13.153c
babhåvus te mahoragàþ  BrP_13.183d
babhåvus trida÷àþ sajjàþ  BrP_203.47c
babhåvuþ kçùõayoùitaþ  BrP_200.20d
babhåvuþ ùaùñiþ ÷obhanàþ  BrP_32.3b
babhåvuþ sapta ÷obhanàþ  BrP_201.3b
babhåvendrasakhaþ sa ca  BrP_50.24b
babhåvailaþ puråravàþ  BrP_9.33d
babhramus tàs tato gopyaþ  BrP_189.23a
babhràma pçthivãü sarvàü  BrP_52.14a
babhràmàsau muni÷ càrta  BrP_53.17c
babhrupiïgalalolai÷ ca  BrP_214.65a
babhrupiïgalalolai÷ ca  BrP_214*.65a
babhrur matimatàü varaþ  BrP_17.24b
babhrusetu÷ ca pàrthivaþ  BrP_13.148d
babhruü devàvçdhaü dvijàþ  BrP_15.41b
babhruþ ÷reùñho manuùyàõàü  BrP_15.43a
babhror devàvçdhàd api  BrP_15.44b
babhror hastàd ariüdamaþ  BrP_17.39b
barbarà÷ ca salaukikàþ  BrP_27.47d
barhiketuþ suketu÷ ca  BrP_8.57a
barhipattrakçtàpãóau  BrP_184.53c
barhisthitam ahaü praukùaü  BrP_161.44c
balakçùõau tadàkråraþ  BrP_192.43a
balakçùõau subàlakau  BrP_190.6b
balakùayaü vivçddhiü ca  BrP_193.57c
balagnànyà vivarõatà  BrP_231.45b
balajyeùñhàn naràn anyàn  BrP_212.17a
baladarpasamanvitam  BrP_209.4b
baladevajanàrdanau  BrP_193.31d
baladevajanàrdanau  BrP_194.19d
baladevapuraþsaràþ  BrP_16.40b
baladeva÷ ca balavà¤  BrP_194.30c
baladevasahàyavàn  BrP_192.86b
baladevasahàyavàn  BrP_193.79b
baladevasahàyavàn  BrP_210.1b
baladevas tato gatvà  BrP_208.8a
baladevas tu tatkàlaü  BrP_193.63c
baladevasya taü kopaü  BrP_201.21c
baladevasya dhãmataþ  BrP_209.23b
baladevasya bhaginãü  BrP_57.59c
baladevàd avàptavàn  BrP_17.28d
baladevena muùñikaþ  BrP_193.52d
baladevo 'grajo 'grataþ  BrP_193.36b
baladevo 'pi viprendràþ  BrP_197.8a
balanirmadaneritaiþ  BrP_42.21b
balapuùñipradaü néõàü  BrP_246.29c
balapradyumnasahito  BrP_206.12c
balapramathanàya ca  BrP_40.21b
balabhadraprapannàni  BrP_201.14c
balabhadra÷ ca lãlayà  BrP_186.11d
balabhadrasya dhãmataþ  BrP_208.1b
balabhadraü dadar÷a saþ  BrP_192.36b
balabhadraü subhadràü ca  BrP_65.57c
balabhadraþ paràjitaþ  BrP_201.16b
balabhadreritaü vacaþ  BrP_208.13b
balabhadro 'pi càsphoñya  BrP_193.51a
balabhadro mahàvãryo  BrP_206.29a
balam àgatam àj¤àya  BrP_208.9a
balavanto duràsadàþ  BrP_7.57d
balavanto mahaujasaþ  BrP_124.73b
balavanto 'mitaprabhàþ  BrP_97.3b
balavanto yathà mçgàþ  BrP_239.13b
balavàn atibhãùaõaþ  BrP_133.7d
balavàn abhavad bhç÷am  BrP_125.10b
balavàn asuro mune  BrP_122.10b
balavàn dharmatatparaþ  BrP_221.104b
balavàn namuciþ purà  BrP_124.33b
balavàn puõyasaübhavaþ  BrP_124.28b
balavàn matimà¤ ÷åro  BrP_123.2c
balavàn me ripu÷ càsãd  BrP_129.84a
balavãryapramàõavit  BrP_187.21d
bala÷aktisamanvitàþ  BrP_227.47b
bala÷auryavato dvijàþ  BrP_208.38d
bala÷ ca balinàü varaþ  BrP_194.31d
balasthasya hi yogasya  BrP_239.28a
balasya bala÷àlinaþ  BrP_209.1b
balasyàbhimataü vipràþ  BrP_195.7c
balahànir na te saumya  BrP_192.82a
balahàniþ prajàyate  BrP_194.29b
balahãnas tathà yogã  BrP_239.22c
balahãnà÷ ca viprendrà  BrP_239.16a
balaü gràmanivàsinàm  BrP_212.16d
balaü teja÷ ca yoga÷ ca  BrP_36.35c
balaü tejas tathà vãryaü  BrP_212.88c
balaü balamadoddhatam  BrP_50.50b
balaü balena dadç÷e  BrP_206.30c
balaü vidyàü dhçtiü pa÷ån  BrP_66.16b
balaü samakarot tadà  BrP_178.51b
balàkàbhi÷ ca ÷obhità  BrP_36.72d
balàkà lakucaü tathà  BrP_220.176d
balàkà÷vo mahãpatiþ  BrP_10.22b
balàkà÷vo mahãpatiþ  BrP_13.88d
balàkà saüprajàyate  BrP_217.98d
balàt kàlàgatà sahyà  BrP_146.36a
balàd anyàyataþ prajàþ  BrP_215.62b
balàd àkarùatãyaü màü  BrP_139.8a
balàd àkarùayat tadà  BrP_152.6b
balàd àkçùya harùitau  BrP_193.68b
balàd àdattavàn vãraþ  BrP_208.4c
balàd yogàc ca tatyaje  BrP_109.10b
balàni yogaproktàni  BrP_239.29a
balàrthaü munisattamàþ  BrP_239.28b
balikarmaõà bhåtàni  BrP_222.31a
balinà viùõunà purà  BrP_213.81b
balinor balibhiþ saha  BrP_125.8b
balinau balisainikaiþ  BrP_195.4d
balibhàgasya pàrthivàþ  BrP_231.4b
balimantras tathaiva ca  BrP_31.37d
baliyaj¤e padaü nyasat  BrP_73.48b
balir jaj¤e virocanàt  BrP_3.68d
balir nàma mahàdaityo  BrP_73.2a
balir balavatàü ÷reùñha  BrP_73.23c
balis tu bhàrgavaü pràha  BrP_73.34a
baliü kçtvà tu såryàya  BrP_29.55a
baliü taü harir abravãt  BrP_73.49d
baliü tv amaravairiõam  BrP_73.56d
baliü nibadhya mantroktyà  BrP_73.20c
baliü balavatàü ÷reùñhaü  BrP_73.30c
baliü vibhajataþ kçtvà  BrP_40.130c
baliü saüyamya màyayà  BrP_180.29d
baliþ ÷àntiü paràü yayau  BrP_13.35b
balãvardo mçta÷ càpi  BrP_217.39a
balã viùahara÷ ca saþ  BrP_15.23d
balã sarve÷varaþ kalau  BrP_230.12b
bale càpratimatvaü vai  BrP_13.33a
balena ca samanvitaþ  BrP_8.42d
balena ca samanvitaþ  BrP_226.25b
balena nihataü ÷rutvà  BrP_201.27a
balena balinàü varau  BrP_213.138d
balena mahatà yuktaþ  BrP_44.16c
balena mahatà yuktaþ  BrP_164.8a
balena mahatà ràmaþ  BrP_176.43c
balena mahatà vçtaþ  BrP_107.21b
balena mahatàvçtaþ  BrP_149.11b
balenàdbhutakarmaõà  BrP_187.29b
balenodakaràkùasam  BrP_7.84b
balenorasy atàóayat  BrP_209.19b
baler balavato yaj¤e  BrP_213.81a
bale÷ ca brahmaõà datto  BrP_13.32a
baleþ putra÷atam àsãd  BrP_3.69a
baleþ pautrãü mahàbalaþ  BrP_205.7b
balair anugataþ prabhuþ  BrP_44.43d
balonmattà dhçtàyudhàþ  BrP_156.3d
balonmattaiþ pramàthibhiþ  BrP_215.14d
balo balavatàü varaþ  BrP_208.37d
balau ràjyaü pra÷àsati  BrP_73.6d
ballavaiþ saha saüvçddho  BrP_10.24a
bastagàtrai÷ ca påga÷aþ  BrP_214.82b
bastagàtrai÷ ca påga÷aþ  BrP_214*.82b
bahava÷ cet kim ucyate  BrP_124.115d
bahavas tatra karmaõà  BrP_88.22d
bahavaþ paõóitaümanyàþ  BrP_70.29c
bahavaþ ÷atasàhasràþ  BrP_159.27c
bahavaþ sukhino 'bhavan  BrP_122.72f
bahavaþ syuþ sutàþ kecin  BrP_165.41a
bahavo brahmavàdinaþ  BrP_47.46b
bahavo vatsarà yàtà  BrP_80.23c
bahir anta÷ ca dç÷yase  BrP_87.48b
bahir anta÷ ca nirmalàþ  BrP_216.9b
bahir àvàsite sainye  BrP_196.16a
bahir gatvà tu gotrakaiþ  BrP_221.149d
bahir jalasamãpataþ  BrP_220.62b
bahir yàte vilocane  BrP_187.27d
bahir vedi vinirgataþ  BrP_219.86d
bahi÷ cànnaprado hi yaþ  BrP_125.17d
bahiþsthitàüs tadà pa÷yan  BrP_94.7c
bahukandara÷obhitam  BrP_47.9b
bahukarõàkùi÷ãrùakaþ  BrP_122.72d
bahukàlaü dvijanmanoþ  BrP_125.5d
bahukàlaü nayànvitàm  BrP_122.14b
bahukàlaü nirantaram  BrP_129.13d
bahukàlaü viruddhayoþ  BrP_125.7d
bahukàlaü samàvasan  BrP_124.55d
bahucittam acintayan  BrP_237.26d
bahucintyam acintayan  BrP_238.19d
bahutvaü ca tathà sçji  BrP_243.73d
bahutvaü ca pravartate  BrP_30.76d
bahutvaü ca pravartanàt  BrP_243.75d
bahutvàn nànukãrtitàþ  BrP_13.204d
bahu dattvàtha vijayo  BrP_111.47c
bahudçùñir amitrajit  BrP_39.91b
bahudoùo 'pi saümataþ  BrP_239.53d
bahudvàràü manoramàm  BrP_7.32b
bahudhà tad vicàraye  BrP_172.14d
bahudhàtmà prakurvãta  BrP_243.76a
bahudhànyadhanànvite  BrP_212.12b
bahudhànyasahasràõàü  BrP_47.27c
bahudhà pãóyamànas tu  BrP_32.62a
bahudhà vyabhajat tadà  BrP_40.112d
bahudhà sçjyatàm ayam  BrP_39.88b
bahunà kàraõena na  BrP_8.6d
bahunà tu kim uktena  BrP_40.102c
bahupattràrjunãphalam  BrP_220.170b
bahupuõyaphalapradam  BrP_161.63d
bahupuõyaphalapradam  BrP_171.48d
bahuputrasya viduùa÷  BrP_3.60c
bahuprakàram asvasthàþ  BrP_194.8a
bahuprajàlpabhàgyà÷ ca  BrP_230.28c
bahubàhårupàdas tvaü  BrP_122.72c
bahubràhmaõasevitam  BrP_167.6d
bahubhir bahudakùiõaiþ  BrP_123.81b
bahubhi÷ càptadakùiõaiþ  BrP_56.17d
bahubhiþ kusumotkaraiþ  BrP_36.119b
bahumànapuraþsaram  BrP_111.51b
bahumànapuraþsaram  BrP_197.9d
bahumànapuraþsaram  BrP_203.25d
bahumànapuraþsaram  BrP_203.67b
bahumànam alabdheùu  BrP_240.39a
bahumiùñànnam çddhimat  BrP_47.58d
bahuyàcanako loko  BrP_231.25a
bahuyonyantaraü gataþ  BrP_150.7b
bahuràgàrthakàmair và  BrP_48.9a
bahuråpadharà dhçùñà  BrP_39.14c
bahulatvàc ca noktà ye  BrP_65.42a
bahuvarùagaõàni vai  BrP_217.86b
bahuvarùasahasràkhyaü  BrP_53.22c
bahuvàraiþ kovidàrair  BrP_43.54a
bahuvàraiþ satindukaiþ  BrP_44.59b
bahuvçkùasamàkulam  BrP_118.3d
bahuvyàlasamàkulam  BrP_108.3b
bahu÷aþ sarvabhåtàtmà  BrP_213.24a
bahu÷aþ saüprapadyate  BrP_217.85b
bahu÷àkhaü mahaujasam  BrP_14.35b
bahu÷àkho mahàdrumaþ  BrP_238.22b
bahusarpasarãsçpam  BrP_239.51b
bahånàm upajàyate  BrP_141.22d
bahånàm eva bàndhavaiþ  BrP_220.98d
bahåni teùàü nàmàni  BrP_104.87c
bahåni dvijasattamàþ  BrP_47.63d
bahåni dvijasattamàþ  BrP_239.26b
bahåni me vyatãtàni  BrP_163.24c
bahåny abhåvaüs tãrthàni  BrP_163.53c
bahåny àkùepavàkyàni  BrP_192.72c
bahåny àrjya dadàty asau  BrP_92.14b
bahån varùagaõàn pàrtha  BrP_212.72c
bahån và pràõino 'nantaü  BrP_4.82c
bahvannadakùiõàþ sarve  BrP_17.27c
bahvannàdanatatparàþ  BrP_230.28b
bahvapatyàþ prajàhãnàþ  BrP_231.78c
bahvapatye mahàpatye  BrP_3.82a
bahvarthàü ÷rutivistaràm  BrP_1.31d
bahv alpaü và puro 'rthini  BrP_124.42d
bahv asti kiü dhanenàdya  BrP_170.8c
bahvàbàdhàparikliùñe  BrP_225.34c
bahvàyu÷ corva÷ãsutàþ  BrP_10.12d
bahvà÷caryas tvayà prokto  BrP_69.1a
bahvyo valayabhåùitàþ  BrP_47.88d
bàóham ity abravãt siddhaþ  BrP_228.107c
bàóham ity avadat so 'pi  BrP_228.87a
bàóham evaü kariùyàmãty  BrP_228.113a
bàõakçùõau jigãùayà  BrP_206.33b
bàõajyeùñhaü tapodhanàþ  BrP_3.69b
bàõatãrthaü tad ucyate  BrP_131.25b
bàõatãrthe tu ye snàtvà  BrP_131.41a
bàõarakùàrtham atyarthaü  BrP_206.14c
bàõa÷ càpi baleþ sutaþ  BrP_181.10d
bàõasainyam anekadhà  BrP_206.29b
bàõas tatràyayau yoddhuü  BrP_206.28c
bàõas teùàm atibalo  BrP_3.70c
bàõasya tanayàm åùàm  BrP_205.7c
bàõasya prayayau puram  BrP_206.12d
bàõasya mantrã kumbhàõóa÷  BrP_205.16c
bàõasyàcyutacoditam  BrP_206.38b
bàõasyàdbhutakarmaõaþ  BrP_213.162b
bàõasyàsya mayà prabho  BrP_206.43b
bàõaü vivyàdha cakradhçk  BrP_206.32d
bàõaþ pra÷asyaþ kçtavàn uccapåjàü  BrP_110.104c
bàõena prahità¤ ÷araiþ  BrP_206.32b
bàõais tàn vyàhanad viùõur  BrP_131.23a
bàõaiþ puùpamayaiþ ÷ubhaiþ  BrP_71.29d
bàõo 'pi praõipatyàgre  BrP_206.1a
bàõo bàõai÷ ca cakriõaþ  BrP_206.30d
bàdhakatvena vartate  BrP_181.17d
bàdhate tadbhavànalaþ  BrP_110.134b
bàdhante 'harni÷aü prajàþ  BrP_181.8d
bàdhàpahàya lubdhàya  BrP_40.20c
bàdhà yatra na vidyate  BrP_225.41d
bàdhiryaü jaóatà lopaþ  BrP_235.11a
bàdhiùyati sa no 'suraþ  BrP_213.61b
bàdhyamànas tadà gaõaiþ  BrP_39.75d
bàdhyamàno 'tivedanaþ  BrP_234.11d
bàndhavàþ kriyatàü mayi  BrP_189.11d
bàndhavaiþ svajanair yuktas  BrP_67.51a
bàndhavo nçpatir yataþ  BrP_220.80b
bàndhavo 'sti namo 'stu te  BrP_189.6d
bàndhavau patitau dçùñvà  BrP_166.6c
bàrhaspatyam anantaram  BrP_174.23d
bàrhaspatyaü ca vi÷rutam  BrP_122.101b
bàrhaspatyaü tato viduþ  BrP_174.24d
bàlakasyopahanyate  BrP_184.8d
bàlakaü càruråpiõam  BrP_35.40b
bàlakaü hy ekaputrakam  BrP_35.43b
bàlako dvijaputrakaþ  BrP_59.16d
bàlakrãóanakaü tataþ  BrP_187.11b
bàlakrãóanakàya ca  BrP_40.32b
bàlakrãóeyam atulà  BrP_189.3a
bàlaghàtã brahmaghàtã  BrP_124.66a
bàlacandradhara prabho  BrP_78.56b
bàlacandradhara prabho  BrP_95.18b
bàlatvaü càtivãryaü ca  BrP_189.8a
bàladoùam apàkarot  BrP_184.12d
bàlapadmaprabhàya ca  BrP_59.39b
bàlapannagadehavat  BrP_203.52d
bàlaparyaïkikàtale  BrP_184.20d
bàlaputrà suråpiõã  BrP_92.4b
bàlabhàvaü no jahàti  BrP_111.21a
bàlabhàve ca yauvane  BrP_234.52b
bàlabhàve yadàpnoti  BrP_234.20c
bàlam atyantavismitaþ  BrP_184.27d
bàlam àdàya dàrikàm  BrP_182.25b
bàlam uttàna÷àyinam  BrP_184.24d
bàlamçtyur bhaviùyati  BrP_230.40d
bàlaråpadharàya ca  BrP_40.31d
bàlavàkyaü tu te vçkùàþ  BrP_110.87c
bàla÷çïgàv ivarùabhau  BrP_187.2d
bàla÷ càyaü vimucyatàm  BrP_35.57d
bàlas tasmin na sãdati  BrP_59.7d
bàlas tàü màtaraü dçùñvà  BrP_127.10a
bàlas tvam asi putraka  BrP_123.38d
bàlas tvaü ÷ramapãóitaþ  BrP_53.20d
bàlasya patitasya ca  BrP_221.44b
bàlasya buddhiü vinayaü ca vidyàü  BrP_110.164a
bàlasya munisattamaþ  BrP_54.1b
bàlasya munisattamàþ  BrP_55.1b
bàlasyàrtasya ÷ailajà  BrP_35.32b
bàlasyaitad vilokyatàm  BrP_193.44b
bàlaü cemaü sumadhyame  BrP_35.53b
bàlaü dçùñvà grahàvçtam  BrP_35.42d
bàlaü mu¤ca mahàgraha  BrP_35.50d
bàlaü vçddhaü tathàturam  BrP_214.123b
bàlaü vçddhaü tathàturam  BrP_214*.123b
bàlaü saüjãvayàm àsa  BrP_59.19c
bàlaþ kçtopanayano  BrP_222.22a
bàlaþ pràyàd rasàtalam  BrP_78.50b
bàlà càpi pativratà  BrP_167.23b
bàlànàü kaõñhake baddhaü  BrP_58.47a
bàlànàü bhartur eva ca  BrP_136.12d
bàlànubhàvàcaraõaü hi ÷aübhoþ  BrP_35.64b
bàlàm eva pità yas tu  BrP_165.6a
bàlàrkasomanetràya  BrP_59.39c
bàli÷aü yas tu bhojayet  BrP_220.137b
bàli÷à bata yåyaü vai  BrP_3.17a
bàle de÷àntarasthe ca  BrP_221.153c
bàlenànena pàtitam  BrP_184.25d
bàlendumauliü praõato 'smi nityam  BrP_78.58d
bàlendumauliü praõato 'smi nityam  BrP_110.159d
bàleyaü kùatram ucyate  BrP_13.31b
bàleyà bràhmaõà÷ caiva  BrP_13.31c
bàlo dadhãciþ pràtitheyã  BrP_110.77c
bàlo dharmaþ sanàtanaþ  BrP_110.77d
bàlo 'pi balavàn iva  BrP_110.116b
bàlo 'pi sarasas tãre  BrP_35.59a
bàlo bàlakriyànvitaþ  BrP_78.55d
bàlo mama samudgataþ  BrP_183.9d
bàlo 'ham iti manyate  BrP_241.43b
bàlo 'haü devadeve÷a  BrP_127.48a
bàlo 'haü bàlabuddhi÷ ca  BrP_78.56a
bàlo 'haü bàlabuddhi÷ ca  BrP_95.18a
bàlo 'haü bàlabuddhi÷ ca  BrP_110.93c
bàlyayauvanagocare  BrP_49.33b
bàlyàt kàmàc ca mohàc ca  BrP_7.99a
bàlyàd evàtiràgeõa  BrP_200.11c
bàlyàd và yadi và mohàt  BrP_32.66c
bàlyàd và yadi và laulyàn  BrP_6.27a
bàlye mohaü ca vij¤àya  BrP_240.37a
bàùkalaþ pramado madaþ  BrP_213.89b
bàhutãrthaü càrunadãü  BrP_25.58c
bàhudà ca dçùadvatã  BrP_27.26d
bàhupraharaõo nçpaþ  BrP_196.17b
bàhubhyàm eva govindo  BrP_16.39c
bàhubhyàü ca dhanena ca  BrP_170.40d
bàhum àbhoginaü kçtvà  BrP_190.30a
bàhum utkùipya vçtrahà  BrP_36.32b
bàhånàü kçtavàn hariþ  BrP_205.9d
bàhå rakùatu vàràhaþ  BrP_163.30a
bàhor vyasaninaþ pårvaü  BrP_8.35a
bàhyakàthopabàhyakà  BrP_15.32b
bàhyam eùàü na kiücana  BrP_236.28b
bàhyaü samàyojyam aho bhavasya  BrP_157.23d
bàhyà÷vatanayàþ pa¤ca  BrP_13.94a
bàhyà÷vaþ purujàtitaþ  BrP_13.93d
bàhyopavanamadhye 'bhån  BrP_208.8c
bàhlikasya tu ràjarùer  BrP_13.115c
bàhlikasya suta÷ caiva  BrP_13.116a
bàhlikasyàtmajàbhavat  BrP_14.39b
bàhlikàdyà÷ ca bhåmipàþ  BrP_208.12b
bàhlãka iti vi÷rutaþ  BrP_148.3d
bàhlãkàn ÷årasenàü÷ ca  BrP_54.12c
bàhvor vedàïkuràya ca  BrP_37.5d
bióàlaü dadç÷e muniþ  BrP_87.54b
bióàlaþ sapta màsàüs tu  BrP_217.52c
bióàlo 'bhån muner bhayàt  BrP_87.52b
bindur màhe÷varo mune  BrP_112.16b
bibharti kaõikàgatam  BrP_23.31d
bibharti yasya bhçtyànàü  BrP_208.25c
bibharti sakalàül lokàn  BrP_21.27e
bibharty ekaþ sanàtanaþ  BrP_30.70b
bibhçyàn na vicakùaõaþ  BrP_221.101b
bibheda ke÷avaü bàõo  BrP_206.32c
bibheda yamakiükaràn  BrP_94.21b
bibheda yàdava÷reùñhaþ  BrP_209.18a
bibheda sàdhumaryàdàü  BrP_209.6a
bibhemi kartuü dàruõaü càkùamo 'haü  BrP_110.52c
bibhemi kaüsàd dhig janma  BrP_192.66c
bibhemi kramituü bahiþ  BrP_124.82b
bibhemi taü munivaraü  BrP_178.20a
bibhemi bhadre ÷iùño 'haü  BrP_89.10e
bibhemãti ca vàdinam  BrP_164.31b
bibhratas tava yad råpam  BrP_32.14c
bibhratã paramaü vapuþ  BrP_15.39b
bibhratã pàrijàtasya  BrP_203.32c
bibhrat tadànãü jvalanàrkatejàþ  BrP_36.19d
bibhrat samàgàt purataþ suràõàm  BrP_36.10b
bibhratsarasvatãü vaktre  BrP_122.71c
bibhrad yo mànuùãü tanum  BrP_207.1b
bibhrad vakùasi cànagha  BrP_122.72b
bibhran mu÷alam uttamam  BrP_21.18d
bibhràõaü mukhapaïkajam  BrP_191.21b
bibhràõaü vàsasã pãte  BrP_191.22a
bibhràõàü vapuùà viùõuü  BrP_182.6c
bimbàdharapuñàþ kàntàþ  BrP_46.16a
bimbauùñhacàruda÷anàþ  BrP_44.23c
bimbauùñhà madhurasvaràþ  BrP_41.25b
bimbauùñhã navagarbhà ca  BrP_68.65a
bimbauùñhyo ra¤jitamukhàs  BrP_43.39a
bilaü tatra vyajàyata  BrP_115.14b
bilàd uddharate balàt  BrP_80.76b
bile jàmbavatà saha  BrP_16.39b
bilvaprabhaü devahradaü  BrP_25.21c
bilvàrkakamalàdibhiþ  BrP_41.63b
bãjatvam upagacchati  BrP_234.53b
bãjapårõàm iti ÷rutiþ  BrP_8.68b
bãjàj jàtv api kutracit  BrP_136.20d
bãjàd bãjaü tathaiva ca  BrP_243.22d
bãjàd vçkùapraroheõa  BrP_23.36a
bãjànàm akçtasnehà  BrP_231.76a
bãjànàü kledanena ca  BrP_98.9d
bãjàny anyàni vai tataþ  BrP_23.33b
bãje ca ÷a÷ipàvakau  BrP_179.52b
bãjebhyo vãrudho loke  BrP_110.81c
bãjeùu vçkùàdi dçùatsu hema  BrP_130.23b
bãjauùadhimahàphalaþ  BrP_213.36b
bãjauùadhãnàü vipràõàm  BrP_9.12c
buddham apratibuddhaü ca  BrP_244.48a
